Unnamed: 0,19. Kinship Terms,ஒஸ்துனு நாவுன்,ओस्तुनु नावुन,ꢏꢱ꣄ꢡꢸꢥꢸ ꢥꢵꢮꢸꢥ꣄
கணவன்  ,husband,த3ல்லொ,तल्ला॑,ꢡꢭ꣄ꢭꣂ
தாத்தா/ பாட்டன்,grandfather,அங்கெர் போ,अङक॑र् बो,ꢂꢖ꣄ꢒꢿꢬ꣄ ꢨꣁ
அம்மாச்சி / ஆச்சி,mother`s mother,அங்கெரம்போ,अङक॑रम्बो,ꢂꢖ꣄ꢒꢿꢬꢪ꣄ꢨꣁ꣄
பெண்டாட்டி  ,wife,பெ3ய்ல்/பை3ல்/பா4ரி/பா4ரியொ/ஸதி,"ब॑य्ल, बैल, भारि, भारिया॑, सति","ꢨꢾꢫ꣄ꢭ꣄, ꢨꣀꢭ꣄, ꢩꢵꢬꢶ, ꢩꢵꢬꢶꢫꣁ, ꢱꢡꢶ"
பெரியப்பா  ,father`s elder brother,மொ:ட்டபோ3,म्हा॑ट्टबो,ꢪꢴꣁꢜ꣄ꢜ ꢨꣂ
பெரியம்மா  ,mother,மொ:ட்டம்போ3,म्हा॑ट्टम्बो,ꢪꣁꢜ꣄ꢜꢪ꣄ ꢨꣂ
பெற்றோர்  ,parents,மாய்பா3ப்/  அம்பொ3போ3,"माय्बाप,     अम्बा॑बो","ꢪꢵꢫ꣄ꢨꢵꢦ꣄, ꢂꢪ꣄ꢨꣁ ꢨꣂ"
பேத்தி  ,grand daughter,நதினி,नतिनि,ꢥꢡꢶꢥꢶ
பேரன்  ,grand son,நத்தெ,नत्त॑,ꢥꢡ꣄ꢡꢾ
மகள்  ,daughter,பெ3டி,ब॑टि,ꢨꢾꢜꢶ
மகன்  ,son,பெ3டொ,ब॑टा॑,ꢨꢾꢜꣁ
மச்சான்  ,brother - in - law ,ஸளொ,सळा॑,ꢱꢳꣁ
மருமகள்  ,daughter in law,பொ4வ்ண்டி3,भोवण्टि,ꢩꣁꢮ꣄ꢠ꣄ꢜꢶ
மருமகன்  ,son in law,ஜொமை,जा॑मै,ꢙꣁꢪꣀ
தங்கை,sister,பெ3யின்,ब॑य्ल्,ꢨꢾꢫ꣄ꢭ꣄
மாமன்  ,uncle,மமொ,ममा॑,ꢪꢪꣁ
மாமனார்  ,father in law,ஸொஸுரொ,सा॑सुरा॑,ꢱꣁꢱꢸꢬꣁ
மாமா  ,uncle,மமொ,ममो,ꢪꢪꣁ
மாமி  ,aunt,மமி,ममि,ꢪꢪꢶ
மாமியார்  ,mother in law,ஸஸு,ससु,ꢱꢱꢸ
,,ஸலொ,सलो,ꢱꢭꣂ
முன்னோர்,,ஒள்டு3ன்,आ॑ळ्डुन्,ꢏꢳ꣄ꢞꢸꢥ꣄
 ,,,,
