அரை  ,half,ஹத்3து3,हद्दु,ꢲꢣ꣄ꢣꢸ
தொள்ளாயிரத்து ஒன்பது    ,nine hundred and nine,நொல்களநொவ்ஸோவு,ना॑ल्कळ नोव्सोवु,ꢥꣁꢭ꣄ꢒꢳ ꢥꣁꢮ꣄ꢱꣂꢮꢸ
ஆயிரம்  ,thousand,ஸஸரு,ससरु,ꢱꢱꢬꢸ
ஆயிரத்து இரண்டு   ,thousand and two,தீ3களஸஸரு,दीकळ ससरु,ꢣꢷꢒꢳ ꢱꢱꢬꢸ
ஆயிரத்து இருபது   ,thousand and twenty,வீஸ்களஸஸரு,विस्कळ ससरु,ꢮꢷꢱ꣄ꢒꢳ ꢱꢱꢬꢸ
இரண்டாயிரம்  ,two thousand,தீ3ஸார்,दीसार्,ꢣꢷꢱꢵꢬ꣄
மூவாயிரம்  ,three thousand,தி2ந்ஸார்,थिनसार्,ꢢꢶꢥ꣄ꢱꢵꢬ꣄
நாலாயிரம்  ,four thousand,சார்ஸார்,चार्सार्,ꢗꢵꢬ꣄ ꢱꢵꢬ꣄
ஐயாயிரம்  ,five thousand,பாஞ்ச்ஸஸர்,पाञच्सार्,ꢦꢵꢛ꣄ꢗ꣄ ꢱꢱꢬ꣄
ஆறாயிரம்  ,six thousand,ஸோஸஸர்,सो ससर्,ꢱꣂ ꢱꢵꢱꢬ꣄
ஏழாயிரம்  ,seven thousand,ஸாத்ஸஸர்,साट्ससर्,ꢱꢵꢡ꣄ ꢱꢱꢬ꣄
எட்டாயிரம்  ,eight thousand,ஆட்ஸஸர்,आट्ससर्,ꢃꢜ꣄ ꢱꢱꢬ꣄
ஒன்பதாயிரம்  ,nine thousand,நொவ்ஸஸர்,ना॑व्ससर्,ꢥꣁꢮ꣄ ꢱꢱꢬ꣄
பத்தாயிரம்  ,ten thousand,தெ3ஸ்ஸஸர்,द॑स्ससर्,ꢣꢾꢱ꣄ ꢱꢱꢬ꣄
இலட்சம்  ,one lakh,லெக்கு,ल॑क्कु,ꢭꢾꢒ꣄ꢒꢸ
நூறாயிரம்  ,one lakh,ஸொவுஸஸரு,सा॑वु ससरु,ꢱꣁꢮꢸ ꢱꢱꢬꢸ
கோடி  ,crore,கோடி,कोटि,ꢒꣂꢜꢶ
ஒரு  ,adjective form of one comes before consonant beginning nouns,ஒண்டெ,आ॑ण्ट॑,ꢏꢠ꣄ꢜꢾ
ஓர்  ,adjective form of one comes before vowel beginning nouns,ஒண்டெ,आ॑ण्ट॑,ꢏꢠ꣄ꢜꢾ
முதலாவது  ,first,பை2லொ,फैला॑,ꢧꣀꢭꣁ
முதலாம்  ,first,பை2லாம்,फैलाम्,ꢧꣀꢭꢵꢪ꣄
இரண்டாம்  ,second,தி3வ்வொ,दिव्वा॑,ꢣꢶꢮ꣄ꢮꣁ
இரண்டாவது  ,second,தி3வயொ,दिवया॑,ꢣꢶꢮꢫꣁ
மூன்றாம்  ,third,தி2ந்ஸா,थिन्सा,ꢢꢶꢥ꣄ꢱꢵ
மூன்றாவது  ,third,தி3ந்வயொ,दिन्वया॑,ꢣꢶꢥ꣄ꢮꢫꣁ
நான்காம்  ,fourth,சர்லொ,चर्ला॑,ꢗꢬ꣄ꢭꣁ
நான்காவது  ,fourth,சர்வயொ,चर्वया॑,ꢗꢬ꣄ꢮꢫꣁ
ஐந்தாம்  ,fifth,பவ்ஞ்சொ,पवञ्चो,ꢦꢮ꣄ꢛ꣄ꢗꣁ
ஐந்தாவது  ,fifth,பவ்ஞ்சொயொ,पवञ्चा॑या॑,ꢦꢮ꣄ꢛ꣄ꢗꣁꢫꣁ
ஆறாம்  ,sixth,ஸொவ்வொ,सा॑व्वा॑,ꢱꣁꢮ꣄ꢮꣁ
ஆறாவது  ,sixth,ஸொவ்வயொ,सा॑व्वया॑,ꢱꣁꢮ꣄ꢮꢫꣁ
ஏழாம்  ,seventh,ஸத்லொ,सत्ला॑,ꢱꢡ꣄ꢭꣁ
ஏழாவது  ,seventh,ஸத்வயொ,सत्वया॑,ꢱꢡ꣄ꢮꢫꣁ
எட்டாம்  ,eighth,அட்வ,अट्व,ꢂꢜ꣄ꢮ
எட்டாவது  ,eighth,அட்வயொ,अट्वया॑,ꢂꢜ꣄ꢮꢫꣁ
ஒன்பதாம்  ,nineth,நொவ்வ,ना॑व्व,ꢥꣁꢮ꣄ꢮ
ஒன்பதாவது  ,nineth,நொவ்வயொ,ना॑व्वया॑,ꢥꣁꢮ꣄ꢮꢫꣁ
பத்தாம்  ,tenth,தெஸ்,द॑स,ꢣꢾꢱ꣄
பத்தாவது  ,tenth,தெ3ஸ்வயொ,द॑स्वया॑,ꢣꢾꢱ꣄ꢮꢫꣁ
