Unnamed: 0,48. Simple Verbs,48.மூலக்ரியா பதா3ன்,मूलक्रिया पदान,ꢪꢹꢭꢒ꣄ꢬꢶꢫꢵ ꢦꢣꢵꢥ꣄
உலர்,dry,சுக்கி,चुक्कि,ꢱꢹꢒ꣄ꢒꢶ
உலர்த்து,Dry up,சுக்காட்,सुक्काट,ꢱꢹꢒ꣄ꢒꢵꢜ꣄
உலவு (இன்)  ,wander,உலாஸ்கேர்,उलास्केर्,ꢆꢭꢵꢱ꣄ ꢒꢿꢬ꣄
உலுக்கு (இன்)  ,shake (tr.),ஹுல்ப்பி,हुल्प्पि,ꢲꢸꢭ꣄ꢦ꣄ꢦꢶ
உலுங்கு (இன்)  ,be shaken (int.),ஹுல்ப்பயிரா:,हील्प्पयि र्हा,ꢲꢷꢭ꣄ꢦ꣄ꢦꢫꢶ ꢬꢴꢵ
உலை (இன்)  ,be disordered (int.),உலயிரா:,उलयि र्हा,ꢆꢭꢫꢶ ꢬꢴꢵ
உலை (த்த்)  ,disorder (tr.),உலயிஜவாட்,उलयिजवाट्,ꢆꢭꢫꢶ ꢙꢮꢵꢜ꣄
உவ (ந்த்)  ,enjoy,ஸொம்பு/ஶாந்தி,"सा॑म्पु, शान्ति","ꢱꣁꢪ꣄ꢦꢸ, ꢱꢵꢥ꣄ꢡꢶ"
உவமி (த்த்)  ,compare,தோத் ஸா,तोत्सा,ꢡꣂꢡ꣄ ꢱꢵ
உவர் (த்த்)  ,be salt tasty,மீட்கன் ஸே,मीट्कन्से,ꢪꢷꢜ꣄ꢒꢥ꣄ ꢱꢿ
உழப்பு (இன்)  ,meddle,அட்3ட3ம் போட்,अड्डम्पोट्,ꢂꢞ꣄ꢞꢪ꣄ ꢦꣂꢜ꣄
உழல் (ன்ற்)  ,suffer,லோல்போட்,लोल्पोट्,ꢭꣂꢭ꣄ ꢦꣂꢜ꣄
உழு (த்)  ,plough,ஜுன்னி,जुन्नि,ꢙꢸꢥ꣄ꢥꢶ
உழை (த்த்)  ,work hard,பாட்போட்,पाट्पोट्,ꢦꢵꢜ꣄ ꢦꣂꢜ꣄
உளறு (இன்)  ,babble,அனர்த்தவாத்கேர்,अनर्त्तवात्केर्,ꢂꢥꢬ꣄ꢡ꣄ꢡ ꢮꢵꢡ꣄ ꢒꢿꢬ꣄
உளு (த்த்)  ,be destroyed like a log,க்ஷீண் ஹொயி ஜா,क्षईण् हा॑यि जा,ꢒ꣄ꢰꢷꢠ꣄ ꢲꣁꢫꢶ ꢙꢵ
உ(சு)ளுக்கு (இன்)  ,sprain,இன்கயி ஜா,इन्कयि जा,ꢄꢥ꣄ꢒꢫꢶ ꢙꢵ
உளை (ந்த்)  ,worry,து3க்குபொந்தி3,दुक्कुपा॑न्दि,ꢣꢸꢒ꣄ꢒꢸ ꢦꣁꢥ꣄ꢣꢶ
உறங்கு (இன்)  ,sleep,நிஞ்ஜி,निञ्जि,ꢥꢶꢛ꣄ꢙꢶ
உறிஞ்சு (இன்)  ,suck,ஜு2ர்,झूर्,ꢚꢸꢬ꣄
உறுத்து (இன்)  ,pinch,சுண்டி,चुण्टि,ꢗꢸꢠ꣄ꢜꢶ
உறுமு (இன்)  ,roar,கெ3ர்ஜனொ கேர்,ग॑र्जना॑ केर्,ꢔꢾꢬ꣄ꢙꢥꣁ ꢒꢿꢬ꣄
உறை (ந்த்)  ,freeze (int.),கெ4டி3போட்,घ॑डिपोट्,ꢕꢾꢞꢶ ꢨꣂꢜ꣄
உறை (த்த்)  ,get fixed in the mind (tr.),மொன்னும்ஹிப்3பி3,मा॑न्नुम्हिब्बि,ꢪꣁꢥ꣄ꢥꢸꢪ꣄ ꢲꢶꢨ꣄ꢨꢶ
உன்னு (இன்)  ,think,ஹட்வி,हड्वि,ꢲꢞ꣄ꢮꢶ
ஊக்கு (இன்)  ,encourage,தை4ர்யம்தே3,धैर्यम्दे,ꢤꣀꢬ꣄ꢫꢪ꣄ ꢣꢿ
ஊட்டு (இன்)  ,feed,க2வாட்,खवाट्,ꢓꢮꢵꢜ꣄
ஊடு (இன்)  ,have petty quarrel,ந:ன் ஜெ2கு3டொ3,न्हन्झ॑गुटा॑,ꢥꢴꢥ꣄ ꢚꢾꢔꢸꢜꣁ
ஊது (இன்)  ,blow,பூ2வ்,फूव्,ꢧꢹꢮ꣄
ஊர் (ந்த்)  ,crawl,ஜி2ர்கி,झिर्कि,ꢚꢶꢬ꣄ꢒꢶ
ஊற்று (இன்)  ,pour,ஸோட்,सोट्,ꢱꣂꢜ꣄
ஊறு (இன்)  ,spring,உத்ஜல் ஹோ,उत्जल हो,ꢆꢡ꣄ꢙꢭ꣄ ꢲꣂ
ஊன்று (இன்)  ,plant,(கொவ்ரி) கா3ட்,(का॑व्रि) गाट,(ꢒꣁꢮ꣄ꢬꢶ) ꢔꢵꢜ꣄
எக்கு (இன்)  ,to pull stomach in,போட்பதா3ள்கெர்லே,पोट्पदाळ्क॑रल॑,ꢦꣂꢜ꣄ꢦꢣꢵꢳ꣄꣄ꢒꢾꢬ꣄ꢭꢿ
எகிறு (இன்)  ,over go,மிதமிஞ்சி ஜா,मितमिञ्चि जा,ꢪꢶꢡꢪꢶꢛ꣄ꢗꢶ ꢙꢵ
எச்சரி (த்த்)  ,caution,ஜாக்3ரதி கேர்,जाग्रति केर,ꢙꢵꢔ꣄ꢬꢡꢶ ꢒꢿꢬ꣄
எட்டு (இன்)  ,reach,அந்தி3/லந்தி3/ ஜெய் சேர்,"अन्दि, लन्दि, जेय चेर","ꢂꢥ꣄ꢣꢶ, ꢭꢥ꣄ꢣꢶ, ꢙꢾꢫ꣄ ꢗꢿꢬ꣄"
எடு (த்த்)  ,take,க2ள்லே/கா2ட்,"खळ्ल॑, खाट","ꢓꢳ꣄ꢭꢾ, ꢓꢵꢜ꣄"
எண்ணு (இன்)  ,count,மொவ்ஜி/மோவ்,"मोव्जि, मोव्","ꢪꣁꢮ꣄ꢙꢶ, ꢪꣂꢮ꣄"
எண்ணு (இன்)  ,think,ஹட்வி,हड्वि,ꢲꢞ꣄ꢮꢶ
எத்தனி (த்த்)  ,try,யத்தன்கேர்,यत्तन्केर्,ꢫꢡ꣄ꢡꢥ꣄ ꢒꢿꢬ꣄
எத்து (இன்)  ,kick,லாத்,लात्,ꢭꢵꢡ꣄
எதிர் (த்த்)  ,oppose,திரக்3 ஹிப்3பி3,तिरग् हिब्बि,ꢡꢶꢬꢔ꣄ ꢲꢶꢨ꣄ꢨꢶ
எம்பு (இன்)  ,jump,உஸிள்,उसिल्,ꢆꢱꢶꢭ꣄
எய் (த்)  ,shoot (arrow),பா3ண்ஸோட்,बाण्सोट्,ꢨꢵꢠ꣄ ꢱꣂꢜ꣄
எரி (ந்த்)  ,be burnt (int.),ஜெளிஜா,ज॑ळिजा,ꢙꢾꢳꢶ ꢙꢵ
எரி (த்த்)  ,burn (tr.),ஜாள்,जाळ्,ꢙꢵꢳ꣄
எழு (ந்த்)  ,get up,ஹூட்,हूट्,ꢲꢹꢜ꣄
எழுது (இன்)  ,write,லிக்கி/லிகி2,"लिक्कि, लिखि","ꢭꢶꢒ꣄ꢒꢶ, ꢭꢶꢓꢶ"
எழுப்பு (இன்)  ,wake up,ஹுடாட்,हूडाट्,ꢲꢸꢞꢵꢜ꣄
எழும்பு (இன்)  ,get up,ஹுட்,हूट,ꢲꢹꢜ꣄
எள்ளு (இன்)  ,ridicule,கெ3ல்லல்கேர்,ग॑ल्लल्केर्,ꢔꢾꢭ꣄ꢭꢭ꣄ ꢒꢿꢬ꣄
எறி (ந்த்)  ,throw,விஸிர்,विसिर्,ꢮꢶꢱꢶꢬ꣄
ஏகு (இன்)  ,go,ஜா,जा,ꢙꢵ
ஏங்கு (இன்)  ,long for,ஹெதொ போட்,ह॑ता॑ पोट,ꢲꢾꢡꣁ ꢦꣂꢜ꣄
ஏசு (இன்)  ,scold,கா3ள்டே3,गाळ्डे,ꢔꢵꢳ꣄꣄ꢞꢾ
ஏந்து (இன்)  ,hold in hand,தெ4ர்லே,धेर्ले,ꢤꢾꢬ꣄ꢭꢿ
ஏமாற்று (இன்)  ,cheat (tr.),எச்சாட்/ஹுங்கா3ட்,"एच्चाट, हूङ्गाट","ꢌꢗ꣄ꢗꢵꢜ꣄, ꢲꢸꢖ꣄ꢔꢵꢜ꣄"
ஏமாறு (இன்)  ,be cheated (int.),எச்சட்னிபோட்/ஹுங்க3யி ஜா,"एच्चट्निपोट, हुङ्गयिजा","ꢌꢗ꣄ꢗꢜ꣄ꢥꢶ ꢦꣂꢜ꣄, ꢲꢸꢖ꣄ꢔꢫꢶ ꢙꢵ"
ஏய் (த்த்)  ,cheat,எச்சாட் / ஹுங்கா3ட்,"एच्चाट्, हुङ्गाट","ꢌꢗ꣄ꢗꢵꢜ꣄, ꢲꢸꢖ꣄ꢔꢵꢜ꣄"
ஏவு (இன்)  ,launch,த4ட்3டே3/ ப்ரக்ஷேபணொ கேர்,"धड्डे, प्रक्षेपणो केर","ꢤꢞ꣄ꢞꢾ, ꢦ꣄ꢬꢒ꣄ꢰꢿꢦꢠꣁ ꢒꢿꢬ꣄"
ஏற்படு (ட்)  ,happen,ஹொவன் ரா:,होवन र्हा,ꢲꣁꢮꢥ꣄ ꢬꢴꢵ
ஏற்று (இன்)  ,hoist,ஹிங்கா3ட்,हिङगाट्,ꢲꢶꢖ꣄ꢔꢵꢜ꣄
ஏறு (இன்)  ,"climb, get into",ஹிங்கி3,हिङगि,ꢲꢶꢖ꣄ꢔꢶ
ஒட்டு (இன்)  ,stick,தெ3வ்ஸி,द॑व्सि,ꢣꣁꢮ꣄ꢱꢶ
ஒடி (ந்த்)  ,break (int.),முட்டிரா:/முட்3ஜா,"मुट्टि र्हा, मुड्जा","ꢪꢸꢜ꣄ꢜꢶꢬꢴꢵ, ꢪꢸꢞ꣄ꢙꢵ"
ஒடி (த்த்)  ,break (tr.),மோட்3,मोड,ꢪꣂꢞ꣄
ஒடுக்கு (இன்)  ,control,உட்3கா3ட்,उड्गाट,ꢆꢣ꣄ꢔꢵꢜ꣄
ஒடுங்கு (இன்)  ,be controlled,உட்3கி3,उड्गि,ꢆꢣ꣄ꢔꢶ
ஒண்டு (இன்)  ,take shelter,ஆஶ்ரயிலி ரா:,आस्रयिलि र्हा,ꢃꢱ꣄ꢬꢫꢶꢭꢶ ꢬꢴꢵ
ஒதுக்கு (இன்)  ,allot,வட கேர்,वट केर,ꢮꢜ ꢒꢿꢬ꣄
ஒதுங்கு (இன்)  ,take shelter,ஓர்தொரா: /நீடா3ம் ரா:,"ओर्ता॑ र्हा, नीडाम् र्हा","ꢐꢬ꣄ꢡꣁ ꢬꢴꢵ, ꢥꢷꢞꢪ꣄ ꢬꢴꢵ"
ஒப்பி (த்த்)  ,recite,பாராயணொ கேர்/ பி2ரிபி2ரி மேன்,"पारायणा॑ केर, फिरिफिरि मेन","ꢦꢵꢬꢵꢫꢠꣁ ꢒꢿꢬ꣄, ꢧꢶꢬꢶꢧꢶꢬꢶ ꢪꢿꢥ꣄"
ஒப்பு (இன்)  ,agree,ஒப்பிலே,आ॑प्पिले,ꢏꢦ꣄ꢦꢶꢭꢾ
ஒருக்கணி (த்த்) / ஒருக்களி (த்த்)  ,lie down on one side,ஓக்போகுர்  நிஞ்சி,ओक्पोकुर निञ्चि,ꢐꢒ꣄ꢦꣁꢒꢸꢬ꣄ ꢥꢶꢛ꣄ꢗꢶ
ஒலி (த்த்)  ,sound,ஸப்3து3 கேர்,सब्दु केर,ꢱꢨ꣄ꢣꢸ ꢒꢾꢬ꣄
ஒழி (ந்த்)  ,be destroyed (int.),த்4வம்ஸு ஹோ,ध्वम्सु हो,ꢤ꣄ꢮꢪ꣄ꢱꢸ ꢲꣂ 
ஒழி (த்த்)  ,destroy (tr.),த்4வம்ஸு கேர்,ध्वम्सु केर्,ꢤ꣄ꢮꢪ꣄ꢱꢸ ꢒꢿꢬ꣄
ஒழுக்கு (இன்)  ,ooze out,கெ3ளி ஜவாட்,गेळि जवाट्,ꢔꢾꢳꢶꢶ ꢙꢮꢵꢜ꣄
ஒழுகு (இன்)  ,leak,கெ3ளிஜா,गेळि जा,ꢔꢾꢳꢶꢶ ꢙꢵ
ஒளி (ந்த்)  ,hide,லுக்கிலே,लुक्किले,ꢭꢶꢒ꣄ꢒꢶꢭꢾ
ஒளிர் (ந்த்)  ,"glitter, shine",ஜொலிஞ்சி,जा॑लिञ्चि,ꢙꣁꢭꢶꢛ꣄ꢗꢶ
ஒறு (த்த்)  ,punish,தெ3ண்ட3னொதே,द॑ण्डना॑ ते,ꢣꢾꢠ꣄ꢞꢥꣁ ꢡꢿ
ஒன்று (இன்)  ,join,செர்சி,च॑र्चि,ꢗꢾꢬ꣄ꢗꢶ
ஓங்கரி (த்த்)  ,vomit,ஒக3ரிகேர்,आ॑गरि केर्,ꢏꢔꢬꢶ ꢒꢿꢬ꣄
ஓங்கு (இன்)  ,raise,செடா3வ்ஹோ,च॑डाव्हो,ꢗꢾꢣꢵꢮ꣄ ꢲꣂ
ஓட்டு (இன்)  ,drive,தொ3வ்டி3,दा॑व्डि,ꢣꣁꢮ꣄ꢞꢶ
ஓடு (இன்)  ,run,தா4ம்,धाम्,ꢤꢵꢪ꣄
ஓது (இன்)  ,read,உச்சாடணொகேர்/செவ்தி3,"उच्चाटणा॑ केर्, च॑व्दि","ꢆꢗ꣄ꢗꢵꢜꢠꣁ ꢒꢿꢬ꣄, ꢗꢾꢮ꣄ꢣꢶ"
ஓம்பு (இன்)  ,protect,பாலனொகேர்,पालना॑ केर्,ꢦꢵꢭꢥꣁ ꢒꢿꢬ꣄ 
ஓய் (ந்த்)  ,tired,ஸினயி ஜா/ஶீன்,"सिनयि जा, शीन","ꢱꢶꢥꢫꢶ ꢙꢵ, ꢯꢷꢥ꣄"
ஓர் (ந்த்)  ,"think, recall",ஹவ்டன்கெர்லே,हव्टन् क॑र्ले,ꢲꢮ꣄ꢡꢥ꣄ ꢒꢾꢬ꣄ꢭꢾ
ஓர்மி (த்த்)  ,recall,"ஹவ்டி, ஹட்வி","हव्टि, हट्वि","ꢲꢮ꣄ꢜꢶ, ꢲꢜ꣄ꢮꢶ"
கக்கு (இன்)  ,vomit,ஒக3ரி கேர்,आ॑गरि केर,ꢏꢔꢬꢶ ꢒꢿꢬ꣄
கச (ந்த்)  ,taste (bitter),கொடு3லாக்3,का॑डुलाग,ꢒꣁꢔꢸꢭꢵꢔ꣄
கசக்கு (இன்)  ,squeeze (tr.),பீள்,पीळ्,ꢦꢷꢳ꣄
கசகச (த்த்)  ,be sultry,ஸெக3 கேர்,स॑ग केर्,ꢱꢾꢔ ꢒꢿꢬ꣄
கசங்கு (இன்)  ,squeeze (int.),ஸுரு போட்,सुरु पोट्,ꢱꢸꢬꢸ ꢦꣂꢜ꣄
கசி (ந்த்)  ,leak,கே3ள்,गेळ् ,ꢔꢿꢳ꣄
கட்டு (இன்)  ,"bind, tie",ப4ந்தி3,भन्दि,ꢩꢥ꣄ꢣꢶ
கட (ந்த்)  ,cross,தா3ட்,दाट्,ꢣꢵꢜ꣄
கடகட (த்த்)  ,become loose,தி4ல்லொ ஹோ,धिल्ला॑ हो,ꢤꢶꢭ꣄ꢭꣁ ꢲꣂ
கடத்து (இன்)  ,smuggle,சொட்3ட3 பொடி3 ஜவாட்,चा॑ड्ड पा॑डि जवाट,ꢗꣁꢞ꣄ꢞꢦꣁꢞꢶ ꢙꢮꢵꢜ꣄
கடி (ந்த்)  ,scold,பர்வத் கேர்,पर्वत केर,ꢦꢬ꣄ꢮꢡ꣄ ꢒꢿꢬ꣄
கடி (த்த்)  ,bite,சாவ்,चाव्,ꢗꢵꢮ꣄
கடு (த்த்)  ,get angry,ராக்அவள்ளே,राक् अवळ्ळे,ꢬꢵꢒ꣄ ꢂꢮꢳ꣄ꢳꢾ
கடுகு (இன்)  ,go fast,பி3ஸ்ஸொ ஜா,बिस्सो जा,ꢨꢶꢱ꣄ꢱꣁ ꢙꢵ
கடை(ந்த்)  ,churn,கு3ஸுள்,गुसुळ,ꢔꢸꢱꢹꢳ
கண்காணி(த்த்)  ,supervise,நிரீக்ஷணொ கேர் ,निरीक्षणा॑ केर,ꢥꢶꢬꢷꢒ꣄ꢰꢠꣁ ꢒꢿꢬ꣄
கணி (த்த்)  ,predict,அவன்சால் ஸங்கி3,अवन्चाल सङ्गि,ꢂꢮꢥ꣄ꢗꢵꢭ꣄ ꢱꢖ꣄ꢔꢶ
கத்தரி (த்த்)  ,cut by scissors,கெத்ரிக்கெ ஹோர் காட்,केत्रिक्के होर्काट,ꢒꢾꢡ꣄ꢬꢶꢒ꣄ꢒꢾ ꢲꣁꢬ꣄ ꢒꢵꢜ꣄
கத்து (இன்)  ,shout,ரெச்சொ தாய் ப4வாட் தாய்/  கெ4டி3 போ3வ்,"र॑च्चा॑ ताय    भवाट ताय,  घ॑डि बोव","ꢬꢾꢗ꣄ꢗꣁ ꢡꢵꢫ꣄ ꢩꢮꢵꢜ꣄ ꢡꢵꢫ꣄, ꢕꢾꢞꢶꢨꣁꢮ꣄"
கதறு (இன்)  ,weep,குங்கி3ரோட்,कुङ्गिरोट्,ꢒꢸꢖBꢔꢶ ꢬꣂꢜ꣄
கதை (த்த்)  ,tell,கெ2னி கா3வ்,ख॑नि गाव्,ꢓꢾꢥꢶ ꢔꢵꢮ꣄
கமழ் (ந்த்)  ,be fragrant,வஸ்னொ தே3,वस्नो दे,ꢮꢱ꣄ꢥꣁ ꢣꢾ
கமறு (இன்)  ,get irritation in throat,கெரகெர கேர்,क॑रक॑र केर्,ꢒꢾꢬ ꢒꢾꢬ ꢒꢿꢬ꣄
கர்ச்சி (த்த்)  ,roar,கெ3ர்ஜனொகேர்,ग॑र्जना॑ केर्,ꢔꢾꢬ꣄ꢙꢥꣁ ꢒꢿꢬ꣄
கர (ந்த்)  ,"steal, hide",ஜா2ய்,झाय्,ꢚꢵꢫ꣄
கரி (த்த்)  ,be salty,மீட்கனி லாக்3,मीट्कनि लाग,ꢪꢷꢜ꣄ꢒꢥꢶ ꢭꢵꢔ꣄
கருக்கு (இன்)  ,burn black,களொ ஹோஸ்திஸொ ஜாள்,कळा॑ होस्तिसा॑ जाल,ꢒꢳꣁ ꢲꣁꢱ꣄ꢡꢶꢱꣁ ꢙꢵꢭ꣄
கருது (இன்)  ,opine,அபி3ப்ராய் போட்,अबिप्राय पोट,ꢂꢨꢶꢦ꣄ꢬꢵꢫ꣄ ꢦꣁꢜ꣄
கரை (ந்த்)  ,be dissolved (int.),கு4லயி ஜா /கெரிங்கி3 ஜா,"घुलयि जा, क॑रिङ्गि जा","ꢕꢸꢭꢫꢶ ꢙꢵ, ꢒꢾꢬꢶꢖ꣄ꢔꢶ ꢙꢵ"
கரை (த்த்)  ,dissolve (tr.),கு4லாட்/ கெருங்கா3ட்,"घुलाट,  क॑रुङ्गाट","ꢕꢸꢭꢵꢜ꣄, ꢒꢾꢬꢸꢖ꣄ꢔꢵꢜ꣄"
கல் (ற்ற்)  ,learn,ஸிக்கி,सिक्कि,ꢱꢶꢒ꣄ꢒꢶ
கலக்கு (இன்)  ,"mix, stir (tr.)",கவ்லி / மிஶ்ரணொ கேர்,"कव्लि, मिस्रणा॑ केर","ꢒꢮ꣄ꢭꢶ, ꢪꢶꢱ꣄ꢬꢠꣁ ꢒꢿꢬ꣄"
கலகல (இன்)  ,be noisy,ஸெத்3து3 தாய்,स॑द्दु ताय,ꢱꢾꢣ꣄ꢣꢸ ꢡꢵꢫ꣄
கலங்கு (இன்)  ,"be mixed, be stirred (int.)",கவ்லயிரா:,कव्लयि र्हा,ꢒꢮ꣄ꢭꢫꢶꢬꢴꢵ
கலை (ந்த்)  ,be shuffled (int.),அஶ்ரேணி ஹோ,अश्रेणी हो,ꢂꢯ꣄ꢬꢿꢠꢶꢲꣁ
கலை (த்த்)  ,shuffle (tr.),அஶ்ரேணி கேர்,अश्रेणि केर,ꢂꢯ꣄꣄ꢬꢿꢠꢶ ꢒꢿꢬ꣄
கவர் (ந்த்)  ,attract,ஆகர்ஷி,आकर्षि,ꢃꢒꢬ꣄ꢰꢶ
கவி (ந்த்)  ,"overflow, cover",பொ4ரி ஜா/ தெல்கயி ஜா,"भा॑रि जा, त॑ल्कयि जा","ꢩꣁꢬꢶꢙꢵ, ꢡꢾꢭ꣄ꢒꢫꢶ ꢙꢵ"
கவிழ் (ந்த்)  ,get upside down,ஹுடொ3திடொ3 க4லயி ஜா,हुडा॑तिडा॑ घलयि जा,ꢲꢸꢞꣁ ꢡꢶꢞꣁ ꢕꢭꢫꢶ ꢙꢵ
கழல் (ன்ற்)  ,be loose,தி4ல்லொபோட்,धिल्ला॑ पोट,ꢤꢶꢭ꣄ꢭꣁꢦꣁꢜ꣄
கழற்று (இன்ற்)  ,remove,ஹேட்/ஹெடி3தாய்,"हेट्, ह॑डिताय्","ꢲꢿꢜ꣄, ꢲꢾꢞꢶ ꢡꢵꢫ꣄"
கழி (ந்த்)  ,be spent,தி3ன்னு ஜவாட்,दिन्नु जवाट्,ꢣꢶꢥ꣄ꢥꢸ ꢙꢮꢵꢜ꣄
கழி (த்த்)  ,subtract,பீ4ட்,भीट्,ꢩꢷꢜ꣄
கழுவு (இன்)  ,wash,தூ4வ்,धूव्,ꢤꢹꢮ꣄
களை (ந்த்)  ,undress,ஸொவ்டி3,सा॑व्डि,ꢱꣁꢮ꣄ꢞꢶ
களை (த்த்)  ,be tired,ஶீன்பொந்தி3,सीन्पा॑न्दि,ꢱꢷꢥ꣄ꢦꣁꢥ꣄ꢣꢶ
கற்பி (த்த்)  ,teach,ஸிக்காட்,सिक्काट्,ꢱꢶꢒ꣄ꢒꢵꢜ꣄
கற (ந்த்)  ,to milk,தூ3த் பீள்,दूत्पीळ्,ꢣꢹꢡ꣄ ꢦꢷꢳ꣄
கறக்கு (இன்)  ,rotate,சுட்டுபி2ர்வி,चुट्टु फीर्वि,ꢗꢸꢜ꣄ꢜꢸ ꢧꢷꢬ꣄ꢮꢶ
கறங்கு (இன்)  ,go round,சுட்டுபீ2ர்,चुट्टुफीर्,ꢗꢸꢜ꣄ꢜꢸ ꢧꢷꢬ꣄
கறுவு (இன்)  ,frown,ஸாபனொ தே3,सापना॑ दे,ꢱꢵꢦꢥꣁ ꢣꢿ
கனி (ந்த்)  ,ripen,பொள்ளொ ஹோ,पोळ्ळा॑हो,ꢦꣁꢳ꣄ꢳꣁ ꢲꣂ
கா (த்த்)  ,protect,கபா3ட்,कबाट्,ꢒꢨꢵꢜ꣄
காட்டு (இன்)  ,show,தெ3க்காட்,द॑क्काट्,ꢣꢾꢒ꣄ꢒꢵꢜ꣄
காதலி (த்த்)  ,love,ப்ரேவ்கேர்,पिरेव केर्,ꢦꢶꢬꢿꢮ꣄ ꢒꢿꢬ꣄
காய் (ந்த்)  ,"dry (int.), boil (int.)",ஸுக்கிஜா/     தப்பி ஜா,"सुक्कि जा,    तप्पि जा","ꢱꢸꢒ꣄ꢒꢶ ꢙꢵ,   ꢡꢦ꣄ꢦꢶ ꢙꢵ"
காய் (த்த்)  ,give fruit (tree) (tr.),கய்லொ தே3,कय्ला॑ दे,ꢒꢫ꣄ꢭꣁ ꢣꢾ
காய்ச்சு (இன்)  ,boil (tr.),தபாட்,तपाट,ꢡꢦꢵꢜ꣄
கிட்டு (இன்)  ,get,அப்3ப3ள்ளே,अब्बळ्ळे,ꢂꢨ꣄ꢨꢳ꣄ꢳꢿ
கிட (ந்த்)  ,lying there (money),பொட்3 ரா:,पा॑ड् र्हा,ꢦꣁꢞ꣄ ꢬꢴꢵ
கிடத்து (இன்)  ,make lie down,நிஞ்ஜாட்,निञ्जाट्,ꢥꢶꢖ꣄ꢙꢵꢜ꣄
கிடுகிடு (இன்)  ,tremble,கி2ண்கிணாட்/ கம்பனொ கேர்,"खिण्खिणट्, कम्पना॑ केर",ꢓꢶꢠ꣄ꢓꢶꢠꢵꢜ꣄ ꢒꢪ꣄ꢦꢥꣁ ꢒꢿꢬ꣄
கிடை (த்த்)  ,available,அப்3ப3ஸ்திஸொ ரா:,अब्बस्तिसा॑ र्हा,ꢂꢨ꣄ꢨꢱ꣄ꢡꢶꢱꣁ ꢬꢴꢵ
கிண்டு (இன்)  ,stir,கவ்லி,कव्लि,ꢒꢮ꣄ꢭꢶ
கிந்து (இன்)  ,limp,நொண்டி3லிசால்,ना॑ण्टिलिचाल्,ꢥꣁꢠ꣄ꢜꢶꢭꢶꢗꢵꢭ꣄
கிரகி (த்த்)  ,absorb,ஜூ2ர்/உட்சிலே/ க்3ரஹனொ கேர்,"झूर्, उट्चिले, ग्रहना॑ केर","ꢚꢹꢬ꣄ ꢆꢜ꣄ꢗꢶꢭꢾ, ꢔ꣄ꢬꢲꢥꣁ ꢒꢿꢬ꣄"
கிழி (ந்த்)  ,be tore off (int.),ப2ட்டி ஜா,फट्टि जा,ꢩꢜ꣄ꢜꢶ ꢙꢵ
கிழி (த்த்)  ,tear off (tr.),பா2ட்,फाट्,ꢩꢵꢜ꣄
கிள்ளு (இன்)  ,pinch ,சுண்டி,चुण्टि,ꢗꢸꢠ꣄ꢜꢶ
கிளப்பு (இன்)  ,start (tr.),நிகி3ளாட்,निगिळाट्,ꢥꢶꢔꢶꢳꢵꢜ꣄
கிளம்பு (இன்)  ,start (int.),நிகி3ள்,निगिळ,ꢥꢶꢔꢳ꣄
கிளறு (இன்)  ,"poke, dig up",கவ்லிஸோட்,कव्लिसोट्,ꢒꢮ꣄ꢭꢶꢱꣂꢜ꣄
கிளை (இன்)  ,branch out,ஶாகொ2 ஸோட், शाखा॑ सोट,ꢯꢵꢓꣁ ꢱꣂꢜ꣄
கிறங்கு (இன்)  ,feel giddiness,தொ3ஸ்கொசுட்டு பீ2ர்,दा॑स्का॑ चुट्टु फीर,ꢣꣁꢱ꣄ꢒꣁ ꢗꢸꢜ꣄ꢜꢸ ꢧꢷꢬ꣄
கிறுக்கு (இன்)  ,scribble,கி4ர்கி,घिर्कि,ꢕꢶꢬ꣄ꢒꢶ
கீறு (இன்)  ,tear,கொவ்ரி,कोव्रि,ꢒꣁꢮ꣄ꢬꢶ
குடி (த்த்)  ,drink,பே,पे,ꢦꢿ
குடுகுடு (த்த்)  ,act like rattle,ஸெத்3து3 ஸபொ3 கேர்,सेद्दु बा॑ केर,ꢱꢾꢣ꣄ꢣꢸ ꢱꢨꣁ ꢒꢿꢬ꣄
குடை (ந்த்)  ,carve out,கூ4வொ கேர்,घुवा॑ केर,ꢕꢸꢮꣁ ꢒꢿꢬ꣄
குணக்கு (இன்)  ,make disorder,வ்யவஸ்தொ2 நீ:த்திஸொ கேர்,व्यवस्थो न्हीत्तिसा॑ केर,ꢮ꣄ꢫꢮꢱ꣄ꢢꣁ ꢥꢴꢷꢡ꣄ꢡꢶꢱꣁ ꢒꢿꢬ꣄
குணங்கு (இன்)  ,be disordered,வ்யவஸ்தொ2 நீ:த்திஸொ ஹோ,व्यवस्थो न्हीत्तिसा॑ हो,ꢮ꣄ꢫꢮꢱ꣄ꢢꣁ ꢥꢴꢷꢡ꣄ꢡꢶꢱꣁ ꢲꣁ
குணட்டு (இன்)  ,speak/act to attract,ஆகர்ஷனொ கேர்,आकर्षना॑ केर,ꢃꢒꢬ꣄ꢰꢥꣁ ꢒꢿꢬ꣄
குணுகுணு (த்த்)  ,murmur,கு3ஸுகு3ஸு கேர்,गुसुगुसु केर,ꢔꢸꢱꢸꢔꢸꢱꢸ ꢒꢿꢬ꣄
குத்து (இன்)  ,"fist, pinch",கு3த்3தி3,गुद्दि,ꢔꢸꢣ꣄ꢣꢶ
குதம்பு (இன்)  ,chew,சவி கா2,चवि खा,ꢗꢮꢶ ꢒꢵ
