Unnamed: 0,48. Simple Verbs,48.மூலக்ரியா பதா3ன்,मूलक्रिया पदान,ꢪꢹꢭꢒ꣄ꢬꢶꢫꢵ ꢦꢣꢵꢥ꣄
அலசு (இன்)  ,rinse,அல்சி,अल्चि,ꢂꢭ꣄ꢗꢶ
அலட்டு (இன்)  ,boast,ஶ்லாக4ணகெர்லே,श्लाघणक॑र्ले,ꢯ꣄꣄ꢭꢵꢕꢠꢒꢾꢬ꣄ꢭꢿ
அலம்பு (இன்)  ,wash,தூ4வ்,धूव्,ꢤꢹꢮ꣄
அலறு (இன்)  ,scream,ப4வாட்தாய்,भवाट्ताय,ꢩꢮꢵꢜ꣄ꢡꢵꢫ꣄
அலை (ந்த்)  ,wander,லோல்போட்,लोल्पोट्,ꢭꣂꢭ꣄ ꢦꣂꢜ꣄
அலை (த்த்)  / அலைக்கழி (த்த்)  ,make to wander,லோல் பொடா3ட்/ ஸிரள்ஜாட்,"लोल पा॑डाट, सिरळ्जाट","ꢭꣂꢭ꣄ ꢦꣁꢞꢜ꣄, ꢱꢶꢬꢳ꣄꣄ꢙꢵꢜ꣄"
அழி (ந்த்)  ,be destroyed,நஶினம்ஹோ/ நாஶனொ ஹோ,"नशिनम हो, नाशनो हो","ꢥꢯꢶꢶꢥꢪ꣄ ꢲꣁ, ꢥꢵꢯꢥꣁ ꢲꣁ"
அழி (த்த்)  ,destroy,நஶினம்கேர்,नशिनम केर्,ꢥꢯꢶꢶꢥꢪ꣄ ꢒꢿꢬ꣄
அவி (த்த்)  ,boil (in steam),ஸிஜ்வி/ ஸிவ்ஜி,"सिज्वि, सिव्जि","ꢱꢶꢙ꣄ꢮꢶ, ꢱꢶꢮ꣄ꢙꢶ"
அவிழ் (த்த்)  ,loosen,ஸொவ்டி3,सा॑व्डि,ꢱꣁꢮ꣄ꢞꢶ
அழு (த்)  ,"cry, weap",ரோட்,रोट्,ꢬꣂꢜ꣄
அழுகு (இன்)  ,decay,முர்கி3/ முர்க3யிஜா,"मुर्गि, मुर्गयिजा","ꢪꢸꢬ꣄ꢔꢶ, ꢪꢸꢬ꣄ꢔꢫꢶꢙꢵ"
அழுத்து (இன்)  ,press,அம்கி,अम्कि,ꢂꢪ꣄ꢒꢶ
அழுந்து (இன்)  ,be pressed,அம்கயிஜா,अम्कयिजा,ꢂꢪ꣄ꢒꢫꢶꢙꢵ
அழை (த்த்)  ,call,போ3வ்,बोव्,ꢨꣂꢮ꣄
அள்ளு (இன்)  ,take handful,வார்,वार्,ꢮꢵꢬ꣄
அள (ந்த்)  ,measure,மோவ்/மொவ்ஜி,"मोव्, मा॑व्जि","ꢪꣂꢮ꣄, ꢪꣁꢮ꣄ꢙꢶ"
அளி (த்த்)  ,give,தே3,दे,ꢣꢿ
அளை (ந்த்)  ,meddle,கவ்லி,कव्लि,ꢒꢮ꣄ꢭꢶ
அறி (ந்த்)  ,know,களைலே,कळैले,ꢒꢳꣀꢭꢾ
அறு (ந்த்)  ,be cut,கடயி ஜா,कटयि जा,ꢒꢜꢫꢶꢙꢵ
அறு (த்த்)  ,cut,காட்,काट्,ꢒꢵꢜ꣄
அறை (ந்த்)  ,beat strongly,கா4ம்தாய்,घाम्ताय्,ꢕꢵꢪ꣄ ꢡꢵꢫ꣄
அனுசரி (த்த்)  ,follow,தா4னுக்ஜா/அனுஸரி,"धानुक्जा, अनुसरि","ꢤꢵꢥꢸꢒ꣄ꢙꢵ, ꢂꢥꢸꢱꢬꢶ"
அனுப்பு (இன்)  ,send,த4ட்டே3,धट्डे,ꢤꢜ꣄ꢞꢾ
அனுபவி (த்த்)  ,experience,அனுப3விஞ்சி/பொந்தி3,"अनुबविञ्चि, पा॑न्दि","ꢂꢥꢸꢨꢮꢶꢛ꣄ꢗꢶ, ꢦꣁꢥ꣄ꢣꢶ"
அனுமதி (த்த்)  ,permit,அனுமதி,अनुमति,ꢂꢥꢸꢪꢡꢶ
அனுமானி (த்த்),guess,ஊஹம் கேர்,ऊहम केर,ꢇꢲꢪ꣄ ꢒꢿꢬ꣄
ஆக்கிரமி (த்த்)  ,aggress,ஆக்ரமொ கேர்,आक्रमा॑ केर,ꢃꢒ꣄ꢬꢪꣁ ꢒꢿꢬ꣄
ஆக்கு (இன்)  ,make,ஹொவாட்,होवाट,ꢲꣁꢮꢵꢜ꣄
ஆகு (இன்)  ,become,ஹோ,हो,ꢲꣂ
ஆசீர்வதி (த்த்)  ,bless,ஆஶிர்வாத் கேர்,आशिर्वात्केर्,ꢃꢯꢶꢬ꣄ꢮꢵꢡ꣄ ꢒꢿꢬ꣄
ஆட்சேபி (த்த்)  ,object,ஆக்க்ஷேபணொகேர்,आक्षएपणा॑केर्,ꢃꢒ꣄ꢰꢿꢿꢦꢠꣁ ꢒꢿꢬ꣄
ஆட்டு (இன்)  ,swing,ஹிந்தா3ள்,हिन्दाळ्,ꢲꢶꢥ꣄ꢣꢵꢳ꣄
ஆடு (இன்)  ,"dance, swing",நாச்/கா2ள்,"नाच्, खाळ्","ꢥꢵꢗ꣄, ꢓꢵꢭ꣄"
ஆதரி (த்த்)  ,support,ஆத3ரொ கேர்/ அத்3தி3னி தே3,"आदरा॑ केर, अद्दिनि दे","ꢃꢣꢬꣁ ꢒꢿꢬ꣄, ꢂꢣ꣄ꢣꢶꢥꢶ ꢣꢿ"
ஆமோதி (த்த்)  ,accept,ஒப்பிலே,आ॑प्पिले,ꢏꢦ꣄ꢦꢶꢭꢿ
ஆரம்பி (த்த்)  ,begin,ஹரும்ப3ம்கேர்,हरुम्बम्केर,ꢂꢬꢸꢪ꣄ꢦꢪ꣄ꢒꢾꢬ꣄
ஆரவாரி (த்த்)  ,make noise,ரெச்சொதாய்,रेच्चा॑ताय,ꢬꢾꢗ꣄ꢗꣁꢡꢵꢫ꣄
ஆராட்டு (இன்)  ,give holy bath,தீர்த்துபு3டா3ட்,तीर्त्तुबुडाट,ꢣꢷꢬ꣄ꢡ꣄ꢡꢸꢨꢸꢞꢜ꣄
ஆராய் (ந்த்)  ,research,பரிஶோத4னொ கேர்,परिशोधना॑ केर,ꢦꢬꢶꢯꣂꢤꢥꣁ ꢒꢿꢬ꣄
ஆலோசி (த்த்)  ,think,ஸெர்சிலே,स॑र्च्चिले,ꢱꢾꢗ꣄ꢗꢶꢭꢿ
ஆழ் (ந்த்)  ,immerse (int.),பூ3ட்3,बूड्,ꢨꢹꢞ꣄
ஆழ்த்து (இன்)  ,immerse (tr.),பு3ட்3வி,बुड्वि,ꢨꢸꢞ꣄ꢮꢶ
ஆள் (ண்ட்)  ,rule,ஸௌஸி,सौसि,ꢱꣀꢱꢶ
ஆற்று (இன்)  ,cool,நிவாட்,निवाट्,ꢥꢶꢮꢵꢜ꣄
