Unnamed: 0,7. Dress and Ornaments,Unnamed: 2,Unnamed: 3,Unnamed: 4
துவர்த்து ,towel,கஸ்நி,कस्नि,ꢒꢱ꣄ꢥꢶ
தொப்பி ,hat,பகி3டி3,पगिडि,ꢦꢔꢶꢞꢶ
தோடு ,big ear stud,தௌணட்,तौणट,ꢡꣃꢠꢜ꣄
நகை ,ornament,பூ4ஷண,भूषण,ꢩꢹꢰꢠ
நீலக்கல் ,saphire,நிலதெ3ய்ட3,निलद॑य्ड,ꢥꢶꢭꢣꢾꢫ꣄ꢞ
நெற்றிச்சுட்டி ,forehead ornament,பிம்ப3ளம்,पिम्बलम,ꢦꢶꢪ꣄ꢨꢭꢪ꣄
பட்டு ,silk,"கௌஸ், கொவ்ஶ்","कौस, का॑व्श्","ꢒꣃꢱ꣄, ꢒꣁꢮ꣄ꢯ꣄"
பச்சைக்கல் ,emerald,மரக3தம்,मरगतम्,ꢪꢬꢔꢡꢪ꣄ 
பவளம் ,coral,பொம்ளொ,पा॑म्ळा॑,ꢦꣁꢪ꣄ꢳꣁ
பாம்படம் ,ear ornament,லொம்ப3ட3ம்,ला॑म्बडम,ꢭꣁꢪ꣄ꢨꢞꢪ꣄
பாவாடை ,skirt (long),கொ3ணம்,गा॑ण्म्,ꢔꣁꢠꢪ꣄
புடவை ,sari,ஸெளளொ,सौळा॑,ꢱꣁꢳꣁ
புல்லாக்கு ,nose drops (ornament),பி3லாக்,बिलाक्,ꢨꢶꢭꢵꢒ꣄
புஷ்பராகம் ,topaz,புஷ்பராக3ம்,पुश्परागम्,ꢦꢸꢰ꣄ꢦꢬꢵꢔꢪ꣄
பைஜாமா ,pyjamas,பை3ஜமா,बैजमा,ꢨꣀꢙꢪꢵ
பொட்டு ,kumkum,குங்கு3ம்,कुङगुम्,ꢒꢸꢖ꣄ꢔꢸꢪ꣄
போர்வை ,blanket,ப2ங்கு3ரொ,फङगुरा॑,ꢧꢖ꣄ꢔꢸꢬꣁ
மரகதம் ,emerald,மரக3தம்,मरगतम्,ꢪꢬꢔꢡꢪ꣄
மரச்செருப்பு ,wooden slippers,பௌகள்,पौकळ,ꢦꣃꢒꢳ꣄
