Unnamed: 0,49. Compound Verbs,மிஶ்ர க்ரியான்,मिश्र क्रियान,ꢪꢶꢯ꣄꣄ꢬ ꢒ꣄ꢬꢶꢫꢵꢥ꣄
அறுவடைசெய்  ,harvest,பிக்கினி காட்/    பீக் காட்,"प्क्किनि काट, पीक काट","ꢦꢶꢒ꣄ꢒꢶꢥꢶ ꢒꢵꢜ꣄,  ꢦꢷꢒ꣄ ꢒꢵꢜ꣄"
அன்னியமாகு  ,Get alienated,அன்யொஹோ,अन्या॑ हो,ꢂꢥ꣄ꢫꣁ ꢲꣂ
ஆச்சரியப்படு  ,wonder,அதி3ஸம்போட்,अदिसम्पोट्,ꢂꢣꢶꢱꢪ꣄ ꢦꣂꢜ꣄
ஆச்சரியப்படுத்து   ,amaze (tr.),ஆஶ்சர்யு பொடா3ட்,आश्चर्यु पा॑डाट,ꢃꢯ꣄꣄ꢗꢬ꣄ꢫꢸ ꢦꣁꢞꢵꢜ꣄
ஆசைப்படு  ,desire,ஆஸ்தபோட்,आस्त पोट्,ꢃꢱ꣄ꢡ ꢦꣂꢜ꣄
ஆட்கொள்  ,Take possession/ make one’s own,அபுல் கெர்லே/ அபுல்கனி வஹிலே/அப்லான் கெர்லே,"अपुल क॑र्ले, अपुल्कनि वहिले, अप्लान क॑र्ले","ꢂꢦꢸꢭ꣄ ꢒꢾꢬ꣄ꢭꢾ, ꢂꢦꢸꢭ꣄ꢒꢥꢶ ꢮꢲꢶꢭꢿ, ꢂꢦ꣄ꢭꢵꢥ꣄ ꢒꢾꢬ꣄ꢭꢿ"
ஆட்டம்காண்  ,be shaken,ஸ்தி2ரம் நீ:த்தொ ரா:/ ஹல்லன் நிகி3ள்,"स्तिरम न्हीत्ता॑ र्हा, हल्लन निगिल","ꢱ꣄ꢢꢶꢬꢪ꣄ ꢥꢴꢷꢡ꣄ꢡꣁ ꢬꢴ ꢵ, ꢲꢭ꣄ꢭꢥ꣄ ꢥꢶꢔꢶꢭ꣄"
ஆணை பிறப்பி   ,order,உத்தர் தே3,उत्तर्दे,ꢆꢣ꣄ꢣꢬ꣄ ꢣꢾ
ஆத்திரப்படு  ,get angry,ராக் அன்லே,राक् अन्ले,ꢬꢵꢒ꣄ ꢂꢥ꣄꣄ꢭꢾ
ஆத்திரமூட்டு  ,incense,ராக்அவாட்,राक् अवाट्,ꢬꢵꢒ꣄ ꢂꢮꢵꢜ꣄
ஆதரவளி  ,"support, patronize",ஆத3ரொ தே3,आदरा॑ दे,ꢃꢣꢬꣁ ꢣꢿ
ஆயத்தமாகு  ,get ready,தெயார் கெர்லே,त॑यार क॑र्ले,ꢡꢾꢫꢵꢬ꣄ ꢒꢾꢬ꣄ꢭꢿ
