Unnamed: 0,49. Compound Verbs,மிஶ்ர க்ரியான்,मिश्र क्रियान,ꢪꢶꢯ꣄꣄ꢬ ꢒ꣄ꢬꢶꢫꢵꢥ꣄
ஒன்றுசேர்  ,"unite, assemble",ஜெதொ செர்சி,ज॑ता॑ च॑र्चि,ꢙꢾꢡꣁ ꢗꢾꢬ꣄ꢗꢶ
ஒடிப்போ  ,elope,த4மி ஜா,धमि जा,ꢤꢪꢶ ꢙꢵ
ஒய்வுபெறு  ,retire, நிவ்ருதி ஹோ,निव्रुति हो,ꢥꢶꢮ꣄ꢬꢸꢡꢶ ꢲꣂ
ஒவியம்தீட்டு  ,paint,சித்ரு லிகி2,चित्रु लिखि,ꢗꢶꢡ꣄ꢬꢸ ꢭꢶꢓꢶ
கங்கணங்கட்டு  ,make up mind,திர்மான் கெர்லே,तिर्मान क॑र्ले,ꢡꢶꢬ꣄ꢪꢵꢥ꣄ ꢒꢾꢬ꣄ꢭꢿ
கச்சைகட்டு  ,begirdle,கேட் ப4ந்தி3லே,केट् भन्दिले,ꢒꢿꢜ ꣄ꢩꢥ꣄ꢣꢶꢭꢿ
கட்டணங்கட்டு  ,remit fee,ஸுல்கொ ப4ந்தி3,सुल्का॑ भन्दि,ꢱꢸꢭ꣄ꢒꣁ ꢩꢥ꣄ꢣꢶ
கட்டளைபிறப்பி   ,to issue an order,ஆஜ்ஞொ தே3,आजञो दे,ꢃꢙ꣄ꢛꣁ ꢣꢿ
கட்டளையிடு  ,command,ஆஜ்ஞொதாய்,आजञो ताय,ꢃꢙ꣄ꢛꣁꢣꢿ ꢡꢵꢫ꣄
கட்டாயப்படுத்து   ,compel,ப3ல்வந்து கேர்,बलवन्तु केर्,ꢨꢭꢮꢥ꣄ꢡꢸ ꢒꢿꢬ꣄
கட்டுக்கடங்கு  ,be under control,அதி4காரும் ரா:,अधिकारुम र्हा,ꢂꢤꢶꢒꢵꢬꢸꢪ꣄ ꢬꢴꢵ
கட்டுப்படுத்து  ,control,நியந்த்ரணொகேர்,नियन्त्रणा॑केर,ꢥꢶꢫꢥ꣄ꢡ꣄ꢬꢠꣁꢒꢿꢬ꣄
கட்டுப்போடு  ,bandage,கெட்டுதாய்,केट्टु ताय,ꢒꢾꢜ꣄ꢜꢸ ꢡꢵꢫ꣄
கடத்திச்செல்  ,kidnap,ஹெள்ளி ஜா,ह॑ळ्ळि जा,ꢲꢾꢳ꣄ꢳꢶꢶ ꢙꢵ
கடமையாற்று  ,do the duty,கர்தவ் கேர்,कर्तव केर,ꢒꢬ꣄ꢡꢮ꣄ ꢒꢿꢬ꣄
கடன்படு  ,Get indebted ,ரீண் போட்,रीण पोट,ꢬꢷꢠ꣄ ꢦꣂꢜ꣄
கடன்வாங்கு  ,borrow,ரீண்கா2ட்,रीण खाट,ꢬꢷꢠ꣄ ꢓꢵꢜ꣄
கடினமாக்கு  ,harden,கெ2டின் கேர்,खेटिन्केर्,ꢓꢾꢜꢶꢥ꣄ ꢒꢿꢬ꣄
கடைபிடி  ,follow,அனுஸரிலே/தொரி ஜா,अनुसरिले/ता॑रि जा,"ꢂꢥꢸꢱꢬꢶꢭꢾ, ꢡꣁꢬꢶ ꢙꢵ"
கண்காணி  ,Watch/ superintend,க3ம்சி ஸெய்லே,गम्चि स॑य्ले,ꢔꢪ꣄ꢗꢶ ꢱꢾꢫ꣄ꢭꢿ
கண்சிமிட்டு  ,wink,தொ3ளொ மிஸ்கி,दा॑ळा॑ मिस्कि,ꢣꣁꢳꣁ ꢪꢶꢱ꣄ꢒꢶ
கண்டனம் செய்   ,condemn,க2ண்ட3ணொ கேர்,खण्डणा॑ केर्,ꢓꢠ꣄ꢞꢠꣁ ꢒꢿꢬ꣄
கண்டுபிடி  ,"discover, invent",தெ3க்கிதே4ர்,द॑क्कि धेर्,ꢣꢾꢒ꣄ꢒꢶ ꢤꢿꢬ꣄
கண்ணீர்சொரி  ,shed tears,தொ3ளாம்பனி கா2ட்,दा॑ळाम्पनि खाट,ꢣꣁꢳꢵꢪ꣄ꢦꢥꢶ ꢓꢵꢜ꣄
கண்ணுறு  ,see,தொ3ளொஹோர் ஸெய்லே,दा॑ळा॑होर स॑य्ले,ꢣꣁꢳꣁꢲꣁꢬ꣄ ꢱꢾꢫ꣄ꢭꢿ
கணக்கிடு  ,"enumerate, to account",லெ:க்கொ கேர்,ल्ह॑क्को केर,ꢭꢴꢾꢒ꣄ꢒꣁ ꢒꢿꢬ꣄
கதவடை  ,lock-out,காம் ஹிப்3பா3ட்,काम हिब्बाट,ꢒꢵꢪ꣄ ꢲꢶꢨ꣄ꢨꢵꢜ꣄
கதிகலங்கு  ,Be at a loss,கெரன் களனாதொ ரா:,क॑रन कलनाता॑ र्हा,ꢒꢾꢬꢥ꣄ ꢒꢭꢥꢵꢡꣁ ꢬꢴꢵ
கர்ப்பம்தரி  ,conceive,கெ4ர்வார் ரா:,घ॑र्वार् र्हा,ꢕꢾꢬ꣄ꢮꢵꢬ꣄ ꢬꢴꢵ
கருச்சிதைவு செய்   ,abort,க3ர்பு4 ஜவாட்,गर्भु जवाट,ꢔꢬ꣄ꢩꢸ ꢙꢵꢮꢵꢜ꣄
கருத்துரை  ,opine,அபி4ப்ராய்ஸங்கி3,अभिप्रायम्सङ्गि,ꢂꢩꢶꢦ꣄ꢬꢵꢫꢪ꣄ ꢱꢖ꣄ꢔꢶ
கரைபுரள்  ,find no bound,கெட்டத3டா3ஸ்திஸொ ஜா,क॑ट्टदडास्ति सा॑ जा,ꢒꢾꢜ꣄ꢜꢣꢞꢱ꣄ꢡꢶ ꢱꣁ ꢙꢵ
கலக்கமடை  ,Be confounded/ be confused,ப்4ரமொ ஹோ,भ्रमो हो,ꢩ꣄ꢬꢪꣁ ꢲꣂ
கலகம் செய்   ,"riot, rebel",கலஹொ கேர்/ அராஜகதொ கேர்,"कलहा॑ केर, अराजकता॑ केर","ꢒꢭꢲꣁꢒꢿꢬ꣄, ꢂꢬꢵꢙꢒꢡꣁ ꢒꢿꢬ꣄"
கலவரப்படுத்து   ,Plunge into riot ,கலஹொ கெராட்,कलहा॑ क॑राट,ꢒꢭꢲꣁ ꢒꢾꢬꢵꢜ꣄
கலவரமடை  ,Get agitated,மொன்னு கவ்லயி ரா:,मोन्नु कव्लयि र्हा,ꢪꣁꢥ꣄ꢥꢸ ꢒꢮ꣄ꢭꢫꢶ ꢬꢴꢵ
கள்ளிறக்கு  ,brew,கெள்ளு ஒட்சி,क॑ळ्ळु आ॑ट्चि,ꢒꢾꢳ꣄ꢳꢸ ꢏꢜ꣄ꢗꢶ
கற்பனை செய்   ,imagine,கல்பனொகேர்,कल्पना॑ केर,ꢒꢭ꣄ꢦꢥꣁ ꢒꢾꢬ꣄
கறைப்படுத்து  ,Corrupt/ stain,நேமொ நாஶ் /காட் பொடா3ட்,"न॑मा॑ नाश, काट पा॑डाट","ꢥꢿꢪꣁ ꢥꢵꢯ꣄꣄, ꢒꢵꢜ꣄ ꢦꣁꢞꢜ꣄"
கனவுகாண்  ,dream,ஸொப்னொ தெ3க்கி,सा॑प्ना॑ देक्कि,ꢱꣁꢦ꣄ꢥꣁ ꢣꢾꢒ꣄ꢒꢶ
காட்சியளி  ,appear,த3ர்ஶனொ தே3,दर्शना॑ दे,ꢣꢬ꣄ꢯꢥꣁ ꢣꢿ
காட்டிக்கொடு  ,betray,தெ3க்கடி3தே3/ மோஸ் கேர்/ து3ரோஹ் கேர்,"त॑क्कडि दे, मोस केर, दुरोह केर","ꢣꢾꢒ꣄ꢒꢞꢶ ꢣꢿ, ꢪꣂꢱ꣄ ꢒꢿꢬ꣄, ꢣꢸꢬꣂꢲ꣄ ꢒꢿꢬ꣄"
காத்திரு  ,wait,ர:க்கி ரா:,र:क्कि र्हा,ꢬꢒ꣄ꢒꢶ ꢬꢴꢵ
காதல்கொள்  ,Fall in love,ப்ரேவ்போட்,प्रेव पोट,ꢦ꣄ꢬꢿꢮ꣄ ꢦꣁꢜ꣄
காதில்விழு  ,hear,கானும் போட்,कानुम पोट,ꢒꢵꢥꢸꢪ꣄ ꢦꣂꢜ꣄
காதுகொடு  ,listen,கான் ஹோர் ஐகி,कान होर ऐकि,ꢒꢵꢥ꣄ ꢲꣂꢬ꣄ ꢎꢒꢶ
காயம்படு  ,get wounded,கா4ம் போட்,घाम्पोट,ꢕꢵꢪ꣄ ꢦꣂꢜ꣄
காயப்படுத்து  ,wound,கா4ம் பொடா3ட்,घाम्पा॑डाट,ꢕꢵꢪ꣄ ꢦꣁꢞꢜ꣄
காலமாகு  ,expire,கால் ஹோ/ தெ3வ்கயி ஜா,"काल हो, द॑व्कयि जा","ꢒꢵꢭ꣄ ꢲꣁ, ꢣꢾꢮ꣄ꢒꢫꢶ ꢙꢵ"
காவல்செய்  ,guard,காப3ந்து3 கேர்,काबन्दु केर,ꢒꢵꢨꢥ꣄ꢣꢸ ꢒꢿꢬ꣄
கிலியூட்டு  ,scare,பீ4திகேர்/ தா4க் அவாட்,"भीतिकेर, धाक अवाट","ꢩꢷꢡꢶꢒꢿꢬ꣄, ꢤꢵꢒ꣄ ꢂꢮꢵꢜ꣄"
கிளர்ச்சியடை  ,get stimulated (int.),ஸஞ்சலனொ ஹோ,सञ꣄चलना॑ हो,ꢱꢛ꣄ꢗꢭꢥꣁ ꢲꣂ
கிளர்ச்சியூட்டு  ,stimulate (tr.),ஸஞ்சலனொ கேர்,सञ꣄चलना॑ केर,ꢱꢛ꣄ꢗꢭꢥꣁ ꢒꢿꢬ꣄
கீழ்ப்படி  ,obey,ஆஜ்ஞொ பாலனொ கேர்/ ஆஜ்ஞொதா4னு சால்/ அதி4கார் தா4னு சல்லே,"आजञो पालना॑ केर, आजञोधानु चाल, अधिकार धानु चल्ले","ꢃꢙ꣄ꢛꣁ ꢦꢵꢭꢥꣁ ꢒꢿꢬ꣄, ꢃꢙ꣄ꢛꣁꢤꢵꢥꢸ ꢗꢵꢭ꣄, ꢂꢤꢶꢒꢵꢬ꣄ ꢤꢵꢥꢸ ꢗꢭ꣄ꢭꢾ"
கீழ்ப்படுத்து  ,Subjugate,கா2ல் ர:வாட்,खाल्र् र्हवाट,ꢓꢵꢭ꣄ ꢬꢴꢮꢵꢜ꣄
குடிகொள்  ,Inhabit,மொன்னும் பீ3ஸ்,मा॑न्नुम बीस,ꢪꣁꢥ꣄ꢥꢸꢪ꣄ ꢨꢷꢱ꣄
குடியமர்த்து  ,Form a settlement,காப் ர:வாட்/ வாஸஸ்த2லொ நிர்ணயொ கேர்,"काप र्हवाट, वासस्थला॑ निर्णया॑ केर","ꢒꢵꢦ꣄ ꢬꢴꢮꢵꢜ꣄, ꢮꢵꢱꢱ꣄ꢢꢭꣁ ꢥꢶꢬ꣄ꢠꢫꣁ ꢒꢿꢬ꣄"
குடியிரு  ,inhabit,வாஸ்கேர்,वास्केर,ꢮꢵꢱ꣄ꢒꢿꢬ꣄
குடியேற்று  ,populate,வாஸ் கெராட்,वास क॑राट,ꢮꢵꢱ꣄ ꢒꢾꢬꢵꢜ꣄
குடியேறு  ,migrate,வாஸ் ஹோ/ காப் ஜா,"वास हो, काप जा","ꢮꢵꢱ꣄ ꢲꣁ, ꢒꢵꢦ꣄ ꢙꢵ"
குணப்படுத்து  ,heal,ப3ரொ கேர்,बरा॑ केर,ꢨꢬꣁ ꢒꢿꢬ꣄
கும்பிடு  ,worship,பாஇ~போட்,पाइ~ पोट,ꢦꢵꢄ ꢱꢦꣂꢜ꣄ 
குழப்பமடை  ,be confused,லும்ப்லொஹோ,लुम्प्ला॑ हो,ꢭꢸꢪ꣄ꢦ꣄ꢭꣁ ꢲꣁ
குழப்பமூட்டு  ,"embarrass, confuse (tr.)",லும்ப்லொ கேர்,लुम्प्ला॑केर,ꢭꢸꢪ꣄ꢦ꣄ꢭꣁꢒꢿꢬ꣄
குழிபறி  ,defraud,பொல்லம்கொவ்ரி,पा॑ल्लम्का॑व्रि,ꢦꣁꢭ꣄ꢭꢪ꣄ ꢒꣁꢮ꣄ꢬꢶ
குளிர்காய்  ,bask,ஹூன்லக3ள்ளே/ஹீம் ஜவட்3ளே,"हून्लगळ्ळे, हीम जव्ड्ळे","ꢲꢹꢥ꣄ꢭꢔꢳ꣄ꢳꢿ, ꢲꢷꢪ꣄ ꢙꢮꢞ꣄ꢳꢿ"
குற்றம்கூறு  ,accuse,சூக் ஸங்கி3,चूक सङ्गि,ꢗꢹꢒ꣄ ꢱꢖ꣄ꢔꢶ
குற்றம்புரி  ,do a mistake,சூக் கேர்,चूक केर,ꢗꢹꢒ꣄ ꢒꢿꢬ꣄
குறிசொல்  ,foretell,பொஸ்மெ ஸங்கி3, पा॑स्म॑ सङ्गि,ꢦꣁꢱ꣄ꢪꢾ ꢱꢖ꣄ꢔꢶ
குறிப்பிடு  ,"denote, mention",ஹெடி3ஸங்கி3,ह॑डि सङ्गि,ꢲꢾꢞꢶ ꢱꢖ꣄ꢔꢶ
குறியிடு  ,mark,சின்ஹு கா4ல்,चिनहु घाल,ꢗꢶꢥ꣄ꢲꢸ ꢕꢵꢭ꣄
குறிவை  ,aim at,லெக்கு தோ2வ்/ த்4யேயு தொ2வ்லே,"ल॑क्कु थोव, ध्येयु था॑व्ले","ꢭꢾꢒ꣄ꢒꢸ ꢢꣂꢮ꣄, ꢤ꣄ꢫꢿꢫꢸ ꢢꣁꢮ꣄ꢭꢿ"
கூச்சப்படு  ,feel shy,லாஜ்ல க3ள்ளே/ லாஜ் பொந்தி3,"लाज्ल गळ्ळे, लाज पा॑न्दि","ꢭꢵꢙ꣄ꢭꢔꢳ꣄ꢳꢿ, ꢭꢵꢙ꣄ ꢦꣁꢥ꣄ꢣꢶ"
கூச்சலிடு  ,shout,ரெச்சொமாட்,र॑च्चा॑ माट,ꢬꢾꢗ꣄ꢗꣁ ꢪꢵꢜ꣄
கூடாரமடி  ,camp,முகா3ம்தாய்,मुगाम्ताय्,ꢪꢸꢔꢵꢪ꣄ ꢡꢵꢫ꣄
கூடுதலாக்கு  ,enhance,வேன் கேர்,वेन्केर्,ꢮꢿꢥ꣄ꢒꢿꢬ꣄
கூத்தாடு  ,dance in anger,ருத்3ரதாண்ட3வ் கா2ள்,रुद्रताण्टव खाळ,ꢬꢸꢣ꣄ꢬꢡꢵꢠ꣄ꢜꢮ꣄ ꢓꢵꢳ꣄
கூப்பாடுபோடு  ,shout,கூக்3கா4ல்,कूग घाल,ꢗꢹꢔ꣄ ꢕꢵꢭ꣄
கெஞ்சிக்கேள்  ,entreat,கெஞ்ஜிமாய்,क॑ञ्जिमाय्,ꢒꢾꢛ꣄ꢙꢶꢪꢵꢫ꣄
கேலி செய்   ,jest,கெ2ல்லல்கேர்,ख॑ल्लल्केर्,ꢓꢾꢭ꣄ꢭꢭ꣄ꢒꢿꢬ꣄
கேவலப்படு  ,be mocked,அவ்மான்போட்,अव्मान्पोट्,ꢂꢮ꣄ꢪꢵꢥ꣄ ꢦꣂꢜ꣄
கேள்விப்படு  ,have heard of,ஐகினி போட்,ऐकिनि पोट्,ꢎꢒꢶꢥ ꢶꢦꣂꢜ꣄
கைக்கொள்  ,take in hand,ஹாதும் க2ள்ளே,हातुम्खळ्ळे,ꢲꢵꢡꢸꢪ꣄ ꢓꢳ꣄ꢳꢾ
கைக்குலுக்கு  ,shake hand,ஹாத் ஹல்வி,हात हल्वि,ꢲꢵꢡ꣄ ꢲꢭ꣄ꢮꢶ
கைகுவி  ,greet (fold hand),தீ3ஹாத்செர்சிலி அஞ்ஜலி கேர்,दीहात च॑र्चिलि अञ्जलि केर,ꢣꢷꢲꢵꢡ꣄ ꢗꢾꢬ꣄ꢗꢶꢭꢶ ꢂꢛ꣄ꢙꢭꢶ ꢒꢿꢬ꣄
கைகூடு  ,to be fulfilled,ஸித்3தி4 ஹோ,सिद्धि हो,ꢱꢶꢣ꣄ꢤꢶ ꢲꣂ
கைகொட்டு  ,clap,ஹாத்தெட்டி,हात्त॑ट्टि,ꢲꢵꢡ꣄ ꢡꢾꢜ꣄ꢜꢶ
கைது செய்   ,arrest,கைது3கேர்/ ப3ந்தி3 கேர்,"कैदुकेर, बन्दिकेर","ꢒꣀꢣꢸꢒꢾꢬ꣄, ꢨꢥ꣄ꢣꢶ ꢒꢿꢬ꣄"
கைப்பற்று  , marry,பாணிக்3ரஹனொ கெர்லே/ ஹொராட் கெர்லே,"पाणिगरहना॑ क॑र्ले, हा॑राट क॑र्ले","ꢦꢵꢠꢶꢔ꣄ꢬꢲꢥꣁ ꢒꢾꢬ꣄ꢭꢿ, ꢲꣁꢬꢵꢜ꣄ ꢒꢾꢬ꣄ꢭꢿ"
கையாடு  ,misappropriate,ஹாத்தோ2வ்,हात्थोव्,ꢲꢵꢡ꣄ ꢢꣂꢮ꣄
கையாள்  ,handle,சல்தொ கேர்,चल्त्ता॑ केर,ꢗꢭ꣄ꢡꣁ ꢒꢿꢬ꣄
கைவிடு  ,leave,ஸொட்3டி3ஜா,सा॑ड्डिजा,ꢱꣁꢞ꣄ꢞꢶ ꢙꢵ
கொட்டாவிவிடு  ,yawn,தொ4ம்பு3ளாய்தே3,धा॑म्बुलाय्द॑,ꢤꣁꢪ꣄ꢨꢸꢭꢵꢫ꣄ ꢡꢿ
கொடுமைப்படுத்து  ,ill treat,து3ராசரணொ கேர்/ ஹிம்ஸொ கேர்,"दुराचरणा॑ केर, हिम्सा॑ केर","ꢣꢸꢬꢵꢗꢬꢠꣁ ꢒꢿꢬ꣄, ꢲꢶꢪ꣄ꢱꣁ ꢒꢿꢬ꣄"
கொதிப்புறு  ,boil,ரெக3த்கே2ட்3,र॑गत खेड,ꢬꢾꢔꢡ꣄ ꢓꢾꢞ꣄
கொலை செய்  ,murder,ஜீவ் தூ3ஸ்,जिव्दूस्,ꢙꢷꢮ꣄ ꢣꢹꢱ꣄
கொள்ளையடி  ,Rob/ plunder,லூட்மார் கேர்/ ஸூட் ஹான்,"लूट्मार केर, सूट हान","ꢭꢹꢜ꣄ꢪꢵꢬ꣄ ꢒꢿꢬ꣄, ꢱꢹꢜ꣄ ꢲꢵꢥ꣄"
கௌரவம்கொள்  ,have prestige,கெ4னம் பொந்தி3,घ॑नम पा॑न्दि,ꢕꢾꢥꢪ꣄ ꢦꣁꢥ꣄ꢣꢶ
சட்டம்போடு  ,enframe,ஸட்டம்தாய்,सट्टाम्ताय्,ꢱꢜ꣄ꢜꢪ꣄ ꢡꢵ
சண்டையிடு  ,quarrel,ஜெ2டொ3 மல்லே,झ॑डा॑ मल्ले,ꢚꢾꢞꣁ ꢪꢭ꣄ꢭꢿ
சதி செய்   ,Plot against,கூ3டொ4 கேர்/ ஸதி கேர்,"गूढा॑ केर्,सति केर","ꢔꢹꢟꣁ ꢒꢿꢬ꣄, ꢱꢡꢶ ꢒꢿꢬ꣄"
சந்தோஷப்படு  ,enjoy,ஸொந்தோஷ் போட்,सोन्तोष पा॑ट ,ꢱꣁꢥ꣄ꢡꣂꢰ꣄ ꢦꣂꢜ꣄
சமமாக்கு  ,equalize,ஸமொகேர்,समा॑ केर,ꢱꢪꣁ ꢒꢿꢬ꣄
சமாதானப்படுத்து  ,compromise,ஸமதா4ன் கேர்,समधान केर,ꢱꢪꢤꢵꢥ꣄ ꢒꢿꢬ꣄
சமையல் செய்   ,cook,ஹந்தி3,हन्दि,ꢲꢥ꣄ꢣꢶ
சரணடை  ,surrender,ஸரணாக3திபொந்தி3,सरणागतिपा॑न्दि,ꢱꢬꢠꢵꢔꢣꢶꢦꣁꢥ꣄ꢣꢶ
சரிக்கட்டு  ,tally,லெ:க்கஸெர்கொ கேர்,ल्ह॑क्कस॑र्क्का॑ केर्,ꢭꢾꢒ꣄ꢒ ꢱꣁꢬ꣄ꢒ꣄ꢒꣁ ꢒꢿꢬ꣄
சரிப்படுத்து  ,make correction,ஸெர்ககேர்,स॑र्क्क केर्,ꢱꢾꢬ꣄ꢒ꣄ꢒ ꢒꢿꢬ꣄
சலவை செய்  ,wash,செல்வொகேர்,च॑ल्वा॑ केर्,ꢗꢾꢭ꣄ꢮꣁ ꢒꢿꢬ꣄
சலாமிடு  ,Greet/ salute,மொர்க்3யாத் களாட்,मोर्ग्यात कळाट,ꢪꣁꢬ꣄ꢔ꣄ꢫꢵꢡ꣄ ꢒꢳꢵꢜ꣄
சலுகைகாட்டு  ,give concession,ஸெல்கெ தெ3க்காட்,  स॑ल्क॑ देक्काट्,ꢱꢾꢭ꣄ꢒꢾ ꢣꢾꢒ꣄ꢒꢵꢜ꣄
சாகுபடி செய்   ,to cultivate,பெயிர் ஜுன்னி,प॑यिर जुन्नि,ꢦꢾꢫꢶꢬ꣄ ꢙꢸꢥ꣄ꢥꢶ
சான்றளி  ,certify,ப்ரமாண்தே3 / ப்ரமாண் கேர்,"प्रमाण्दे, प्रमाण केर","ꢦ꣄ꢬꢪꢵꢠ ꣄ꢣꢾ, ꢦ꣄ꢬꢪꢵꢠ꣄ ꢒꢿꢬ꣄"
சிக்கலாக்கு  ,entangle,பு3ஸ்கொகேர்,बुस्का॑ केर्,ꢨꢸꢱ꣄ꢒꣁ ꢒꢿꢬ꣄
சிக்கவை  ,embrangle,ஸம்டாட்,सम्टाट्,ꢱꢪ꣄ꢜꢵꢜ꣄
சிக்கனைமாயிரு  ,economize,ஸொட்டுகன் ரா:,स॑ट्टुकन र्हा:,ꢱꢾꢜ꣄ꢜꢸꢒꢥ꣄ ꢬꢴꢵ
சில்லிடு  ,be chill,வேன்ஸிள்ளபோட்,वेन्सिळ्ळ पोट्,ꢮꢿꢥ꣄ ꢱꢶꢳ꣄ꢳ ꢦꣂꢜ꣄
சிறப்புறு  ,get fame,க்2யாதிபொந்தி3,ख्याति पा॑न्दि,ꢓ꣄ꢫꢵꢡꢶ ꢦꣁꢥ꣄ꢣꢶ
சிறுநீர்கழி  ,pass urine,முத்தி,मुत्ति,ꢪꢸꢡ꣄ꢡꢶ
சீர்குலை  ,disorder,அலங்கோ3லம் கேர்,अलङ्गोलम केर,ꢂꢭꢖ꣄ꢔꣂꢭꢪ꣄ ꢒꢿꢬ꣄
சீர்கெடு  ,degenerate,கு3ண்ணு நீ:த்தொ ரா:,गुण्णु न्हीत्तो रा,ꢔꢸꢠ꣄ꢠꢸ ꢥꢴꢷꢡ꣄ꢡꣁ ꢬꢵ
சீர்திருத்து  ,reform,ஸுதா4ர்கேர்,सुधार्केर्,ꢱꢹꢤꢵꢬ꣄ ꢒꢾꢬ꣄
சீரழி  ,Make disorder / degenerate, நியமொ நாஶ்,नियमा॑ नाश,ꢥꢶꢫꢪꣁ ꢥꢵꢯ꣄
சுண்டிவிடு  ,flip,மிட்டிஸோட்,मिट्टिसोट्,ꢪꢶꢜ꣄ꢜꢶ ꢱꣂꢜ꣄
சுற்றிவளை  ,Besiege,சுட்டு தகி3 தே4ர்,चुट्टु तकि धेर्,ꢗꢸꢜ꣄ꢜꢸ ꢡꢒꢶ ꢤꢿꢬ꣄
சூடாக்கு  ,Heatup,ஹுன்னொகேர்,हुन्न केर्,ꢲꢸꢥ꣄ꢥ ꢒꢿꢬ꣄ 
சூடேறு  ,become hot,ஹுன்னொ ஹோ,हुन्नहो,ꢲꢸꢥ꣄ꢥ ꢲꣁ
சூழ்ச்சி செய்   ,intrigue,ஹுபாவ்கேர்/ ஸட்3யந்த்ரு கேர்,"हुपाव्केर, सड्यन्त्रु केर","ꢲꢸꢦꢵꢮ꣄ꢒꢿꢬ꣄, ꢱꢞ꣄ꢫꢥ꣄ꢡ꣄ꢬꢸ ꢒꢿꢬ꣄"
சூறையாடு  ,forage,ஸூரெதாய்,सुरेताय्,ꢱꢹꢬꢾ ꢡꢵꢫ꣄
செப்பமிடு  ,repair,மராமத்துகேர்/ நவீகரணொ கேர்,"मरामत्तु केर, नवीकरणा॑ केर","ꢪꢬꢵꢪꢡ꣄ꢡꢸ ꢒꢿꢬ꣄, ꢥꢮꢷꢒꢬꢠꣁ ꢒꢿꢬ꣄"
செப்பனிடு  ,mend,ஸெர்க கேர்,स॑र्क केर,ꢱꢾꢬ꣄ꢒ ꢒꢿꢬ꣄
செயல்படு  ,act,காமும் ஹுத்திர்/ காமும் லாக்3,"कामुम हुत्तिर, कामुम लाग","ꢒꢵꢪꢸꢪ꣄ ꢲꢸꢡ꣄ꢡꢶꢬ꣄, ꢒꢵꢪꢸꢪ꣄ ꢭꢵꢔ꣄"
செயலறச்செய்  ,paralyse,வாத3மும் பொடா3ட்,वादमुम पा॑डट,ꢮꢵꢣꢪꢸꢪ꣄ ꢦꣁꢞꢜ꣄
செயற்படுத்து  ,implement,சல்தகேர்,चल्त केर्,ꢗꢭ꣄ꢡ ꢒꢿꢬ꣄
செல்வாக்கு இழ   ,lose influence,ப்ரபா4வ் நீ:த்த ஹோ/ ப்ரபா4வ் ஜவட்3ளே,"प्रभाव न्हीत्त हो, प्रभाव जवळे","ꢦ꣄ꢬꢩꢵꢮ꣄ ꢥꢴꢷꢡ꣄ꢡ ꢲꣁ, ꢦ꣄ꢬꢩꢵꢮ꣄ ꢙꢮꢞ꣄ꢳꢾ"
சைசகைக் காட்டு   ,give signal,ஸைகனொ கேர்,सैकना॑ केर,ꢱꣀꢒꢥꣁ ꢒꢿꢬ꣄
சொற்பொழிவாற்று  ,give talk/lecture,பா4ஷணொகேர்,भाषणा॑ केर,ꢩꢵꢰꢠꣁ ꢒꢿꢬ꣄
சோதனை செய்   ,test,ஸோத4னொகேர்,सोधना॑ केर,ꢱꣂꢤꢥꣁ ꢒꢿꢬ꣄
சோம்பித்திரி  ,loiter,லோல் பொடி3 ஹிண்டி3,लोल्पा॑डि हिण्डि,ꢭꣂꢭ꣄ ꢦꣁꢞꢶ ꢲꢶꢠ꣄ꢞꢶ
சோர்வடை  ,get tired,ஶீன் பொந்தி3,शीन पा॑न्दि,ꢯꢷꢥ꣄ ꢦꣁꢥ꣄ꢣꢶ
தட்டிக்கழி  ,shirk,கர்தவ் ஸோட்,कर्तव सोट,ꢒꢬ꣄ꢡꢮ꣄ ꢱꣂꢜ꣄
தட்டையாக்கு  ,flatten,ஸமத3ளம் கேர்,समदलम केर,ꢱꢪꢣꢭꢪ꣄ ꢒꢿꢬ꣄
தடுமாறு  ,falter,தெட்டுகிட்டி ஜா,तेट्टु किट्टि जा,ꢡꢾꢜ꣄ꢜꢸ ꢒꢶꢜ꣄ꢜꢶ ꢙꢵ
தடை செய்   ,impede, நிரோத்4 கேர்,निरोध केर,ꢥꢶꢬꣂꢤ꣄ ꢒꢿꢬ꣄
தண்டனைவிதி  ,punish,த3ண்டனொ கேர்,दण्टना॑ केर,ꢣꢠ꣄ꢜꢥꣁ ꢒꢿꢬ꣄
தணிக்கை செய்   ,audit,லெ:க்கொ ஸெர்கொ ஸா,ल्ह॑क्का॑ स॑र्का॑ सा,ꢭꢴꢾꢒ꣄ꢒꣁ ꢱꢾꢬ꣄ꢒꣁ ꢱꢵ
தப்பவிடு  ,Let escape,தொம்சி ஜாஸ்திஸொ கேர்,ता॑म्चि जास्तिसा॑ केर,ꢡꣁꢪ꣄ꢗꢶ ꢙꢵꢱ꣄ꢡꢶꢱꣁ ꢒꢿꢬ꣄
தப்பிச்செல்  ,escape,தொம்சி ஜா,ता॑म्चि जा,ꢡꣁꢪ꣄ꢗꢶ ꢙꢵ
தயங்கிநில்  ,linger,பஸ்தொக்கி ஹிப்3பி3,पस्ता॑क्कि हिब्बि,ꢦꢱ꣄ꢡꣁꢒ꣄ꢒꢶ ꢲꢶꢨ꣄ꢨꢶ
தரப்படுத்து  ,standardise,ஸ்தரொ  நிர்ணயொ கேர்,स्तरा॑ निर्णया॑ केर,ꢱ꣄ꢡꢬꣁ ꢥꢶꢬ꣄ꢠꢫꣁ ꢒꢿꢬ꣄
