அங்குசம்  ,iron rod of mahout,அங்கு3ஸொ,अङ्गुसा॑,ꢂꢖ꣄ꢔꢸꢱꣁ
பாவாடை,petticoat,கொ3ணம்,गा॑णम्,ꢔꣁꢠꢪ꣄
தாவணி,halfsaree,பலொ,पला॑,ꢦꢭꣁ
கச்சு,bra,ஹேமு வஸ்தர்/ ஹேமு ப3ந்தி4கொ,"हेमु वस्तर, हेमु बन्धिका॑","ꢌꢪꢸ ꢮꢱ꣄ꢡꢬ꣄, ꢌꢪꢸ ꢨꢥ꣄ꢤꢶꢒꣁ"
கோமணம்,loin,லங்கோ3ட்/கஷ்டி பொ3ட்டொ,"लङ्गोट्, कष्टि बा॑ट्टा॑","ꢭꢖBꢔꣂꢜ꣄, ꢒꢰ꣄ꢜꢶ ꢨꣁꢜ꣄ꢜꣁ"
பனியன்,banian,ஹேமுவஸ்தர்,हेमुवस्तर्,ꢲꢿꢪꢸꢮꢱ꣄ꢡꢬ꣄
பாரைக்கோல்  ,crowbar,க2னாவ்/கெ3ட்பா3ரொ,"कनाव, ग॑ट्बारा॑","ꢓꢥꢵꢮ꣄, ꢔꢾꢜ꣄ꢨꢵꢬꣁ"
பால்காரன்  ,milkman,தூ3த்கெரொ,दूतक॑रा॑,ꢣꢹꢡ꣄ꢒꢾꢬꣁ
பால்காரி  ,milkmaid,தூ3த்கெரின்,दूत्क॑रिन्,ꢣꢹꢡ꣄ꢒꢾꢬꢶꢥ꣄
பாவு  ,warp,தனி,तनि,ꢡꢥꢶ
பின்னல்  ,knitting,கு3ம்பினி/வெனி,"गुम्प्नि, व॑नि","ꢔꢸꢪ꣄ꢦꢶꢥꢶ, ꢮꢾꢥꢶ"
பீடம்  ,pedestal,மிட்டொ/பீட2ம்,"मिट्टा॑, फीठम्","ꢪꢶꢜ꣄ꢜꣁ, ꢧꢷꢝꢪ꣄"
பீப்பாய்  ,barrel,பிபாய்,पिपाय,ꢦꢶꢦꢵꢫ꣄
பூக்காரி  ,florist (f),பூ2ல்கெரின்,फुल्क॑रिन,ꢧꢹꢭ꣄ꢒꢾꢬꢶꢥ꣄
பூச்சிக்கொல்லி  ,pesticide,ஹப்3பு3 நாஸினி/க்ருமி நாஸினி,"हब्बु नास्नि, क्रुमि नासिनि","ꢲꢨ꣄ꢨꢸ ꢥꢵꢱꢶꢥꢶ, ꢒ꣄ꢬꢸꢪꢶ ꢥꢵꢱꢶꢥꢶ"
பூவாளி  ,water sprayer,புட்டலு குடொ3,पुट्टलु कुडा॑,ꢦꢸꢜ꣄ꢜꢭꢸ ꢒꢸꢞꣁ
பொற்கோல்லன்  ,goldsmith,கஸார்/ஸொனார்,"कसार, सा॑नार","ꢒꢱꢵꢬ꣄, ꢱꣁꢥꢵꢬ꣄"
மட்டம்  ,carpenter`s square,ஸமஸனி,समसनि,ꢱꢪꢱꢥꢶ
இழைப்புளி,Leveler/smoothener,நி:னாவ் கெராவ்,न्हिनाव क॑राव,ꢥꢴꢶꢥꢵꢮ꣄ ꢒꢾꢬꢵꢮ꣄
மந்திரவாதி  ,magician,மந்திரவாதி,मन्तिरवाति,ꢪꢥ꣄ꢡꢶꢮꢵꢡꢶ
மருத்துவச்சி  ,folk doctor (f),வொய்தி3ன்,वा॑य्दिन्,ꢮꣁꢫ꣄ꢣꢶꢥ꣄
மருத்துவன்  ,folk doctor (m),வொய்து3,वा॑य्दु,ꢮꣁꢫ꣄ꢣꢸ
மருந்து  ,medicine,ஹொக3த்,हा॑गत्,ꢲꣁꢔꢡ꣄
கோடாலி/மழு,axe,பரஸு,परसु,ꢦꢬꢱꢸ
மாக்கல்  ,soapstone,ப3வ்லம்,बव्लम्,ꢨꢮ꣄ꢭꢪ꣄
மிகைப்பளு  ,overweight,அத்3தி3பா4ர்,अद्दिभार्,ꢂꢣ꣄ꢣꢶ ꢩꢵꢬ꣄
மிகைவேகம்  ,overspeed,அத்3தி3பி3ஸ்ஸொ/பெ4ளிபி3ஸ்ஸொ,"अद्दिबिस्सा॑, भ॑ळिबिस्सा॑","ꢂꢣ꣄ꢣꢶ ꢨꢶꢱ꣄ꢱꣁ,ꢦꢾꢭꢶ ꢨꢶꢱ꣄ꢱꣁ"
மிதவை  ,float,தெல்னி,त॑ल्नि,ꢡꢾꢭ꣄ꢥꢶ
மின்கலம்  ,battery,வித்3யுத்கை3டி3,विद्युत गैडि,ꢮꢶꢣ꣄ꢫꢸꢡ꣄ ꢔꣀꢞꢶ
மீன்காரன்  ,fish seller (m),ம:ளிகெரொ/ம:ளிவான்,"म्हळीक॑रा॑, म्हलिवान","ꢪꢴꢭꢶꢒꢾꢬꣁ, ꢪꢴꢭꢶꢮꢵꢥ꣄"
மீன்காரி  ,fish seller (f),ம:ளிகெரின்/ ம:ளிவதி,"म्हळिक॑रिन, म्हळिवति","ꢪꢴꢭꢶꢒꢾꢬꢶꢥ꣄, ꢪꢴꢭꢶꢮꢡꢶ"
முளை  ,sprout,சிகுர்/அங்குர்/அங்குரொ,"चिकुर, अङ्कुर, अङ्कुरा॑","ꢗꢶꢔꢸꢬ꣄, ꢂꢖ꣄ꢒꢸꢬ꣄, ꢂꢖ꣄ꢔꢸꢬꣁ"
முறுக்கி  ,spanner,பி3கி3ஞ்சுனாவ்,बिगिञ्चुनाव,ꢨꢶꢔꢶꢖ꣄ꢗꢸꢥꢵꢮ꣄
மேலாளர்  ,manager,நிர்வாஹி/காம் க2ட்னார்,"निर्वाहि, काम खट्नार","ꢥꢶꢬ꣄ꢮꢵꢲꢶ, ꢒꢵꢪ꣄ ꢓꢜ꣄ꢥꢵꢬ꣄"
மேளக்காரன்  ,drummer,தொ4ண்டொ3கெரி,धा॑ण्डा॑क॑रि,ꢤꣁꢠ꣄ꢞꣁ ꢒꢾꢬꢶ
ராட்டை  ,spinning wheel,தனா ரெ:டொ3/ ரெ:டொ3 / சர்கா ரெ:டொ3,"तना र॑डा॑, र॑डा॑ चर्का र॑डा॑","ꢡꢥꢵ ꢬꢾꢞꣁ, ꢬꢾꢞꣁ, ꢗꢬ꣄ꢒꢵ ꢬꢾꢞꣁ"
வண்ணாத்தி  ,Washer woman,பொரடின்/பொள்டின்,"पा॑रटिन, पा॑ल्टिन","ꢦꣁꢬꢜꢶꢥ꣄, ꢦꣁꢭ꣄ꢜꢶꢥ꣄"
குறடு,Cutting plier/wrench,கொரட்,का॑रट,ꢒꣁꢬꢜ꣄
திருப்புளி,screw driver ,பி2ருடா3வ்,फिरुडाव,ꢧꢶꢬꢸꢞꢵꢮ꣄
சுத்தியல்,hammer,மூர்/முரொ/ஸுத்தியல்,"मूर, मुरा॑,सुत्तियल","ꢪꢹꢬ꣄, ꢪꢸꢬꣁ, ꢱꢸꢡ꣄ꢡꢶꢫꢭ꣄"
குறகு,,"கே2னு, கோ2னு","खेनु, खोनु","ꢓꢿꢥꢸ, ꢓꣂꢥꢸ"
வண்ணான்,washerman,பொரட்/பொள்டொ,"पा॑रट, पा॑ळ्टा॑","ꢦꣁꢬꢜ꣄, ꢦꣁꢳ꣄꣄ꢜꣁ"
வணிகம்  ,business,பி4யார்/பி4யார்ஸார்,"भियार, भियार्सार","ꢨꢶꢫꢵꢬ꣄, ꢨꢶꢫꢵꢬ꣄ꢗꢵꢬ꣄"
வணிகன்  ,businessman,வணி/வணிக்,"वणि, वणिक","ꢮꢠꢷ, ꢮꢠꢶꢒ꣄"
வயல்  ,field,பெய்ர்/கே2த்,"पेय्र्, केत्","ꢦꢾꢫ꣄ꢬ꣄, ꢒꢾꢡ꣄"
வலை  ,net,ஜால்/ஒலொ,"जाल्, आ॑ला॑","ꢙꢵꢭ꣄, ꢏꢭꣁ"
வழிகாட்டி  ,guide,வாட்தெ2க2ட்னார்/ மார்க3த3ர்ஸக்,"वाट द॑खट्नार, मार्गदर्सक","ꢮꢵꢜ꣄ꢣꢾꢓ꣄ꢒꢜ꣄ꢥꢵꢬ꣄,  ꢪꢵꢬ꣄ꢔꢣꢬ꣄ꢱꢒ꣄"
வள்ளம்  ,boat,நௌகொ,नैका॑,ꢥꣃꢒꣁ
வளையம்  ,loop,செக்குர்,च॑क्कुर,ꢗꢾꢒ꣄ꢒꢸꢬ꣄
வாள்  ,sword,சே2த்,छेत,ꢘꢾꢡ꣄
வித்து  ,seed,பீ3/பீ3க்/பீ3ஜ்,"बी, बीक, बीज","ꢨꢷ, ꢨꢷꢒ꣄, ꢨꢷꢙ꣄"
விதை  ,seed,ஈமு/பீ3ஜ்/வித்து,"ईमु, बीज्, वित्तु","ꢅꢪꢸ, ꢨꢷꢙ꣄, ꢨꢷꢡ꣄ꢡꢸ"
விதைப்பு  ,sowing,பீ3க்க4ல்னி,बीक्घल्नि,ꢨꢷꢒ꣄ꢕꢭ꣄ꢥꢶ
வியாபாரம்  ,business,பி4யார்/பி4யார்ஸார்,भियार/भियार्सार्,ꢩꢶꢫꢵꢬ꣄/ ꢩꢶꢫꢵꢬ꣄ꢱꢵꢬ꣄
வியாபாரி  ,businessman,வணி/வணிக்,"वणि, वणिक","ꢮꢠꢶ, ꢮꢠꢶꢒ꣄"
விவசாயம்  ,agriculture,க்ருஷி,क्रुषि,ꢒ꣄ꢬꢸꢰꢶ
விவசாயி  ,farmer,ஜுன்னத்வான்/ நங்கு3னர்,"जुन्नत्वान, नङ्गुनर","ꢙꢸꢥ꣄ꢥꢡ꣄ꢮꢵꢥ꣄, ꢥꢖ꣄ꢔꢸꢥꢬ꣄"
விளைச்சல்  ,yield,பீக்/பிக்கினி / பிக்கெயொ,"पीक, पिक्किनि, पिक्क॑या॑","ꢦꢷꢒ꣄, ꢦꢶꢒ꣄ꢒꢶꢥꢶ, ꢦꢶꢒ꣄ꢒꢾꢫꣁ"
வெளியிடுபவர்  ,publisher,ப்ரகட்னார்/ப்ரஸுரொ கெர்னார்/ ப4ராட் ஸொட்3ணார்,"प्रकट्नार, प्रसुरा॑ क॑र्नार, भराट सा॑ड्णार","ꢦ꣄ꢬꢒꢜ꣄ꢥꢵꢬ꣄, ꢦ꣄ꢬꢱꢸꢬꣁ ꢒꢾꢬ꣄ꢥꢵꢬ꣄, ꢩꢬꢵꢜ꣄ ꢱꣁꢞ꣄ꢠꢵꢬ꣄"
வேட்டை  ,hunting,ஆகே2ட்/ம்ருக3யொ/வேடொ க2ள்னி,"आखेट, मृगया॑, वेटा॑ खळ्नि","ꢃꢓꢾꢜ꣄, ꢪꢺꢔꢫꣁ, ꢮꢿꢜꣁ ꢓꢳ꣄ꢥꢶ"
வேட்டைக்காரன் / வேடன்,hunter,ஆகே2டுவான்/ வேடொ க2ள்னார்,"आखेटुवान, वेटा॑ खळ्नार","ꢃꢓꢾꢜꢸꢮꢵꢥ꣄, ꢮꢿꢜꣁ ꢓꢳ꣄꣄ꢥꢵꢬ꣄"
வேலை,Work,காம்,काम्,ꢒꢵꢪ꣄
வேலைகாரன்,Servant (M),காம் கெர்த்தொ,काम क॑र्ता॑,ꢒꢵꢪ꣄ ꢒꢾꢬ꣄ꢡ꣄ꢡꣁ
வேலைகாரி,Servant (F),காம் கெர்த்தின்,काम क॑र्तिन,ꢒꢵꢪ꣄ ꢒꢾꢬ꣄ꢡ꣄ꢡꢶꢥ꣄
வைத்தியர்,Folk doctor,வொய்து,वा॑य्तु,ꢮꣁꢫ꣄ꢡꢸ
ஜோதிடம்,astrologer,ஜோஸுடு3,जोसुटु,ꢙꣂꢱꢸꢜꢸ
