அங்குசம்  ,iron rod of mahout,அங்கு3ஸொ,अङ्गुसा॑,ꢂꢖ꣄ꢔꢸꢱꣁ
ஒப்பனை  ,make up,ஸிங்க3ர்லினி,सङ्गर्लिनि,ꢱꢶꢖ꣄ꢔꢬ꣄ꢭꢶꢥꢶ
ஒலிப்பதிவு  ,sound recording,தொ4னி பஞ்ஜீகரணொ/ தொ4னி தெ4ர்னி,"धा॑नि पञ्जीकरणा॑, धा॑नि ध॑र्नि","ꢤꣁꢥꢶ ꢦꢛ꣄ꢙꢷꢒꢬꢠꣁ, ꢤꣁꢥꢶ ꢤꢾꢬ꣄ꢥꢶ"
ஒளிப்பதிவு  ,photography,ரூபு பஞ்ஜீகரணொ/ ரூபு தெ4ர்னி,"रूप पञ्जीकरणा॑, रूपु धेर्नि","ꢬꢹꢦꢸ ꢦꢛ꣄ꢙꢷꢒꢬꢠꣁ, ꢬꢹꢦꢸ ꢤꢾꢬ꣄ꢥꢶ"
ஓட்டுநர்  ,driver,தொ3வ்டு3னார்/ ஸாரதி2,"दा॑व्डुनार,सारथि","ꢣꣁꢮ꣄ꢞꢸꢥꢵꢬ꣄, ꢱꢵꢬꢤꢶ"
ஓடம்  ,boat,தோ3ணி/நவ்கொ,"दोणि, नव्का॑","ꢣꣂꢠꢶ, ꢥꢮ꣄ꢒꣁ"
கட்டு  ,bale,கெட்டொ,क॑ट्टा॑,ꢒꢾꢜ꣄ꢜꣁ
கட்டுமரம்  ,catamaran,கெட்டெ பஞ்சல்,क॑ट्ट॑ पञ्चल्,ꢒꢾꢜ꣄ꢜꢾ ꢦꢛ꣄ꢗꢭ꣄
கடைசல்  ,shaping of wood,கெட்டெ ரூப் கெர்னி,क॑ट्ट॑ रूप क॑र्नि,ꢒꢾꢜ꣄ꢜꢾ ꢬꢹꢦ꣄ ꢒꢾꢬ꣄ꢥꢶ
கண்காணி,supervise,க3ம்ஜி,गम्जि,ꢔꢪ꣄ꢙꢶ
கண்காணிப்பாளர்  ,supervisor,க3ம்சுனார்,गम्चुनार्,ꢔꢪ꣄ꢗꢸꢥꢵꢬ꣄ 
கதிரடித்தல்  ,thrashing grains,ஸூட்3 ஹனஸ்தே,सूड हनते,ꢱꢹꢞ꣄ ꢲꢥꢱ꣄ꢡꢾ
கந்தகம்  ,sulpher,கெ4ந்த்3யாவ்,घ॑न्द्याव,ꢤꢾꢥ꣄ꢣ꣄ꢫꢵꢮ꣄
கப்பல்  ,ship,நாவி/தார்,"नावि, तार्","ꢥꢵꢮꢶ, ꢡꢵꢬ꣄"
கப்பி  ,pulley,ரெ:டொ3,र्ह॑डा॑,ꢬꢴꢾꢞꣁ
கருவி  ,tools,உபகரணொ,उपगरणा॑,ꢆꢦꢒꢬꢠꣁ
கலப்பை  ,plough,நகு3னொ/ஹலொ,"नगुना॑, हला॑","ꢥꢔꢸꢥꣁ, ꢲꢭꣁ"
கலம்  ,container,பாத்ரொ,पात्रा॑,ꢦꢵꢡ꣄ꢬꣁ
