Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢦꢶꢥ꣄ꢣ ꢦꣁꢪ꣄ꢨꢸꢳ ꢦꣁꢳ꣄ꢳꣁ,पिन्द पा॑म्बुळ पाळ्ळा॑,பிந்த3பொம்பு3ள பொள்ளொ,pinda po'mbul'a po'l'l'o',pinda pOmbuLa pOLLO,pinda pŏmbul̤a pŏl̤l̤ŏ,pɪn̪d̪ə pombuɭə poɭɭo,tender fruit,பிஞ்சு  
ꢩꢿꢬꢶꢒꢫ꣄ꢭꣁ,भेरिकय्लो,பே4ரிகய்லொ,bherikaylo',bherikaylO,bherikaylŏ,bʰeːɾɪkəjlo,a kind of pear-wood apple,பேரிக்காய்  
ꢒꢗ꣄ꢗꢪ꣄ꢨꣁ,कच्चम्बा॑,கச்சம்பொ3,kachchambo',kaccambO,kaccambŏ,kət͡ʃt͡ʃəmbo,raw mango,மாங்காய்  
ꢣꢜꢶꢪ꣄ꢦꣁꢳ꣄ꢳꣁ,दटिम्पा॑ळ्ळा॑,த3டி3ம்பொள்ளொ,dat'impo'l'l'o',daTimpOLLO,daṭimpŏl̤l̤ŏ,d̪əʈɪmpoɭɭo,pomegranate,மாதுளை  
ꢒꢗ꣄ꢗꢪ꣄ꢨꢵ ꢨꣁꢳ꣄ꢳꣁ,कच्चम्बा पा॑ळ्ळा॑,கச்சம்பா3பொ3ள்ளொ,kachchambaa bo'l'l'o',kaccambA bOLLO,kaccambā bŏl̤l̤ŏ,kət͡ʃt͡ʃəmbɑː boɭɭo,mango fruit,மாம்பழம்  
ꢪꢸꢥ꣄ꢡꢶꢬꢶ,मुन्तिरि,முந்திரி,muntiri,muntiri,muntiri,mun̪t̪ɪɾɪ,cashew,முந்திரி  
ꢪꢸꢥ꣄ꢡꢶꢬꢶꢒ꣄ ꢒꣁꢜ꣄ꢜꢾ,मुन्तिरि का॑ट्ट॑,முந்திரிக்கொட்டெ,muntirik ko't't'e',muntirik kOTTE,muntirik kŏṭṭĕ,mun̪t̪ɪɾɪk koʈʈe,cashew nut,முந்திரிக் கொட்டை  
ꢒꢾꢳꣁ,क॑ळा॑,கெளொ,ke'l'o',kELO,kĕl̤ŏ,keɭo,banana fruit,வாழைப்பழம்  
ꢨꢷꢒ꣄,बीक,பீ3க்,beek,bIk,bīk,biːk,seed,வித்து  
ꢮꢶꢡ꣄ꢡꢸ,वित्तु,வித்து,vittu,vittu,vittu,ʋɪt̪t̪u,seed,வித்து  
ꢨꢷꢙ꣄,पीज्,பீ3ஜ்,beej,bIj,bīj,biːd͡ʒ,seed,விதை  
ꢮꢳ꣄ꢒꢵ ꢦꣁꢳ꣄ꢳꣁ,वळ्का पा॑ळ्ळा॑,வள்காபொள்ளொ,val'kaa po'l'l'o',vaLkA pOLLO,val̤kā pŏl̤l̤ŏ,ʋəɭkɑː poɭɭo,cucumber fruit,வெள்ளரிப்பழம்  
