Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢒꢥꢱꢸꢭ꣄,कनसुल्,கனஸுல்,kanasul,kanasul,kanasul,kən̪əs̪ul,cheek,கன்னம்  
ꢔꢮ꣄ꢭꣁ,गव्ला॑,க3வ்லொ,gavlo',gavlO,gavlŏ,gəʋlo,cheek,கன்னம்  
ꢔꢦꢸꢭꣁ,गपुला॑,க3புலொ,gapulo',gapulO,gapulŏ,gəpulo,cheek,கன்னம்  
ꢔꢵꢭꢸ,गालु,கா3லு,gaalu,gAlu,gālu,gɑːlu,cheek,உள்கன்னம்
ꢒꢵꢥ꣄,कान्,கான்,kaan,kAn,kān,kɑːn̪,ear,காது  
ꢦꢵꢄ~,पाइ~,பாஇ~,paai~,pAi~,pāi~,pɑːɪ~,leg,கால்  
ꢒꢺꢡꢵ,कृता,க்ருதா3,kri'taa,kRtA,kṛtā,kɾɨt̪ɑː,whiskers,கிருதா  
ꢓꢭꢸ ꢏꢣꢞ꣄,खलु आ॑दड्,கா2லுஒத3ட்3,khalu o'dad',khalu OdaD,khalu ŏdaḍ,kʰəlu od̪əɖ,lower lip,கீழுதடு  
ꢂꢥ꣄ꢡ꣄ꢬꣁ,अन्त्रा॑,அந்த்ரொ,antro',antrO,antrŏ,ən̪t̪ɾo,intestine,குடல்  
ꢱꣁꢪꢵꢥ꣄,सा॑मान्,ஸொமான்,so'maan,sOmAn,sŏmān,s̪omɑːn̪,intestine,குடல்  
ꢔꢠ꣄ꢜ꣄ꢬꢶ,गण्ट्रि,க3ண்ட்ரி,gant'ri,gaNTri,gaṇṭri,gəɳʈɾɪ,buttocks,குண்டி  
ꢙꢸꢜ꣄ꢜꢶ,जुट्टि,ஜுட்டி,jut't'i,juTTi,juṭṭi,d͡ʒuʈʈɪ,tuft,குடுமி  
ꢦꢳ꣄꣄ꢜꢶ,पळ्टि,பள்டி,pal't'i,paLTi,pal̤ṭi,pəɭʈɪ,heel,குதிகால்  
ꢕꢞꢶ,घडि,க4டி3,ghad'i,ghaDi,ghaḍi,gʰəɖɪ,adam,குரல்வளை  
ꢡꢶꢳ꣄ꢙꢶ,तिळ्जि,திள்ஜி,til'ji,tiLji,til̤ji,t̪ɪɭd͡ʒɪ,,"சுவரொட்டி, கல்லீரல்"
ꢨꣁꢪ꣄ꢨꢶ,बा॑म्बि,பொ3ம்பி3,bo'mbi,bOmbi,bŏmbi,bombɪ,Navel,தொப்புள்
