Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢂꢭꢲꣁ,कलहा॑,கலஹொ,alaho',alahO,alahŏ,ələɦo,pandemonium,அமளி  
ꢃꢙ꣄ꢛꣁ,आझञो,ஆஜ்ஞொ,aajnyo',AjJO,ājñŏ,ɑːd͡ʒɲo,order,ஆணை/ உத்தரவு/கட்டளை
ꢆꢡ꣄ꢡꢬ꣄,उत्तर,உத்தர்,uttar,uttar,uttar,ut̪t̪əɾ,order,ஆணை/ உத்தரவு/கட்டளை
ꢃꢙ꣄ꢛꢵꢒꢵꢬ꣄,आजञाकार,ஆஜ்ஞாகார்,aajnyaakaar,AjJAkAr,ājñākār,ɑːd͡ʒɲɑːkɑːɾ,commissioner,ஆணையர்  
ꢂꢤꢵꢬ꣄,अधार्,அதா4ர்,adhaar,adhAr,adhār,əd̪ʰɑːɾ,evidence,ஆதாரம்  
ꢬꢸꢙꢸ,रुजु,ருஜு,ruju,ruju,ruju,ɾud͡ʒu,evidence,ஆதாரம்  
ꢱꣂꢤꢥꣁ ꢒꢾꢬ꣄ꢥꢵꢬ꣄,सोधना॑ क॑र्नार,ஸோத4னொ கெர்னார்,sodhano' ke'rnaar,sodhanO kErnAr,sodhanŏ kĕrnār,s̪oːd̪ʰən̪o keɾn̪ɑːɾ,inspector,ஆய்வாளர்  
ꢱꣁꢤꢸꢥꢵꢬ꣄,सोधुनार,ஸோது4னார்,so'dhunaar,sOdhunAr,sŏdhunār,s̪od̪ʰun̪ɑːɾ,inspector,ஆய்வாளர்  
ꢂꢫ꣄ꢣꢸꢦꢳꣁ,अय्दुपळा॑,அய்து3பளொ,aydupal'o',aydupaLO,aydupal̤ŏ,əjd̪upəɭo,armed force,ஆயுதப்படை  
ꢱꢾꢥ,सेन,ஸேன,se'na,sEna,sĕna,s̪en̪ə,armed force,ஆயுதப்படை  
ꢃꢫꢸꢱ꣄ꢣꢾꢠ꣄ꢞꢥꣁ,आयुद॑ण्ड्ना॑,ஆயுஸ்தெ3ண்ட3னொ,aayusde'nd'ano',AyusdENDanO,āyusdĕṇḍanŏ,ɑːjus̪d̪eɳɖən̪o,life imprisonment,ஆயுள் தண்டனை 
ꢃꢬ꣄ꢩꢵꢜꣁ,अर्भाटा॑,ஆர்பா4டொ,aarbhaat'o',ArbhATO,ārbhāṭŏ,ɑːɾbʰɑːʈo,uproar,ஆர்ப்பாட்டம்  
ꢬꢾꢗ꣄ꢗꢵ ꢬꢾꢗ꣄ꢗꣁ,र॑च्चा॑र॑च्चा॑,ரெச்சாரெச்சொ,re'chchaa re'chcho',rEccA rEccO,rĕccā rĕccŏ,ɾet͡ʃt͡ʃɑː ɾet͡ʃt͡ʃo,uproar,ஆர்ப்பாட்டம்  
ꢦꢡ꣄ꢬꣁ,पत्रा॑,பத்ரொ,patro',patrO,patrŏ,pət̪ɾo,record,ஆவணம்  
ꢣꢱ꣄ꢡꢵꢮꢾꢙ꣄,दस्तावेज,த3ஸ்தாவேஜ்,dastaave'j,dastAvEj,dastāvĕj,d̪əs̪t̪ɑːʋed͡ʒ,record,ஆவணம்  
