Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢗꢾꢒ꣄ꢒꢬ꣄ ꢒꢶꢳꢖ꣄ꢔꢸ,च॑क्कर्किळङ्गु,ஸெக்கர்கிளங்கு3,che'kkar kil'angu,cEkkar kiLaGgu,cĕkkar kil̤aṅgu,t͡ʃekkəɾ kɪɭəŋgu,tapioca,மரச்சீனிக் கிழங்கு
ꢃꢭ꣄ꢮꢳꢶꢒ꣄ ꢒꢶꢳꢖ꣄ꢒꢸꢮ꣄,आल्वळिक्किळङ्कु,ஆல்வளிக்கிழங்கு,aalval'ik kil'ankuv,AlvaLik kiLaGkuv,ālval̤ik kil̤aṅkuv,ɑːlʋəɭɪk kɪɭəŋkuʋ,tapioca,மரவள்ளிக் கிழங்கு   
ꢒꢗ꣄ꢗꢪ꣄ꢨꣁ,कच्चम्बा॑,கச்சம்பொ3,kachchambo',kaccambO,kaccambŏ,kət͡ʃt͡ʃəmbo,mango,மாங்காய்
ꢪꢸꢜ꣄ꢜꣀꢒꣂꢱ꣄,मुट्टैकोस्,முட்டைகோஸ்,mut't'aikos,muTTaikos,muṭṭaikos,muʈʈəɪkoːs̪,cabbage,முட்டைகோஸ்
ꢱꢾꢮ꣄ꢒꢵ ꢒꣀꢭꣁ,स॑व्का कैला॑,ஸெவ்கா கைலொ,se'vkaa kailo',sEvkA kailO,sĕvkā kailŏ,s̪eʋkɑː kəɪlo,drumstick,முருங்கைக்காய்
ꢪꢸꢳꣁ,मुळा॑,முளொ,mul'o',muLO,mul̤ŏ,muɭo,raddish,முள்ளங்கி
ꢒꢗ꣄ꢗꢾꢒꢾꢳꣁ,कच्चिक॑ळा॑,கச்சிகெளொ,kachche'ke'l'o',kaccEkELO,kaccĕkĕl̤ŏ,kət͡ʃt͡ʃekeɭo,unripe plantain,வாழைக்காய்
ꢩꢾꢠ꣄ꢞꢶꢒꣀꢭꣁ,भ॑ण्डिकैला॑,பெ4ண்டி3கைலொ,bhe'nd'ikailo',bhENDikailO,bhĕṇḍikailŏ,bʰeɳɖɪkəɪlo,lady`s finger,வெண்டைக்காய்
ꢂꢔꢱ꣄ꢡꢶꢬ꣄,अगस्तिर,அக3ஸ்திர்,agastir,agastir,agastir,əgəs̪t̪ɪɾ,lady`s finger,வெண்டைக்காய்
ꢮꢭ꣄ꢒꣁ,वल्का॑,வள்கொ,valko',valkO,valkŏ,ʋəlko,cucumber,வெள்ளரிக்காய்
