Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢲꢡ꣄ꢣꢞ꣄ꢞꣁ,हत्दड्डा॑,ஹத்த3ட்3டொ3,hatdad'd'o',hatdaDDO,hatdaḍḍŏ,ɦət̪d̪əɖɖo,half measure,உரி  
ꢒꢵꢭꢞ꣄ꢞꣁ,कालड्डा॑,காலட்3டொ3,kaalad'd'o',kAlaDDO,kālaḍḍŏ,kɑːləɖɖo,1/4 of a measure,உழக்கு  
ꢱꣂꢮꢸ,चोवु,சோவு,sovu,sovu,sovu,s̪oːʋu,1/4 of a measure,உழக்கு  
ꢩꢵꢬ꣄ꢪꣂꢮꢸ,भार्मोवु,பா4ர்மோவு,bhaarmovu,bhArmovu,bhārmovu,bʰɑːɾmoːʋu,measurement of weighing,நிறுத்தல் அளவை   
ꢙꣂꢒ꣄,जोक,ஜோக்,jok,jok,jok,d͡ʒoːk,weight,எடை  
ꢪꣁꢮ꣄ꢙꢥ꣄ꢪꣂꢮꢸ,मा॑व्जन्मोवु,மொவ்ஜன்மோவு,mo'vjanmovu,mOvjanmovu,mŏvjanmovu,moʋd͡ʒən̪moːʋu,measurement of counting,எண்ணல் அளவை   
ꢆꢦꢒꢬꢠꣁ,उपकरणा॑,உபகரணொ,upakarano',upakaraNO,upakaraṇŏ,upəkəɾəɳo,instrument,கருவி  
ꢔꢥꢪꣂꢦꢸ,गनमोपु,க3னமோவு,ganamopu,ganamopu,ganamopu,gən̪əmoːpu,cubic measurement,கன அளவு   
ꢩꢵꢬ꣄,भार्,பா4ர்,bhaar,bhAr,bhār,bʰɑːɾ,heavyness,கனம்  
ꢔꢾꢙ꣄ꢙꢸ,ग॑ज्जु,கெ3ஜ்ஜு,ge'jju,gEjju,gĕjju,ged͡ʒd͡ʒu,yard,கஜம்  
ꢂꢮ꣄ꢞ ꢪꣂꢮꢸ,अव्डमोवु,அவ்ட3மோவு,avd'a movu,avDa movu,avḍa movu,əʋɖə moːʋu,cross-section measurement,குறுக்களவு  
ꢗꢡ꣄ꢬꢸꢭ꣄ ꢪꣂꢮꢸ,चत्रुल्मोपु,சத்ருல்மோவு,chatrul movu,catrul movu,catrul movu,t͡ʃət̪ɾul moːʋu,square measurement,சதுர அளவு   
ꢙꢵꢠ꣄,जाण्,ஜாண்,jaan,jAN,jāṇ,d͡ʒɑːɳ,six inches or little more covering the tip of the stretched thumb to the tip of the stretched little finger,சாண்  
ꢗꢶꢪ꣄ꢜꣁ,चिटा॑,சிம்டொ,chimt'o',cimTO,cimṭŏ,t͡ʃɪmʈo,a pinch,சிட்டிகை  
ꢦꢬꢶꢡꢶ,परिति,பரிதி,pariti,pariti,pariti,pəɾɪt̪ɪ,perimeter,சுற்றளவு  
ꢒꢸꢠ꣄ꢮꢫ ꢪꣂꢮꢸ,कुण्वयमोवु,குண்வயமோவு,kunvaya movu,kuNvaya movu,kuṇvaya movu,kuɳʋəjə moːʋu,perimeter,சுற்றளவு  
ꢡꢸꢭꣁ,तुला॑,துலொ,tulo',tulO,tulŏ,t̪ulo,balance,தராசு  
ꢥꢬꢵꢙꢶ,नराजि,நராஜி,naraaji,narAji,narāji,n̪əɾɑːd͡ʒɪ,balance,தராசு  
ꢒꢸꢜ꣄ꢒꣁ,कुट्का॑,குட்கொ,kut'ko',kuTkO,kuṭkŏ,kuʈko,piece,துண்டு  
ꢨꢶꢥ꣄ꢣꢸ,बिन्दु,பி3ந்து3,bindu,bindu,bindu,bɪn̪d̪u,drop,துளி  
ꢡꣁꢭꣁ,ता॑ळा॑,தோலொ,to'lo',tOlO,tŏlŏ,t̪olo,a weight of 10 grams,தோலா  
ꢥꢵꢳꢶ,नाळि,நாளி,naal'i,nALi,nāl̤i,n̪ɑːɭɪ,approximately little more than half litre,நாழி  
ꢩꢵꢬ꣄ ꢪꣂꢮꢸ,भार्मोवु,பா4ர் மோவு,bhaar movu,bhAr movu,bhār movu,bʰɑːɾ moːʋu,Measurement of weight,நிறுத்தல் அளவை
ꢭꢵꢪ꣄ ꢪꣂꢮꢶ,लाम्मोवु,லாம்மோவு,laam movi,lAm movi,lām movi,lɑːm moːʋɪ,linear measurement,நீட்டல் அளவை   
ꢪꢹꢬꣁ,मूरा॑,மூரொ,mooro',mUrO,mūrŏ,muːɾo,length,நீளம்  
ꢂꢞ꣄ꢞꣁ,अड्डा॑,அட்3டொ3,ad'd'o',aDDO,aḍḍŏ,əɖɖo,a little more than 2 litres,"பக்கா, "
ꢮꢜꣁ,वटू,வடொ,vat'o',vaTO,vaṭŏ,ʋəʈo,portion,பகுதி  
ꢂꢞ꣄ꢞꣁ,अड्डा॑,அட்3டொ3,ad'd'o',aDDO,aḍḍŏ,əɖɖo,approximately 1 litre,படி
ꢥꢾꢬ꣄ꢦꢾꢪꣂꢮꢸ,न॑र्प॑मोवु,நெர்பெமோவு,ne'rpe'movu,nErpEmovu,nĕrpĕmovu,n̪eɾpemoːʋu,area (in square),பரப்பளவு  
ꢦꢭꢪ꣄,पलम,பலம்,palam,palam,palam,pələm,a measurement of weight,பலம்  
ꢂꢣ꣄ꢣꢾ,हद्दे,ஹத்3தெ3,adde',addE,addĕ,əd̪d̪e,half,பாதி  
ꢪꢹꢣ꣄,मूड्,மூட்3,mood,mUd,mūd,muːd̪,a handfull,பிடி  
ꢪꢹꢞ꣄ꢩꣂꢬ꣄,मूड्बोऱ,மூட்3போ4ர்,mood'bhor,mUDbhor,mūḍbhor,muːɖbʰoːɾ,a handfull,பிடி  
ꢪꢬꢒ꣄ꢒꢵꢭ꣄,मरक्काल,மரக்கால்,marakkaal,marakkAl,marakkāl,məɾəkkɑːl,a measure of approximately 5 to 8 litres,மரக்கால்  
ꢪꢹꢬꣁ,मूरा॑,மூரொ,mooro',mUrO,mūrŏ,muːɾo,one arm length,மாறு  
ꢪꢷꢜ꣄ꢜꢬ꣄,मीट्टर्,மீட்டர்,meet't'ar,mITTar,mīṭṭar,miːʈʈəɾ,meter,மீட்டர்  
