Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢥꢿꢥ꣄ꢣꢸ,नेन्दु,நேந்து3,nendu,nendu,nendu,n̪eːn̪d̪u,wife`s younger sister,கொழுந்தி  
ꢱꣁꢮꢡ꣄,सा॑वत्,ஸொவத்,so'vat,sOvat,sŏvat,s̪oʋət̪,co-wife,சக்களத்தி  
ꢱꢾꢬ꣄ꢔꢸꢜ꣄,सा॑र्गुट,ஸொர்கு3ட்,se'rgut',sErguT,sĕrguṭ,s̪eɾguʈ,co-brother,சகலப்பாடி  
ꢱꢞ꣄ꢔꢸꢜ꣄,सड्गुट,ஸட்3கு3ட்,sad'gut',saDguT,saḍguṭ,s̪əɖguʈ,co-brother,சகலப்பாடி  
ꢱꢾꢖ꣄ꢒꣁ ꢆꢙꢾꢱ꣄ꢡꢾꢥꣁ,स॑ङ्का॑ उज॑स्त॑ना॑,ஸெங்கொ உஜெஸ்தெனொ,se'nko' uje'ste'no',sEGkO ujEstEnO,sĕṅkŏ ujĕstĕnŏ,s̪eŋko ud͡ʒes̪t̪en̪o,brother,சகோதரன்  
ꢩꣀ,भै,பை4,bhai,bhai,bhai,bʰəɪ,brother,சகோதரன்  
ꢱꢾꢖ꣄ꢒꣁ ꢆꢙꢾꢱ꣄ꢡꢶꢥꣁ,स॑ङ्का॑ उज॑स्तिना॑,ஸெங்கொ உஜிஸ்தினொ,se'nko' uje'stino',sEGkO ujEstinO,sĕṅkŏ ujĕstinŏ,s̪eŋko ud͡ʒes̪t̪ɪn̪o,sister,சகோதரி  
ꢩꢾꢫ꣄ꢥ꣄,भ॑य्न्,பெ4ய்ன்,bhe'yn,bhEyn,bhĕyn,bʰejn̪,sister,சகோதரி  
ꢮꢾꢱꢶꢥ꣄ꢡꢶ,व॑सिन्ति,வெஸிந்தி3,ve'sinti,vEsinti,vĕsinti,ʋes̪ɪn̪t̪ɪ,relatives by marriage,சம்பந்திகள்
ꢮꢾꢱꢶꢥ꣄ꢡꢶꢥ꣄,व॑सिन्तिन्,வெஸிந்தி3ன்,ve'sintin,vEsintin,vĕsintin,ʋes̪ɪn̪t̪ɪn̪,relatives by marriage,சம்பந்திகள்
ꢥꢴꢥ꣄ꢥꢨꣂ,न्हन्नबा॑,ந:ன்னபோ3,nhannabo,nhannabo,nhannabo,n̪ɦən̪n̪əboː,father’s younger brother,சித்தப்பா  
ꢒꢒꣁ,कका॑,ககொ,kako',kakO,kakŏ,kəko,father’s younger brother,சித்தப்பா  
ꢪꣃꢱꢶ,मौसि,மௌஸி,mausi,mausi,mausi,məus̪ɪ,"mother`s younger sister, stepmother",சித்தி  
