Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢩꢹꢦꣁ,भूपा॑,பூ4பொ,bhoopo',bhUpO,bhūpŏ,bʰuːpo,king,அரசன்  
ꢩꢹꢦꢡꢶ,भूपति,பூ4பதி,bhoopati,bhUpati,bhūpati,bʰuːpət̪ɪ,king,அரசன்  
ꢬꢠꢶ,रणि,ரணி,rani,raNi,raṇi,ɾəɳɪ,queen,அரசி  
ꢬꢵꢜꢳꢶ,राटाळि,ராடளி,raat'al'i,rATaLi,rāṭal̤i,ɾɑːʈəɭɪ,queen,அரசி  
ꢬꢵꢙꢥꢷꢡꢶ,राजनीति,ராஜநீதி,raajaneeti,rAjanIti,rājanīti,ɾɑːd͡ʒən̪iːt̪ɪ,politics,அரசியல்  
ꢱꢪ꣄ꢱ꣄ꢢꢵꢦꢥꣁ,सम्स्थापना॑,ஸம்ஸ்தா2பனொ,samsthaapano',samsthApanO,samsthāpanŏ,s̪əms̪t̪ʰɑːpən̪o,constitution,அரசியல் சட்டம்   
ꢱꢪ꣄ꢮꢶꢤꢵ,सम्विधा,ஸம்விதா4,samvidhaa,samvidhA,samvidhā,s̪əmʋɪd̪ʰɑː,constitution,அரசியல் சட்டம்   
ꢬꢵꢙꢥꢷꢡꢶꢮꢵꢥ꣄,राजनीतिवान,ராஜநீதிவான்,raajaneetivaan,rAjanItivAn,rājanītivān,ɾɑːd͡ʒən̪iːt̪ɪʋɑːn̪,politician,அரசியல்வாதி  
ꢱꢬ꣄ꢒꢵꢬ꣄,सर्कार,ஸர்கார்,sarkaar,sarkAr,sarkār,s̪əɾkɑːɾ,government,அரசு  
ꢬꢵꢙꢵꢖ꣄ꢔꢸ,राजाङ्गु,ராஜாங்கு3,raajaangu,rAjAGgu,rājāṅgu,ɾɑːd͡ʒɑːŋgu,government,அரசு  
ꢬꢵꢙ꣄ꢩꢮꢥ꣄,राज्भवन,ராஜ்ப4வன்,raajbhavan,rAjbhavan,rājbhavan,ɾɑːd͡ʒbʰəʋən̪,government house,அரசமாளிகை  
