alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
ஐனு,ainu,பாட்டிவழி,Grandmaternal,,,,
ஐங்கே4ர்,aingghEr,பாட்டிவீடு,Grandmother's house,,,,
அஜ்ஜாங்கே4ர்,ajjaangghEr,பாட்டி வீடு,Grandmother house,,,,
ம்ஹொட்டொ அஜ்ஜாங்கே4ர்,mhoTTo ajjaangghEr,அம்மாவின் பாட்டி வீடு,Mother's grandmother house,,,,
தொ3ய்ரபோ3,doyrabO,தாத்தா (அப்பா வழி),Grandfather (Paternal),,,,
தொ3ய்ரம்போ3,doyrambO,பாட்டி (அப்பா வழி),Grandmother (Paternal),,,,
அஜ்ஜபோ3,ajjabO,தாத்தா (அம்மா வழி),Grandfather (Maternal),,,,
அஜ்ஜம்போ3,ajjambO,பாட்டி (அம்மா வழி),Grandmother (Maternal),,,,
அஜ்ஜொ,ajjo,தாத்தா (அம்மா வழி),Grandfather (Maternal),,,,
அஜ்ஜி,ajji,பாட்டி (அம்மா வழி),Grandmother (Maternal),,,,
ஐங்கே4ர்அம்போ3,aingghErambO,பாட்டி,"Grandmother, Grandma",,,,
ஐங்கே4ர்போ3,aingghErbO,தாத்தா,"Grandfather, Grandad",,,,
அம்மொ,ammo,அப்பாவின் அம்மா,"Grandmother, Grandma",,,,
ஐய்யொ,aiyyo,அப்பாவின் அப்பா,"Grandfather, Grandad",,,,
வெஸிந்தி3ன்,vesindin,சம்பந்தி,Parent-in-law,,,,
ஸஸு,sasu,மாமியார்,Mother-in-law,,,,
ஸொஸுரோ,sosurO,மாமனார்,Father-in-Law,,,,
ஜொமை,jomai,மருமகன்,Son-in-law,,,,
பொ4வ்ண்டி3,bhovNDi,மருமகள்,Daughter-in-law,,,,
நத்தெ,natte,பேரன்,Grand Son,,,,
நதினி,natini,பேத்தி,Grand Daughter,,,,
பொன்னத்தெ,ponnatte,கொள்ளுப்பேரன்,Grand Grand Son,,,,
பொன்னதினி,ponnatini,கொள்ளுப்பேத்தி,Grand Grand Daughter,,,,
பரிவார்,parivaar,குடும்பம்,Family,,,,
ஸம்ஸாரு,samsaaru,குடும்பம்,Family,,,,
த3ம்பதி,dampati,கணவன் மனைவி,"Husband and Wife, Couple",,,,
பொஸுனொ,posuno,தத்து,Adoption,,,,
தி3யதி3,diyadi,பங்காளி,"Cousin, Cognate",,,,
ஸெஜ்ஜெபொஜ்ஜெ,sejjepojje,அக்கம்பக்கத்தவர்,Neighbour,,,,
ஜாத்,jaat,இனம்,Caste,,,,
கோ3த்ரு,gOtru,கோத்திரம்,Origin / Lineage Name,,,,
"குலொ, ஜாத்","kulo, jaat",இனம்,Race,,,,
தோ2ர்,thOr,தலைமுறை,Generation,,,,
பரம்பரொ,paramparo,பாரம்பரியம்,"Heritage, Legacy",,,,
"வங்கு3ஸ், வம்ஶொ","vanggus, vamsso",பரம்பரை,Ancestry,,,,
வம்ஶிகொ,vamssiko,"மரபு வழி, பரம்பரை வழி","Hereditary, Genetic",,,,
வம்ஶிகாணு,vamssikaaNu,மரபணு,Gene,,,,
வம்ஶிகாஸ்தி,vamssikaasti,"வழிவழிச் சொத்து, பரம்பரை உடைமை","Inheritance, Legacy",,,,
வாரிஸ்,vaaris,வாரிசு,Heir,,,,
லக3ன் தெ3ஸன்,lagan desan,நெருங்க விடுதல்,Allowing to get closer,,,,
