alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
தே3ஶ்,dEss,நாடு,Country,,,,
விதே3ஶ்,vidEss,வெளிநாடு,"Foreign country, Abroad",,,,
ஹொஸ்தானு தே3ஶ்,hostaanu dEss,மேற்கத்திய நாடு,Western country,,,,
தேஶாந்தர்,tEssaantar,இடம்பெயர்வு,Migration,,,,
ராஜ்யம்,raajyam,"மாநிலம், இராச்சியம்","State, Kingdom",,,,
ஜில்லா,jillaa,மாவட்டம்,District,,,,
கா3ம்,gaam,ஊர்,"Town, City",,,,
படன்,paTan,"பட்டணம், நகரம்","Town, City",,,,
தா2ம்,thaam,"இடம், நிலையம்","Place, Location, Station",,,,
ஸ்த2லொ,sthalo,"இடம், நிலையம்","Place, Location, Station",,,,
ஶாலொ,ssaalo,"பெரிய இடம், வளாகம்","A large place, Campus",,,,
க3முலொகா3ம்,gamulogaam,வெளியூர்,Outstation,,,,
பொர்க்யாட்,porkyaaT,பட்டிக்காடு,Village,,,,
ஒட்ச்சனி,oTccani,வடிகால்,Drain,,,,
சேகு,cEku,அழுக்கு,Dirt,,,,
சேக்பனி,cEkpani,அழுக்கு நீர்,Dirty water,,,,
நேக்பனி,nEkpani,சுத்தமான நீர்,Clean water,,,,
க2ண்டி3,khaNDi,"குழி, பள்ளம்",Pit,,,,
ஆளி,aaLi,பள்ளம்,"Groove, Pit",,,,
கூ4வொ,ghoovo,குகை,"Cave, Den",,,,
பி3ணுக்3,biNug,குகை,"Cave, Den",,,,
ஸுரங்கொ3,suranggo,சுரங்கப்பாதை,Tunnel,,,,
பாரொ,paaro,பாறை,Rock,,,,
கு3ண்டொ3,guNDo,கூழாங்கல்,Pebble,,,,
தெ3கு3டோ3,deguDO,"பாறை, கல்","Rock, Stone",,,,
தெ3ய்டொ3,deyDo,கல்,Stone,,,,
ப3ளிங்கு3தெ3ய்டொ3,baLinggudeyDo,சலவைக்கல்,Marble,,,,
சிடா3ய்தெய்டொ3,ciDaayteyDo,கருங்கல்,Blue Metal,,,,
ஶங்கு2,ssangkhu,சங்கு,Conch,,,,
வளு,vaLu,மணல்,Sand,,,,
மத்தி,matti,மண்,Soil,,,,
ரமத்தி,ramatti,செம்மண்,Red Sand,,,,
கரம்,karam,காவி,Red Sand,,,,
சிட3மத்தி,ciDamatti,களிமண்,Clay,,,,
சிகுட3மத்தி,cikuDamatti,களிமண்,Clay,,,,
வளுமத்தி,vaLumatti,வண்டல் மண்,Alluvial soil,,,,
ஸுபீகு,supeeku,"வளம், வளமான","Fertile, Fertility",,,,
பங்கு,pangku,சேறு,Mud,,,,
செக்குள்,cekkuL,சகதி,Mud,,,,
பு3த்3து3ரொ,budduro,சகதி,Mud,,,,
பு3த்3து3ரா பனி,budduraa pani,கழிவுநீர்,Sewage,,,,
