ꢂꢖ꣄ꢔꢷꢒꢵꢬ꣄,अङ्गीकार्,அங்கீ3கார்,recognition,அங்கீகாரம்  
ꢎꢒ꣄ꢫ ꢬꢵꢰ꣄ꢜ꣄ꢬ ꢱꢪ꣄ꢱ꣄ꢡꢵꢥ꣄ ,ऐक्य राष्ट्र सम्स्तान,ஐக்ய ராஷ்ட்ர ஸம்ஸ்தான்,United Nations Organisation,ஐக்கிய நாடுகள் சபை    
ꢎꢒ꣄ꢫ ꢂꢔ꣄ꢬꢠꢶ,ईक्य अग्रणि,ஐக்ய அக்3ரணி,United Front,ஐக்கிய முன்னணி   
ꢣꣁꢦ꣄ꢦꢵ ꢢꣁꢮ꣄ꢥꢶ,"दा॑ब्बि थोव्नि, ",தொ3ப்3பி3 தொ2வ்னி,adjournment,ஒத்திவைப்பு  
"ꢱꢲꢒꢵꢬ꣄, ꢱꢲꢫꣂꢔ꣄","सहकार्, सहयोग",ஸஹகார்/ ஸஹயோக்3,co-operation,ஒத்துழைப்பு  
ꢮꢶꢩꢵꢙꢥꣁ,विभाजना॑,விபா4ஜனொ,allotment,ஒதுக்கீடு  
ꢦꢬꢮꢱꣁ ꢒꢾꢬ꣄ꢥꢶ,परवसा॑ क॑र्नि,பரவஸொ கெர்னி,handover,ஒப்படைப்பு  
ꢏꢦ꣄ꢦꢥ꣄ꢣ ꢱꢹꢗꢥꣁ,आ॑प्पन्द सूचना॑,ஒப்பந்த3ஸூசனொ,tender,ஒப்பந்தப்புள்ளி  
ꢏꢦ꣄ꢦꢥ꣄ꢣꢪ꣄,आ॑प्पन्दम,ஒப்பந்த3ம்  ,contract,ஒப்பந்தம்  
ꢲꢵꢡꢸ ꢂꢒ꣄ꢰꢬ꣄,हातु अक्षर,ஹாது அக்ஷர்,signature,ஒப்பு  
"ꢱ꣄ꢮꢷꢒꢬ꣄ꢥꢶ, ꢦ꣄ꢬꢵꢦ꣄ꢡꢶ ꢱꢖ꣄ꢔꢶꢥꢶ","स्वीकर्नि, प्राप्ति सङ्गिनि",ஸ்வீகர்னி/ப்ராப்தி ஸங்கி3னி,acknowledge ment,ஒப்புகை  
ꢏꢦ꣄ꢦꢶꢭ꣄ꢥꢶ,आ॑प्पिल्नि,ஒப்பில்னி,acceptance,ஒப்புதல்
ꢭꢿꢡꢥꢶ,लेतनि,லோதனி,surrender,ஒப்புவிப்பு
ꢎꢒ꣄ꢫ ꢩꢵꢮꢥꣁ,ऐक्यभावना॑,ஐக்ய பா4வனொ,integration,ஒருமைப்பாடு  
ꢥꢶꢫꢪꣁ,नियमा॑,நியமொ,regulation,ஒழுங்குமுறை  
"ꢤꣁꢥꢶꢥꢾꢬ꣄ꢦꢶꢥꢶ, ꢤꣁꢥꢶ ꢦ꣄ꢬꢱꢵꢬ꣄","धा॑नि न॑र्पिनि, धा॑नि प्रसार",தொ4னிநெர்பினி/ தொ4னி ப்ரஸார்,broad casting,ஒலிபரப்பு  
"ꢬꢹꢦꢸ ꢥꢾꢬ꣄ꢦꢶꢥꢶ, ꢬꢹꢦꢸ ꢦ꣄ꢬꢱꢵꢬ꣄","रूपु न॑र्पिनि,    रूपु प्रसार",ரூபுநெர்பினி / ரூபு ப்ரஸார்,telecasting,ஒளிபரப்பு  
"ꢭꢸꢔ꣄ꢙꢵꢥꢶ, ꢔꢸꢦ꣄ꢡꢗꢵꢬꢶ, ꢔꢸꢦ꣄ꢡꣁ, ꢔꢸꢞꢵꢗꢵꢬꢶ","लुगञानि, गुप्तचारि, गुप्ता॑, गुडाचारि",லுக்ஜானி/கு3ப்தசாரி/கு3ப்தொ/கு3டா3சாரி,spy,ஒற்றன்  
ꢒꢸꢣ꣄ꢮꣁ,कुट्रा॑,குட்ரொ,mortgage,ஒற்றி
ꢗꢖ꣄ꢔꢪ꣄,चङ्गम्,ஸங்க3ம்,union,ஒன்றியம்  
"ꢮꢵꢒ꣄, ꢪꢡꢣꢵꢥ꣄, ꢮꢵꢔ꣄ꢣꢵꢥ꣄","वाक्, मतदान, वाग्दान",வோட் / மததா3ன் / வாக்3தா3ன்,vote,ஓட்டு  
ꢮꢵꢒ꣄ ꢨꢵꢡ꣄ꢫꣁ,वाक्बात्या॑,வாக்பா3த்யொ,franchise,ஓட்டுரிமை  
"ꢮꢶꢱ꣄ꢬꢵꢥ꣄ꢡꢶ, ꢮꢶꢬꢡꢶ","विस्रान्ति, विरति",விஸ்ராந்தி/விரதி,retiring,ஓய்வூ பெறுதல்  
ꢒꢒ꣄ꢰꢶ,कक्षि,கக்ஷி,party,கட்சி  
"ꢱꢸꢭ꣄ꢒꢪ꣄, ꢣꢬꣁ, ꢪꣂꢭ꣄","सूल्कम्, दरा॑, मोल्",ஸுல்கம் / த3ரொ / மோல்,fare,கட்டணம் 
ꢒꢾꢜ꣄ꢜꣁ,केट्टा॑,கெட்டொ,bundle,கட்டு  
ꢥꢶꢫꢪꣁ,नियमा॑,நியமொ,con trol,கட்டுப்பாடு  
ꢙꢭ ꢱꢿꢥꣁ,जल सेना॑,ஜல ஸேனொ,naval force,கடற்படை  
ꢬꢷꢠ꣄,रीण,ரீண்,debt,கடன்  
ꢬꢷꢠꢸꢩꢵꢬ꣄,रीणुभार,ரீணுபா4ர்,liabilities,கடன் பொறுப்பு
ꢱꢾꢮ꣄ꢒꢥ꣄,स॑व्कन्,ஸெவ்கன்,peon,கடைநிலை ஊழியர்   
"ꢔꢮꢸꢛ꣄ꢙꢶ ꢔꢮꢸꢛ꣄ꢙꢸꢥꢵꢬ꣄, ꢥꢶꢬꢷꢰꢠꣁ","गवुञ्जि, गवुन्जुनार्, निरीकक्षणा॑",க3வுஞ்ஜி/க3வுஞ்ஜுனார்/ நிரீக்ஷணொ,supervision,கண்காணிப்பு  
ꢭꢴꢾꢒꢒꣀꢡ꣄,ल्हेककैत,லெ:க்கைத்,accountant,கணக்கர்  
"ꢭꢴꢾꢒ꣄ꢒꣁ ꢲꢾꢞ꣄ꢠꢶ, ꢔꢠꢥꣁ","ल्ह॑क्का॑ हेड्णि, गणना॑",லெ:க்கொ ஹெட்3ணி/ க3ணனொ,enumeration,கணக்கெடுப்பு  
"ꢔꢠꢶꢠꢶ, ꢲꢷꢱꢸꢥꢿꢭ꣄, ꢭꢴꢾꢒ꣄ꢒꢥꢶ","गणिणि, हीसुनेल, ल्ह॑क्कनि",க3ணிணி/ ஹீஸுநேல்/ லெ:க்கனி,computer,கணினி  
ꢨꢥ꣄ꢤꢸ,बन्धु,ப3ந்து4,"bandh, lock-out",கதவடைப்பு  
ꢂꢩꢶꢦ꣄ꢬꢵꢫ,अभिप्राय,அபி4ப்ராயு,"opinion, idea",கருத்து  
"ꢇꢲꣁ, ꢇꢲꢥꣁ","ऊहा॑, ऊहना॑",ஊஹொ/ஊஹனொ,assumption,கருதுகோள்  
ꢭꢴꢾꢒ꣄ꢒꢵꢮ꣄,ल्ह॑क्काव,லெ:க்காவ்,calculator,கணிப்பான்
"ꢦꣁꢒ꣄ꢒꢶꢰꢪ꣄, ꢮꢶꢡ꣄ꢡꢒꣂꢰ꣄","पा॑क्किषम्, वित्तकोष",பொக்கிஷம்/ வித்தகோஷ்,treasury,கருவூலம்  
ꢮꢶꢣ꣄ꢫꢵ ꢪꢥ꣄ꢡ꣄ꢬꢶ,विद्या मन्त्रि,வித்3யா மந்த்ரி,education minister,கல்வி அமைச்சர்   
ꢮꢶꢣ꣄ꢫꢵ ꢮꢶꢩꢵꢔ꣄,विद्याविभाग्,வித்3யாவிபா4க்3,education department,கல்வித்துறை  
ꢪꢶꢱ꣄ꢬꢠꣁ,मिस्रणा॑,மிஸ்ரணொ,adulteration,கலப்படம்  
ꢪꢶꢱ꣄ꢡ ꢙꢵꢡ꣄,मिस्तजात्,மிஸ்ரஜாத்,"cross-breed, hybrid",கலப்பினம்  
"ꢆꢣꢵꢱꢷꢥ꣄, ꢆꢦꢾꢒ꣄ꢰꣁ","उदासीन, उपेक्षो",உதா3ஸீன்/உபேக்ஷொ,negligence,கவனக் குறைவு   
"ꢱꢩꣁ, ꢱꢪ꣄ꢱ꣄ꢢꢵꢥ꣄","सभा॑, सम्स्थान",ஸபொ4/ஸம்ஸ்தா2ன், association,கழகம்  
ꢩꢶꢞ꣄ꢠꢶ,भिड्णि,பி4ட்3ணி,discount,கழிவு  
ꢤꢵꢡꢸ,धातु,தா4து,ore,கனிமம்  
ꢓꢙꢵꢥꣁ,खजाना॑,க2ஜானொ,treasury,கஜானா  
ꢲꢥ꣄ꢥꢮꢸ ꢦꢡꢡ꣄ꢬ꣄,हन्नवुपत्रर,ஹன்னவு பத்தர்,cheque,காசோலை  
ꢬꢰꢠꢒꢬ꣄ꢥꢶ,रक्षणकर्नि,ரக்ஷணகர்னி,insulation,காப்பிடுதல்  
ꢬꢰꢠ ꢩꢬ꣄ꢡꢶ,रक्षणभर्ति,ரக்ஷணப4ர்தி,insurance,காப்பீடு  
ꢪꢸꢱꢶꢥꢶ,मुसिनि,முஸினி,termina tion,காலாவதி  
"ꢦꣁꢭꢶꢱ꣄ꢥꢶꢬꢷꢒ꣄ꢱꢒꣁ, ꢢꢵꢠꢵ ꢥꢶꢬꢶꢒ꣄ꢰꢒꣁ","पोलिस्निरीक्षका॑, थाणा निरिक्षका॑",பொலிஸ்நிரீக்ஷகொ/தா2ணா நிரிக்ஷகொ,police inspector,காவல் ஆய்வாளர்   
"ꢬꢴꢒ꣄ꢒꣀꢡ꣄, ꢬꢴꢒ꣄ꢒꢸꢮꢵꢥ꣄","र्हक्कैत, र्हक्कुवान",ர:க்கைத்/ ர:க்குவான்,watchman,காவல்காரன்  
ꢢꢵꢠꢵꢮꢶꢩꢵꢒ꣄,थाणाविभाक,தா2ணாவிபா4க்,police department,காவல் துறை  
ꢢꢠꢫ꣄ꢡꢸ,थाणय्तु,த2ணய்து,policeman,காவலர்  
ꢒꢶꢞ꣄ꢞꢖ꣄ꢒꢶ,किड्डङ्कि,கி3ட்3ட3ங்கி3,godown,கிடங்கு  
"ꢥꢴꢥꢦꣁꢬ꣄ꢱꢾ, ꢥꢴꢥ꣄ꢔꢵꢪ꣄,  ꢥꢴꢥ꣄ ꢦꣁꢜ꣄ꢒ꣄ꢫꢵꢜ꣄","न्हन्पा॑र्स॑, न्हन्गाम,     न्हन पा॑ट्क्याट",ந:ன்பொர்ஸெ/ந:ன் கா3ம்/ ந:ன் பொட்க்யாட்,hamlet,குக்கிராமம்  
"ꢔꢠ ꢡꢥ꣄ꢡ꣄ꢬꢸ, ꢔꢠ ꢬꢵꢙ꣄ꢫꢸ, ꢦ꣄ꢬꢙꢵ ꢦ꣄ꢬꢩꢸꢡ꣄ꢮꣁ","गण तन्त्रु, गण राज्यु, प्रजा प्रभुत्वा॑",க3ண தந்த்ரு/ க3ண ராஜ்யு/ ப்ரஜா ப்ரபு4த்வொ,"republic, democracy",குடியரசு  
ꢙꢥꢵꢡꢶꢦꢡꢶ,जनातिपति,ஜனாதிபதி,president of the country,குடியரசுத் தலைவர்   
"ꢦ꣄ꢬꢙꢵ ꢨꢵꢡ꣄ꢫꢸ, ꢥꢵꢔꢬꢶꢒꢡꣁ","प्रजाबात्यु, नागरिकता॑",ப்ரஜாபா3த்யு/ நாக3ரிகதொ,citizenship,குடியுரிமை  
ꢒꢸꢜꢸꢪ꣄ꢨ ꢥꢶꢬꣂꢡ꣄,कुटुम्बनिरोत्,குடும்ப3நிரோத்4,family planning,குடும்பக் கட்டுப்பாடு   
ꢒꢸꢜꢸꢪ꣄ꢨ ꢒ꣄ꢰꢿꢪ ꢮꢶꢩꢵꢔ꣄,कुटुम्प क्षेम विभाग,குடும்ப க்ஷேம விபா4க்3,family welfare department,குடும்ப நலத்துறை   
ꢏꢡ꣄ꢡꢶ,आ॑त्ति,ஒத்தி,lease,குத்தகை  
ꢔꢸꢪ꣄ꢱ꣄ꢡꣁ,गुमस्ता॑,கு3மஸ்தொ,clerk,குமாஸ்தா  
ꢔꢸꢪ꣄ꢦꢸ,गुम्पु,கு3ம்பு,group,குழு  
"ꢂꢦꢬꢵꢤ꣄, ꢘꢸꢒ꣄ꢕꢭ꣄ꢥꢶ","अपराध, चूक्घल्नि",அபராத்4/சூக் க4ல்னி,accusation,குற்றச்சாட்டு  
ꢂꢦꢬꢵꢤ꣄,अपराध,அபராத்4,"default, fault",குற்றம்  
"ꢗꢶꢥ꣄ꢲꢸꢥ꣄, ꢔꢸꢬ꣄ꢡꢸꢥ꣄ ","चिनहुन, गुर्तुन",சின்ஹுன்/கு3ர்துன்,signs,குறிகள்  
ꢱꢶꢥ꣄ꢡꢸꢱꢖ꣄ꢓ꣄ꢫꣁ,सिन्तु सङ्ख्या॑,கு3ர்து ஸங்க்2யொ,index number,குறியீட்டெண்  
"ꢱꢶꢥ꣄ꢲꢸ, ꢔꢸꢬ꣄ꢡꢸ","सिन्हु, गुर्तु",சின்ஹு/ கு3ர்து,"index, code",குறியீடு  
"ꢆꢥ꣄ꢥ ꢦꣁꢞꢾꢫꣁ, ꢆꢥ꣄ꢥ ꢦꢒ꣄ꢯꢸ","उन्न पा॑ड॑या॑,   उन्न पक्षु",உன்ன பொடெ3யொ/ உன்ன பக்ஷு,minimum,குறைந்தபட்சம்
ꢦꢒ꣄ꢯ ꢎꢒ꣄ꢫꢡꣁ,पक्ष ऐक्यता॑,பக்ஷ ஐக்யதொ,front (political),கூட்டணி  
"ꢪꢹꢔꣁ,ꢔꢸꢪ꣄ꢦꢸꢪꢶꢳ꣄ꢥꢶ, ꢪꢶꢳ꣄꣄ꢠꢶ","मूगा॑, गुम्पु, मिळ्नि, मिळ्णि",மூகொ3/கு3ம்பு/மிள்னி/மிள்ணி,crowd,கூட்டம்  
ꢪꢔꢶꢥꢶ,मगिनि,மகி3னி,demand,கேட்பு  
"ꢓꢿꢭꢸ ꢒ꣄ꢬꢶꢫꣁ, ꢪꢥꣂꢬꢛ꣄ꢙꢥ꣄","खेलु क्रिया॑, मनोरञ꣄जन",கே2ளு க்ரியொ/ மனோரஞ்ஜன்,entertainment,கேளிக்கை  
ꢲꢵꢡꢸ ꣄ꢪꢔꣁ,हातु मगा॑,ஹாதுமகொ3,handloom,கைத்தறி  
ꢩꢥ꣄ꢣꢶ,भन्दि,ப3ந்தி3,prisoner,கைதி  
ꢡꢸꢰ꣄ ꢦ꣄ꢬꢫꣂꢔ꣄,तुष्प्रयोग,து3ஷ்ப்ரயோக்3,misappropriation,கையாடல்  
ꢭꢾꢛ꣄ꢙꢪ꣄ ꢨꢶꢮ꣄ꢙꢞ꣄,"ल॑ञ्जम्, बिव्जड्","லெஞ்சம், பி3வ்ஜட்",,
ꢲꢵꢡꢸꢦꣁꢡꢶ,हातुपा॑ति,ஹாதுபொதி,handbook,கையேடு  
ꢬꢷꢠꢸꢨꢥ꣄ꢣꢶ,रीणुबन्दि,ரீணுப3ந்தி3,bonded labour,கொத்தடிமை  
ꢤꣁꢙ꣄,धा॑ज,தொ4ஜ்,flag,கொடி  
ꢤꣁꢙ ꢱ꣄ꢢꢪ꣄ꢨꢸ,धा॑ज स्थम्बु,தொ4ஜ ஸ்த2ம்பு3,flag post,கொடிமரம்  
"ꢭꢒ꣄ꢰ꣄ꢫꢸ, ꢤ꣄ꢫꢿꢫꢸ","लक्ष्यु, ध्येयु",லக்ஷ்யு/த்4யேயு,policy,கொள்கை  
ꢮꢶꢩꢵꢔ꣄,विभाग,விபா4க்3,division (land),கோட்டம்  
ꢣꢸꢬꢸꢔ꣄,दुरुग्,து3ருக்3,fort,கோட்டை  
"ꢥꢶꢫꢪꣁ, ꢱꢶꢣ꣄ꢣꢵꢥ꣄ꢡꢸ","नियमा॑, सिद्दान्तु",நியமொ/ஸித்3தா3ந்து,policy,கோட்பாடு  
"ꢒꣂꢠ꣄, ꢒꣁꢥꣁ, ꢣ꣄ꢬꢸꢰ꣄ꢜꢶꢒꣂꢠ꣄","कोण, का॑ना॑, द्रुष्टिकोण",கோண்/கொனொ/ த்3ருஷ்டிகோண்,angle,கோணம்  
ꢦꣁꢪꢜ꣄,पा॑मट,பொமட்,file,கோப்பு  
"ꢪꢒꢶꢥꢶ, ꢒꣁꢬꢶ","मगिनि, का॑रि",மகி3னி/கொரி,"demand, requisition",கோரிக்கை  
"ꢮꢬ꣄ꢔꢸ, ꢔꣂꢰ꣄ꢜꢶ","वर्गु, गोष्टि",வர்கு3/கோ3ஷ்டி,group,கோஷ்டி  
ꢗꢒ꣄ꢬꢮꢬ꣄ꢡ꣄ꢡꢶ,चक्रवर्त्ति,சக்ரவர்த்தி,emperor,சக்கரவர்த்தி  
ꢩꣀ-ꢩꢾꢫ꣄ꢥꢥꢸꢦꢥ꣄,भै-भेय्ननुपन,பை4-பெ4ய்னனுபன்,brotherhood,சகோதரத்துவம்  
"ꢱꢖ꣄ꢔꢪ꣄, ꢱꢖ꣄ꢕꣁ, ꢱꢩꣁ","सङ्गम्, सङ्घा॑, सभा॑",ஸங்க3ம்/ ஸங்கொ4/ஸபொ4,association,சங்கம்  
"ꢱꢜ꣄ꢜꢱꢩꣁ, ꢮꢶꢤꢵꢥ꣄ ꢱꣃꢤꣁ, ꢮꢶꢤꢵꢥꢸ ꢱꣃꢤꣁ, ꢮꢶꢤꢵꢥ꣄ ꢱꢩꣁ","सट्टसभा॑,     विधान सैधा॑, विधानु सौधा॑, विधान सभा॑",ஸட்டஸபொ4/விதா4ன் ஸௌதொ4/ விதா4னு ஸௌதொ4/விதா4ன் ஸபொ4,legisla tive assembly,சட்டசபை  
"ꢱꢵꢱꢥꢪꢬ꣄ꢗꢶꢥꢶ, ꢱꢵꢱꢥ ꢡꢶꢣ꣄ꢡꢸꢮꢳꢶꢶ, ꢱꢵꢱꢥ ꢱꢹꢤꢵꢬ꣄","सासनमर्चिनि, सासन तिद्तुवळि, सासन सुधार",ஸாஸனமர்சினி/ ஸாஸன தித்3துவளி/ ஸாஸன ஸுதா4ர்,amendment,சட்டத்திருத்தம்  
"ꢱꢵꢱꢥꣁ, ꢮꢶꢤꢵꢥ꣄","सासना॑, विधान",ஸாஸனொ/விதா4ன்,"act, law",சட்டம்  
ꢱꢜ꣄ꢜꢱ꣄ꢩꣁ,सट्टसभा॑,ஸட்டஸபொ4,le gislative assembly,சட்டமன்றம்  
ꢱꢡ꣄ꢫꢵꢔ꣄ꢬꢲꣁ,सत्याग्रहा॑,ஸத்யாக்3ரஹொ,"satyagraha, protest",சத்தியாக்கிரகம்  
ꢱꢾꢡ꣄ꢡꢬ꣄,स॑त्तर्,ஸெத்தர்/,choultry,சத்திரம்  
ꢱꢡꢶ,सति,ஸதி,conspiracy,சதி  
ꢱꢩꢵꢥꢵꢫꢒꣁ,सभानायका॑,ஸபா4நாயகொ,assembly speaker,சபாநாயகர்  
ꢱꣁꢪ꣄ꢦꢸꢳꢵ ꢗꢾꢜ꣄ꢥꢶ,सा॑म्पुळाच॑ट्नि,ஸொம்பு3ளாசெட்னி,pay raise,சம்பள உயர்வு   
"ꢱꣁꢪ꣄ꢨꢸꢳꣁ, ꢦꢔꢵꢬ꣄","सा॑म्बुळा॑, पगार",ஸொம்பு3ளொ/பகா3ர்,salary,சம்பளம்  
ꢱꢪꢵꢥꢸꢦꢥ꣄,समानुपन,ஸமானுபன்,equality,சமத்துவம்  
ꢱꢵꢪꢵꢣꢵꢥ꣄,समादान्,ஸமாதா4ன்,peace,சமாதானம்  
"ꢱꢪꢸꢣꢵꢫ꣄, ꢱꢪꢹꢲꢸ","समुदाय, समूहु",ஸமுதா3ய்/ஸமூஹு,society,சமுதாயம் / சமூகம்  
ꢱꢬ꣄ꢮꢵꢤꢶꢒꢵꢬ꣄,सर्वाधिकार्,ஸர்வாதி4கார்,dictatorship,சர்வாதிகாரம்
ꢱꢬ꣄ꢮꢵꢤꢶꢒꢵꢬꢶ,सर्वाधिकारि,ஸர்வாதி4காரி,dictator,சர்வாதிகாரி
ꢬꢪꢵꢬꢪꢶ,रमारमि,ரமாரமி,average,சராசரி  
"ꢱꢾꢭ꣄ꢒꢾ, ꢱꢲꢵꢮꢸ","स॑ल्क॑, सहावु",ஸெல்கெ/ஸஹாவு,concession,சலுகை  
"ꢱꢵꢤꢥꣁ, ꢆꢦꢭꢨ꣄ꢤꢶ, ꢭꢨꢶꢛ꣄ꢗꢶꢥꢶ","साधना॑, उपलब्धि, लबिञ्चिनि",ஸாத4னொ/ உபலப்3தி4/லபி3ஞ்சினி,achievement,சாதனை  
"ꢱꢪ꣄ꢱ꣄ꢫꣁ, ꢦ꣄ꢬꢱ꣄ꢥꣁ","समस्या॑, प्रस्ना॑",ஸமஸ்யொ/ப்ரஸ்னொ/,problem,சிக்கல்  
"ꢆꢥ꣄ꢥꢮꢿꢱ꣄, ꢱꣁꢜ꣄ꢜꢸ","उन्नवेस्, सा॑ट्टु",உன்னவேஸ்/ ஸொட்டு,"economy, thrift",சிக்கனம்  
"ꢮꢶꢒꢵꢬ꣄, ꢥꢱꢶꢥꢪ꣄, ꢱꢶꢡꢶꢭ꣄","विकार, नसिनम, सितिल",விகார்/நஸினம்/ஸிதில்,decay,சிதைவு  
ꢱꢸꢨꢬ꣄ꢗꢶ,सुबर्चि,ஸுப3ர்சி,recommendation,சிபாரிசு  
"ꢱꢶꢪ꣄ꢲꢵꢱꢥꣁ, ꢱꢶꢪ꣄ꢲꢹ ꢃꢱꢥꣁ","सिम्हासना॑, सिम्हु आसना॑",ஸிம்ஹாஸனொ/ஸிம்ஹு ஆஸனொ,throne,சிம்மாசனம்  
ꢂꢭ꣄ꢦ ꢱꢖ꣄ꢓꢫꣁ,अल्प सङ्खया॑,அல்ப ஸங்க2யொ,minority,சிறுபான்மை  
ꢥꢴꢥ꣄ꢥ ꢣꢵꢮꣁ,न्हन्न दावा॑,ந:ன்தா3வொ,petty case,சிறுவழக்கு
"ꢒꢵꢬꢵꢔ꣄ꢬꢆ, ꢙꢾꢫꢶꢭ꣄","काराग्रहु, ज॑यिल",காராக்3ரஹு/ஜெயில்,"jail, prison",சிறை  
"ꢪꢸꢣ꣄ꢬꣁ, ꢗꢶꢥ꣄ꢲꢸ","मुद्रा॑, चिन्हु",முத்3ரொ/சின்ஹு,symbol,சின்னம்  
ꢮꢵꢒ꣄ꢒꢸꢗꢷꢜ꣄,वाक्कुचीट,வாக்கு சீட்,ballot,வாக்குசீட்டு  
"ꢱꢸꢒꢬ꣄ꢠꢶ, ꢱꢸꢤꢵꢬ꣄","सूकर्णि, सुधार",ஸுகர்ணி/ஸுதா4ர்,reformation,சீர்திருத்தம்  
ꢱꢪꢬꢹꢦ ꢮꢱ꣄ꢡꢬ꣄,समरूप वस्तर,ஸமரூப வஸ்தர்,uniform,சீருடை  
"ꢱꢸꢭ꣄ꢒꢪ꣄, ꢱꢸꢭ꣄ꢒꣁ","सुल्कम्, सुल्का॑",ஸுல்கம்/ஸுல்கொ,excise duty,சுங்கவரி  
ꢱꢸꢡꢥ꣄ꢣꢬꢸ,सुतन्द्रु,ஸுதந்த்3ரு,freedom,சுதந்திரம்  
ꢣꢸꢰ꣄ꢦ꣄ꢬꢫꣁꢒ꣄,दुष्प्रयोक,து3ஷ்ப்ரயோக்,exploitation,சுரண்டல் 
ꢱꢖ꣄ꢒ꣄ꢯꢾꢦꢸ,सङ्क्क्षेपु,ஸங்க்க்ஷேபு,abridgement,சுருக்கம்  
ꢩꢷꢡꢸꢬ꣄ ꢣꢾꢮ꣄ꢱꢶꢥꢶ,भीतुर् द॑व्सिनि,பீ4துர் தெ3வ்ஸினி,wall-poster,சுவரொட்டி  
"ꢗꢸꢜ꣄ꢜꢸꢬ꣄ ꢒꢳꢞ꣄ꢠꢶ, ꢦꢬꢶꢦꢡ꣄ꢡꢬ꣄","चुट्टुर् कळड्णि, परिपत्तर",சுட்டுர் களட்3ணி/ பரிபத்தர்,circular,சுற்றிக்கை  
"ꢪꢬꢵꢪꢡ꣄ꢡꢸ, ꢱꢸꢤꢬꢠꣁ, ꢗꢪ꣄ꢱ꣄ꢒꢬꢠꣁ","मरमत्तु, सुधरणा॑, चम्स्करणा॑",மராமத்து/ஸுத4ரணொ/சம்ஸ்கரணொ,repair,செப்பனிடுதல்  
"ꢱꢹꢗꢥ ꢮꢶꢩꢵꢔ꣄, ꢱꢪꢵꢗ꣄ꢗꢵꢬꢸ ꢮꢶꢩꢵꢔ꣄","सूचन विभाग, समाच्चारु विभाग",ஸூசன விபா4க்3/ ஸமாச்சாரு விபா4க்3,information department,செய்தித்துறை  
ꢱꢗꢶꢮꢵꢭꢫꣁ,सचिवालया॑,ஸசிவாலயொ,secretariate,செயலகம்  
ꢒꢵꢬ꣄ꢫꢣꢬ꣄ꢱꢶ,कार्यदर्सि,கார்யத3ர்ஸி,secretary,செயலர்  
ꢒꢵꢬ꣄ꢫꢣꢬ꣄ꢱꢶ,कार्यदर्सि,கார்யத3ர்ஸி,secretary,செயலாளர்  
ꢨ꣄ꢬꢩꢵꢮ꣄,प्रभाव्,ப்ரபா4வ்,influence,செல்வாக்கு  
ꢮꢿꢱꢸꢥ꣄,वेसुन्,வேஸுன், items of expenditure,செலவினம்  
ꢮꢿꢱ,वेस,வேஸ்,expenditure,செலவு  
ꢣꢾꢜ꣄ꢜꢸ,देट्टु,தெ3ட்டு,intensity,செறிவு  
ꢒ꣄ꢯꢡꢶ,क्षति,க்ஷதி,damage,சேதம்  
ꢱꢿꢡꢵꢬꢪ꣄,सेतारम्,சேதாரம்,spoilage,சேதாரம்
ꢆꢬꢵꢮ,उराव,உராவ்,savings,சேமிப்பு  
ꢱꢿꢥꢵꢤꢶꢦꢡꢶ,सेनाधिपति,ஸேனாதி4பதி,army chief,சேனாதிபதி  
"ꢱꢫ꣄ꢒꢥꣁ, ꢱꢪꢶꢙ꣄ꢛꢸ","सय्कना॑, समिज्ना॑",ஸய்கனொ/ ஸமிஜ்ஞொ,signal,சைகை  
ꢱꣁꢡ꣄ꢡꢸ,सा॑त्तु,ஸொத்து,assets,சொத்து  
"ꢮꢶꢮꢵꢡ꣄, ꢡꢾꢔꢸꢬꢵꢭ꣄","विवात, त॑गुराल",விவாத்/தெகு3ரால்,dispute,தகராறு  
"ꢫꣂꢔ꣄ꢫꢡꣁ, ꢭꢵꢔꢶꢡꣁ","योग्यता॑, लागिता॑",யோக்3யதொ/ லாகி3தொ,"qualification, eligibility",தகுதி  
ꢜꢖ꣄ꢒꢠꢒꢬ꣄ꢡꣁ,टङकणकर्ता॑,டங்கணகர்தொ,typist,தட்டெழுத்தர்  
ꢪꢵꢬ꣄ꢔꢸ,मार्गु,மார்கு3,route,தடம்  
"ꢃꢞ꣄ꢞꢪꢸꢥ꣄, ꢂꢞ꣄ꢞꢶꢥ꣄, ꢨꢵꢤꢵꢥ꣄","अड्डामुन, अड्डिन, बाधान",அட்3ட3முன்/அட்3டி3ன்/பா3தா4ன்,obstacles,தடைகள்  
ꢣꢠ꣄ꢞꢠꣁ,दण्डणा॑,த3ண்ட3ணொ,"fine, penalty",தண்டம்  
ꢣꢠ꣄ꢞꢠꣁ,दण्डणा॑,த3ண்ட3ணொ,punishment,தண்டனை  
"ꢱꢾꢬ꣄ꢒꢬꢥꢶ, ꢭꢾꢓ꣄ꢒꣁ, ꢭꢴꢾꢒ꣄ꢒꢵ ꢥꢶꢬꢷꢒ꣄ꢰꢠꣁ, ꢭꢴꢾꢒ꣄ꢒꢵ ꢱꣂꢤꢥꣁ","स॑र्करनि, ल॑ख्का॑, ल्ह॑क्का निरीक्षणा॑, ल्ह॑क्का सोधना॑",ஸெர்கர:னி/லெக்2கொ/ லெ:க்கா நிரீக்ஷனொ/லெ:க்கா ஸோத4னொ/,audit,தணிக்கை  
