ꢂꢠ꣄ꢗꢸ ꢮꢔꢡꢶ,अण्चुव गति,அண்சுவ க3தி,suppression,அடக்குமுறை  
ꢬꣃꢳꢶ,रौळि,ரௌளி,mutiny,கலகம்  
ꢒꢭꢔꢪ꣄,कलगम्,கலக3ம்,mutiny,கலகம்  
ꢔꢭꢵꢜ꣄ꢜꢵ,कलाट्टा,க3லாட்டா,disturbance,கலாட்டா  
ꢔꢵꢪ꣄ ꢥꢶꢱꢨ꣄ꢣꢸ ꢱꢵꢱꢥꣁ,गाम् निसब्दु सासना॑,கா3ம்நிஸப்3து3ஸாஸனொ,curfew,ஊரடங்குச் சட்டம்   
ꢨ꣄ꢬꢰ꣄ꢜꢵꢗꢵꢬ꣄,ब्रष्टाचार,ப்3ரஷ்டாசார்,corruption,ஊழல்  
ꢪꢭꢶꢥꢵꢗꢵꢬ꣄,मलिनाचार,மலினாசார்,corruption,ஊழல்  
ꢪꣁꢱꢒꢵꢬ꣄,मोसकार,மோஸகார்,cheater,எத்தன்  
ꢲꣁꢖ꣄ꢔꢞ꣄ꢠꢵꢬ꣄,हा॑ङ्गडणार,ஹொங்க3ட்3ணார்,cheater,எத்தன்  
ꢮꢶꢦꢒ꣄ꢰꢸꢮꢵꢥ꣄,विपक्षुवान,விபக்ஷுவான்,opposition cadre,எதிர்க்கட்சிக்காரன் 
ꢡꣂꢒꢸꢦꢒ꣄ꢰꢸꢮꢵꢥ꣄,तोकुपक्षुवान,தோகு பக்ஷுவான்,opposition cadre,எதிர்க்கட்சிக்காரன் 
ꢏꢡ꣄ꢡꢶ,आ॑त्ति,ஒத்தி,lease,ஒத்தி  
ꢭꢸꢒ꣄ꢙꢵꢥꢶ,लुक्जानि,லுக்ஜானி,spy,ஒற்றன்
ꢗꢵꢬ꣄,चार्,சார்,spy,ஒற்றன்
ꢒꢜ꣄ꢗꢶꢒꢾꢬꣁ,कट्चिक॑रा॑,கட்சிகெரொ,client,கட்சிக்காரன்  
ꢦꢒ꣄ꢯꢸꢮꢵꢥ꣄,पक्षुवान,பக்ஷுவான்,client,கட்சிக்காரன்  
