ꢲꢣ꣄ꢣꢸ,हद्दु,ஹத்3து3,half,அரை  
ꢱꢱꢬꢸ,ससरु,ஸஸரு,thousand,ஆயிரம்  
ꢣꢷꢒꢳ ꢱꢱꢬꢸ,दीकळ ससरु,தீ3களஸஸரு,thousand and two,ஆயிரத்து இரண்டு   
ꢮꢷꢱ꣄ꢒꢳ ꢱꢱꢬꢸ,विस्कळ ससरु,வீஸ்களஸஸரு,thousand and twenty,ஆயிரத்து இருபது   
ꢣꢷꢱꢵꢬ꣄,दीसार्,தீ3ஸார்,two thousand,இரண்டாயிரம்  
ꢢꢶꢥ꣄ꢱꢵꢬ꣄,थिनसार्,தி2ந்ஸார்,three thousand,மூவாயிரம்  
ꢗꢵꢬ꣄ ꢱꢵꢬ꣄,चार्सार्,சார்ஸார்,four thousand,நாலாயிரம்  
ꢦꢵꢛ꣄ꢗ꣄ ꢱꢱꢬ꣄,पाञच्सार्,பாஞ்ச்ஸஸர்,five thousand,ஐயாயிரம்  
ꢱꣂ ꢱꢵꢱꢬ꣄,सो ससर्,ஸோஸஸர்,six thousand,ஆறாயிரம்  
ꢱꢵꢡ꣄ ꢱꢱꢬ꣄,साट्ससर्,ஸாத்ஸஸர்,seven thousand,ஏழாயிரம்  
ꢃꢜ꣄ ꢱꢱꢬ꣄,आट्ससर्,ஆட்ஸஸர்,eight thousand,எட்டாயிரம்  
ꢥꣁꢮ꣄ ꢱꢱꢬ꣄,ना॑व्ससर्,நொவ்ஸஸர்,nine thousand,ஒன்பதாயிரம்  
ꢣꢾꢱ꣄ ꢱꢱꢬ꣄,द॑स्ससर्,தெ3ஸ்ஸஸர்,ten thousand,பத்தாயிரம்  
ꢭꢾꢒ꣄ꢒꢸ,ल॑क्कु,லெக்கு,one lakh,இலட்சம்  
ꢱꣁꢮꢸ ꢱꢱꢬꢸ,सा॑वु ससरु,ஸொவுஸஸரு,one lakh,நூறாயிரம்  
ꢒꣂꢜꢶ,कोटि,கோடி,crore,கோடி  
ꢏꢠ꣄ꢜꢾ,आ॑ण्ट॑,ஒண்டெ,adjective form of one comes before consonant beginning nouns,ஒரு  
ꢏꢠ꣄ꢜꢾ,आ॑ण्ट॑,ஒண்டெ,adjective form of one comes before vowel beginning nouns,ஓர்  
ꢧꣀꢭꣁ,फैला॑,பை2லொ,first,முதலாவது  
ꢧꣀꢭꢵꢪ꣄,फैलाम्,பை2லாம்,first,முதலாம்  
ꢣꢶꢮ꣄ꢮꣁ,दिव्वा॑,தி3வ்வொ,second,இரண்டாம்  
ꢣꢶꢮꢫꣁ,दिवया॑,தி3வயொ,second,இரண்டாவது  
ꢢꢶꢥ꣄ꢱꢵ,थिन्सा,தி2ந்ஸா,third,மூன்றாம்  
ꢣꢶꢥ꣄ꢮꢫꣁ,दिन्वया॑,தி3ந்வயொ,third,மூன்றாவது  
ꢗꢬ꣄ꢭꣁ,चर्ला॑,சர்லொ,fourth,நான்காம்  
ꢗꢬ꣄ꢮꢫꣁ,चर्वया॑,சர்வயொ,fourth,நான்காவது  
ꢦꢮ꣄ꢛ꣄ꢗꣁ,पवञ्चो,பவ்ஞ்சொ,fifth,ஐந்தாம்  
ꢦꢮ꣄ꢛ꣄ꢗꣁꢫꣁ,पवञ्चा॑या॑,பவ்ஞ்சொயொ,fifth,ஐந்தாவது  
ꢱꣁꢮ꣄ꢮꣁ,सा॑व्वा॑,ஸொவ்வொ,sixth,ஆறாம்  
ꢱꣁꢮ꣄ꢮꢫꣁ,सा॑व्वया॑,ஸொவ்வயொ,sixth,ஆறாவது  
ꢱꢡ꣄ꢭꣁ,सत्ला॑,ஸத்லொ,seventh,ஏழாம்  
ꢱꢡ꣄ꢮꢫꣁ,सत्वया॑,ஸத்வயொ,seventh,ஏழாவது  
ꢂꢜ꣄ꢮ,अट्व,அட்வ,eighth,எட்டாம்  
ꢂꢜ꣄ꢮꢫꣁ,अट्वया॑,அட்வயொ,eighth,எட்டாவது  
ꢥꣁꢮ꣄ꢮ,ना॑व्व,நொவ்வ,nineth,ஒன்பதாம்  
ꢥꣁꢮ꣄ꢮꢫꣁ,ना॑व्वया॑,நொவ்வயொ,nineth,ஒன்பதாவது  
ꢣꢾꢱ꣄,द॑स,தெஸ்,tenth,பத்தாம்  
ꢣꢾꢱ꣄ꢮꢫꣁ,द॑स्वया॑,தெ3ஸ்வயொ,tenth,பத்தாவது  
