Unnamed: 4,Unnamed: 3,Unnamed: 2,7. Dress and Ornaments,Unnamed: 0
ꢒꢱ꣄ꢥꢶ,कस्नि,கஸ்நி,towel,துவர்த்து 
ꢦꢔꢶꢞꢶ,पगिडि,பகி3டி3,hat,தொப்பி 
ꢡꣃꢠꢜ꣄,तौणट,தௌணட்,big ear stud,தோடு 
ꢩꢹꢰꢠ,भूषण,பூ4ஷண,ornament,நகை 
ꢥꢶꢭꢣꢾꢫ꣄ꢞ,निलद॑य्ड,நிலதெ3ய்ட3,saphire,நீலக்கல் 
ꢦꢶꢪ꣄ꢨꢭꢪ꣄,पिम्बलम,பிம்ப3ளம்,forehead ornament,நெற்றிச்சுட்டி 
"ꢒꣃꢱ꣄, ꢒꣁꢮ꣄ꢯ꣄","कौस, का॑व्श्","கௌஸ், கொவ்ஶ்",silk,பட்டு 
ꢪꢬꢔꢡꢪ꣄ ,मरगतम्,மரக3தம்,emerald,பச்சைக்கல் 
ꢦꣁꢪ꣄ꢳꣁ,पा॑म्ळा॑,பொம்ளொ,coral,பவளம் 
ꢭꣁꢪ꣄ꢨꢞꢪ꣄,ला॑म्बडम,லொம்ப3ட3ம்,ear ornament,பாம்படம் 
ꢔꣁꢠꢪ꣄,गा॑ण्म्,கொ3ணம்,skirt (long),பாவாடை 
ꢱꣁꢳꣁ,सौळा॑,ஸெளளொ,sari,புடவை 
ꢨꢶꢭꢵꢒ꣄,बिलाक्,பி3லாக்,nose drops (ornament),புல்லாக்கு 
ꢦꢸꢰ꣄ꢦꢬꢵꢔꢪ꣄,पुश्परागम्,புஷ்பராக3ம்,topaz,புஷ்பராகம் 
ꢨꣀꢙꢪꢵ,बैजमा,பை3ஜமா,pyjamas,பைஜாமா 
ꢒꢸꢖ꣄ꢔꢸꢪ꣄,कुङगुम्,குங்கு3ம்,kumkum,பொட்டு 
ꢧꢖ꣄ꢔꢸꢬꣁ,फङगुरा॑,ப2ங்கு3ரொ,blanket,போர்வை 
ꢪꢬꢔꢡꢪ꣄,मरगतम्,மரக3தம்,emerald,மரகதம் 
ꢦꣃꢒꢳ꣄,पौकळ,பௌகள்,wooden slippers,மரச்செருப்பு 
ꢪꢵꢠꢶꢒ꣄ꢒꢪ꣄,माणिक्कम्,மாணிக்கம்,carbuncle,மாணிக்கம் 
"ꢃꢬꢪ꣄, ꢪꢵꢭꢾ","हारम्, माल॑","ஹாரம், மாலெ",garland,மாலை 
"ꢮꢶꢛ꣄ꢗꢸ, ꢦꢵꢛꢶꢪꢸꢣ꣄ꢣꢶ","विञचु, पाञिमुद्दि","விஞ்சு, பாஞிமுத்3தி3",toe ring,மிஞ்சி 
ꢤꣁꢮꢡ꣄,धा॑वत्,தொ4வத்,dhoti,முண்டு 
ꢪꣁꢡꢶ,मा॑ति,மொதி,pearl,முத்து 
"ꢪꢸꢒ꣄ꢬꣁ, ꢘꢵꢱ꣄ꢪꣁ","मुक्रा॑, छास्मा॑","முக்ரொ, சா2ஸ்மொ",spectacles,மூக்குக் கண்ணாடி 
ꢪꢸꢒ꣄ꢒꢸꢬ꣄,मुक्कुर्,முக்குர்,nose stud,மூக்குத்தி 
ꢪꢸꢣ꣄ꢣꢶ,मुद्दि,முத்3தி3,ring,மோதிரம் 
ꢭꣁꢭꢵꢒ꣄,ला॑लाक्,லொலாக்,ear ornament (for old woman),லோலக்கு 
ꢒꣀꢥ,कैन,கைந,bangle,வளை 
ꢒꣀꢥꣁ,कैना॑,கைநொ,bangle,வளையல் 
ꢤꣁꢮꢡ꣄,धा॑वत्,தொ4வத்,dhoti,வேட்டி 
ꢂꢬꢶꢡ꣄ꢯꢪ꣄,हरितशम्,ஹரித்ஶம்,turquoise,வைடூரியம் 
ꢚꢸꢖ꣄ꢒꢭ꣄,झुङकल्,ஜு2ங்கல்,ear drops,ஜிமிக்கி 
