ꢂꢒ꣄ꢒꢬꣁꢓꢳ꣄ꢳꢿ,अक्करा॑ खळ्ळे,அக்கரொ க2ள்ளே,get interested,அக்கறைகொள்  
ꢒꢿꢜ ꣄ꢩꢥ꣄ꢣꢶꢭꢿ,केट् भन्दिले,கேட் ப4ந்தி3லே,begirdle,கச்சைகட்டு  
ꢱꢸꢭ꣄ꢒꣁ ꢩꢥ꣄ꢣꢶ,सुल्का॑ भन्दि,ஸுல்கொ ப4ந்தி3,remit fee,கட்டணங்கட்டு  
ꢃꢙ꣄ꢛꣁ ꢣꢿ,आजञो दे,ஆஜ்ஞொ தே3,to issue an order,கட்டளைபிறப்பி   
ꢃꢙ꣄ꢛꣁꢣꢿ ꢡꢵꢫ꣄,आजञो ताय,ஆஜ்ஞொதாய்,command,கட்டளையிடு  
ꢨꢭꢮꢥ꣄ꢡꢸ ꢒꢿꢬ꣄,बलवन्तु केर्,ப3ல்வந்து கேர்,compel,கட்டாயப்படுத்து   
ꢂꢤꢶꢒꢵꢬꢸꢪ꣄ ꢬꢴꢵ,अधिकारुम र्हा,அதி4காரும் ரா:,be under control,கட்டுக்கடங்கு  
ꢥꢶꢫꢥ꣄ꢡ꣄ꢬꢠꣁꢒꢿꢬ꣄,नियन्त्रणा॑केर,நியந்த்ரணொகேர்,control,கட்டுப்படுத்து  
ꢒꢾꢜ꣄ꢜꢸ ꢡꢵꢫ꣄,केट्टु ताय,கெட்டுதாய்,bandage,கட்டுப்போடு  
ꢲꢾꢳ꣄ꢳꢶꢶ ꢙꢵ,ह॑ळ्ळि जा,ஹெள்ளி ஜா,kidnap,கடத்திச்செல்  
ꢒꢬ꣄ꢡꢮ꣄ ꢒꢿꢬ꣄,कर्तव केर,கர்தவ் கேர்,do the duty,கடமையாற்று  
ꢬꢷꢠ꣄ ꢦꣂꢜ꣄,रीण पोट,ரீண் போட்,Get indebted ,கடன்படு  
ꢬꢷꢠ꣄ ꢓꢵꢜ꣄,रीण खाट,ரீண்கா2ட்,borrow,கடன்வாங்கு  
ꢓꢾꢜꢶꢥ꣄ ꢒꢿꢬ꣄,खेटिन्केर्,கெ2டின் கேர்,harden,கடினமாக்கு  
"ꢂꢥꢸꢱꢬꢶꢭꢾ, ꢡꣁꢬꢶ ꢙꢵ",अनुसरिले/ता॑रि जा,அனுஸரிலே/தொரி ஜா,follow,கடைபிடி  
ꢔꢪ꣄ꢗꢶ ꢱꢾꢫ꣄ꢭꢿ,गम्चि स॑य्ले,க3ம்சி ஸெய்லே,Watch/ superintend,கண்காணி  
ꢣꣁꢳꣁ ꢪꢶꢱ꣄ꢒꢶ,दा॑ळा॑ मिस्कि,தொ3ளொ மிஸ்கி,wink,கண்சிமிட்டு  
ꢓꢠ꣄ꢞꢠꣁ ꢒꢿꢬ꣄,खण्डणा॑ केर्,க2ண்ட3ணொ கேர்,condemn,கண்டனம் செய்   
ꢣꢾꢒ꣄ꢒꢶ ꢤꢿꢬ꣄,द॑क्कि धेर्,தெ3க்கிதே4ர்,"discover, invent",கண்டுபிடி  
ꢣꣁꢳꢵꢪ꣄ꢦꢥꢶ ꢓꢵꢜ꣄,दा॑ळाम्पनि खाट,தொ3ளாம்பனி கா2ட்,shed tears,கண்ணீர்சொரி  
ꢣꣁꢳꣁꢲꣁꢬ꣄ ꢱꢾꢫ꣄ꢭꢿ,दा॑ळा॑होर स॑य्ले,தொ3ளொஹோர் ஸெய்லே,see,கண்ணுறு  
ꢭꢴꢾꢒ꣄ꢒꣁ ꢒꢿꢬ꣄,ल्ह॑क्को केर,லெ:க்கொ கேர்,"enumerate, to account",கணக்கிடு  
ꢒꢵꢪ꣄ ꢲꢶꢨ꣄ꢨꢵꢜ꣄,काम हिब्बाट,காம் ஹிப்3பா3ட்,lock-out,கதவடை  
ꢒꢾꢬꢥ꣄ ꢒꢭꢥꢵꢡꣁ ꢬꢴꢵ,क॑रन कलनाता॑ र्हा,கெரன் களனாதொ ரா:,Be at a loss,கதிகலங்கு  
ꢕꢾꢬ꣄ꢮꢵꢬ꣄ ꢬꢴꢵ,घ॑र्वार् र्हा,கெ4ர்வார் ரா:,conceive,கர்ப்பம்தரி  
ꢔꢬ꣄ꢩꢸ ꢙꢵꢮꢵꢜ꣄,गर्भु जवाट,க3ர்பு4 ஜவாட்,abort,கருச்சிதைவு செய்   
ꢂꢩꢶꢦ꣄ꢬꢵꢫꢪ꣄ ꢱꢖ꣄ꢔꢶ,अभिप्रायम्सङ्गि,அபி4ப்ராய்ஸங்கி3,opine,கருத்துரை  
ꢒꢾꢜ꣄ꢜꢣꢞꢱ꣄ꢡꢶ ꢱꣁ ꢙꢵ,क॑ट्टदडास्ति सा॑ जा,கெட்டத3டா3ஸ்திஸொ ஜா,find no bound,கரைபுரள்  
ꢩ꣄ꢬꢪꣁ ꢲꣂ,भ्रमो हो,ப்4ரமொ ஹோ,Be confounded/ be confused,கலக்கமடை  
"ꢒꢭꢲꣁꢒꢿꢬ꣄, ꢂꢬꢵꢙꢒꢡꣁ ꢒꢿꢬ꣄","कलहा॑ केर, अराजकता॑ केर",கலஹொ கேர்/ அராஜகதொ கேர்,"riot, rebel",கலகம் செய்   
ꢒꢭꢲꣁ ꢒꢾꢬꢵꢜ꣄,कलहा॑ क॑राट,கலஹொ கெராட்,Plunge into riot ,கலவரப்படுத்து   
ꢪꣁꢥ꣄ꢥꢸ ꢒꢮ꣄ꢭꢫꢶ ꢬꢴꢵ,मोन्नु कव्लयि र्हा,மொன்னு கவ்லயி ரா:,Get agitated,கலவரமடை  
ꢒꢾꢳ꣄ꢳꢸ ꢏꢜ꣄ꢗꢶ,क॑ळ्ळु आ॑ट्चि,கெள்ளு ஒட்சி,brew,கள்ளிறக்கு  
ꢒꢭ꣄ꢦꢥꣁ ꢒꢾꢬ꣄,कल्पना॑ केर,கல்பனொகேர்,imagine,கற்பனை செய்   
"ꢥꢿꢪꣁ ꢥꢵꢯ꣄꣄, ꢒꢵꢜ꣄ ꢦꣁꢞꢜ꣄","न॑मा॑ नाश, काट पा॑डाट",நேமொ நாஶ் /காட் பொடா3ட்,Corrupt/ stain,கறைப்படுத்து  
ꢱꣁꢦ꣄ꢥꣁ ꢣꢾꢒ꣄ꢒꢶ,सा॑प्ना॑ देक्कि,ஸொப்னொ தெ3க்கி,dream,கனவுகாண்  
ꢣꢬ꣄ꢯꢥꣁ ꢣꢿ,दर्शना॑ दे,த3ர்ஶனொ தே3,appear,காட்சியளி  
"ꢣꢾꢒ꣄ꢒꢞꢶ ꢣꢿ, ꢪꣂꢱ꣄ ꢒꢿꢬ꣄, ꢣꢸꢬꣂꢲ꣄ ꢒꢿꢬ꣄","त॑क्कडि दे, मोस केर, दुरोह केर",தெ3க்கடி3தே3/ மோஸ் கேர்/ து3ரோஹ் கேர்,betray,காட்டிக்கொடு  
ꢬꢒ꣄ꢒꢶ ꢬꢴꢵ,र:क्कि र्हा,ர:க்கி ரா:,wait,காத்திரு  
ꢦ꣄ꢬꢿꢮ꣄ ꢦꣁꢜ꣄,प्रेव पोट,ப்ரேவ்போட்,Fall in love,காதல்கொள்  
ꢒꢵꢥꢸꢪ꣄ ꢦꣂꢜ꣄,कानुम पोट,கானும் போட்,hear,காதில்விழு  
ꢒꢵꢥ꣄ ꢲꣂꢬ꣄ ꢎꢒꢶ,कान होर ऐकि,கான் ஹோர் ஐகி,listen,காதுகொடு  
ꢕꢵꢪ꣄ ꢦꣂꢜ꣄,घाम्पोट,கா4ம் போட்,get wounded,காயம்படு  
ꢕꢵꢪ꣄ ꢦꣁꢞꢜ꣄,घाम्पा॑डाट,கா4ம் பொடா3ட்,wound,காயப்படுத்து  
"ꢒꢵꢭ꣄ ꢲꣁ, ꢣꢾꢮ꣄ꢒꢫꢶ ꢙꢵ","काल हो, द॑व्कयि जा",கால் ஹோ/ தெ3வ்கயி ஜா,expire,காலமாகு  
ꢒꢵꢨꢥ꣄ꢣꢸ ꢒꢿꢬ꣄,काबन्दु केर,காப3ந்து3 கேர்,guard,காவல்செய்  
"ꢩꢷꢡꢶꢒꢿꢬ꣄, ꢤꢵꢒ꣄ ꢂꢮꢵꢜ꣄","भीतिकेर, धाक अवाट",பீ4திகேர்/ தா4க் அவாட்,scare,கிலியூட்டு  
ꢱꢛ꣄ꢗꢭꢥꣁ ꢲꣂ,सञ꣄चलना॑ हो,ஸஞ்சலனொ ஹோ,get stimulated (int.),கிளர்ச்சியடை  
ꢱꢛ꣄ꢗꢭꢥꣁ ꢒꢿꢬ꣄,सञ꣄चलना॑ केर,ஸஞ்சலனொ கேர்,stimulate (tr.),கிளர்ச்சியூட்டு  
"ꢃꢙ꣄ꢛꣁ ꢦꢵꢭꢥꣁ ꢒꢿꢬ꣄, ꢃꢙ꣄ꢛꣁꢤꢵꢥꢸ ꢗꢵꢭ꣄, ꢂꢤꢶꢒꢵꢬ꣄ ꢤꢵꢥꢸ ꢗꢭ꣄ꢭꢾ","आजञो पालना॑ केर, आजञोधानु चाल, अधिकार धानु चल्ले",ஆஜ்ஞொ பாலனொ கேர்/ ஆஜ்ஞொதா4னு சால்/ அதி4கார் தா4னு சல்லே,obey,கீழ்ப்படி  
ꢓꢵꢭ꣄ ꢬꢴꢮꢵꢜ꣄,खाल्र् र्हवाट,கா2ல் ர:வாட்,Subjugate,கீழ்ப்படுத்து  
ꢪꣁꢥ꣄ꢥꢸꢪ꣄ ꢨꢷꢱ꣄,मा॑न्नुम बीस,மொன்னும் பீ3ஸ்,Inhabit,குடிகொள்  
"ꢒꢵꢦ꣄ ꢬꢴꢮꢵꢜ꣄, ꢮꢵꢱꢱ꣄ꢢꢭꣁ ꢥꢶꢬ꣄ꢠꢫꣁ ꢒꢿꢬ꣄","काप र्हवाट, वासस्थला॑ निर्णया॑ केर",காப் ர:வாட்/ வாஸஸ்த2லொ நிர்ணயொ கேர்,Form a settlement,குடியமர்த்து  
ꢮꢵꢱ꣄ꢒꢿꢬ꣄,वास्केर,வாஸ்கேர்,inhabit,குடியிரு  
ꢮꢵꢱ꣄ ꢒꢾꢬꢵꢜ꣄,वास क॑राट,வாஸ் கெராட்,populate,குடியேற்று  
"ꢮꢵꢱ꣄ ꢲꣁ, ꢒꢵꢦ꣄ ꢙꢵ","वास हो, काप जा",வாஸ் ஹோ/ காப் ஜா,migrate,குடியேறு  
ꢨꢬꣁ ꢒꢿꢬ꣄,बरा॑ केर,ப3ரொ கேர்,heal,குணப்படுத்து  
ꢦꢵꢄ ꢱꢦꣂꢜ꣄ ,पाइ~ पोट,பாஇ~போட்,worship,கும்பிடு  
ꢭꢸꢪ꣄ꢦ꣄ꢭꣁ ꢲꣁ,लुम्प्ला॑ हो,லும்ப்லொஹோ,be confused,குழப்பமடை  
ꢭꢸꢪ꣄ꢦ꣄ꢭꣁꢒꢿꢬ꣄,लुम्प्ला॑केर,லும்ப்லொ கேர்,"embarrass, confuse (tr.)",குழப்பமூட்டு  
ꢦꣁꢭ꣄ꢭꢪ꣄ ꢒꣁꢮ꣄ꢬꢶ,पा॑ल्लम्का॑व्रि,பொல்லம்கொவ்ரி,defraud,குழிபறி  
"ꢲꢹꢥ꣄ꢭꢔꢳ꣄ꢳꢿ, ꢲꢷꢪ꣄ ꢙꢮꢞ꣄ꢳꢿ","हून्लगळ्ळे, हीम जव्ड्ळे",ஹூன்லக3ள்ளே/ஹீம் ஜவட்3ளே,bask,குளிர்காய்  
ꢗꢹꢒ꣄ ꢱꢖ꣄ꢔꢶ,चूक सङ्गि,சூக் ஸங்கி3,accuse,குற்றம்கூறு  
ꢗꢹꢒ꣄ ꢒꢿꢬ꣄,चूक केर,சூக் கேர்,do a mistake,குற்றம்புரி  
ꢦꣁꢱ꣄ꢪꢾ ꢱꢖ꣄ꢔꢶ, पा॑स्म॑ सङ्गि,பொஸ்மெ ஸங்கி3,foretell,குறிசொல்  
ꢲꢾꢞꢶ ꢱꢖ꣄ꢔꢶ,ह॑डि सङ्गि,ஹெடி3ஸங்கி3,"denote, mention",குறிப்பிடு  
ꢗꢶꢥ꣄ꢲꢸ ꢕꢵꢭ꣄,चिनहु घाल,சின்ஹு கா4ல்,mark,குறியிடு  
"ꢭꢾꢒ꣄ꢒꢸ ꢢꣂꢮ꣄, ꢤ꣄ꢫꢿꢫꢸ ꢢꣁꢮ꣄ꢭꢿ","ल॑क्कु थोव, ध्येयु था॑व्ले",லெக்கு தோ2வ்/ த்4யேயு தொ2வ்லே,aim at,குறிவை  
"ꢭꢵꢙ꣄ꢭꢔꢳ꣄ꢳꢿ, ꢭꢵꢙ꣄ ꢦꣁꢥ꣄ꢣꢶ","लाज्ल गळ्ळे, लाज पा॑न्दि",லாஜ்ல க3ள்ளே/ லாஜ் பொந்தி3,feel shy,கூச்சப்படு  
ꢬꢾꢗ꣄ꢗꣁ ꢪꢵꢜ꣄,र॑च्चा॑ माट,ரெச்சொமாட்,shout,கூச்சலிடு  
ꢪꢸꢔꢵꢪ꣄ ꢡꢵꢫ꣄,मुगाम्ताय्,முகா3ம்தாய்,camp,கூடாரமடி  
ꢮꢿꢥ꣄ꢒꢿꢬ꣄,वेन्केर्,வேன் கேர்,enhance,கூடுதலாக்கு  
ꢬꢸꢣ꣄ꢬꢡꢵꢠ꣄ꢜꢮ꣄ ꢓꢵꢳ꣄,रुद्रताण्टव खाळ,ருத்3ரதாண்ட3வ் கா2ள்,dance in anger,கூத்தாடு  
ꢗꢹꢔ꣄ ꢕꢵꢭ꣄,कूग घाल,கூக்3கா4ல்,shout,கூப்பாடுபோடு  
ꢒꢾꢛ꣄ꢙꢶꢪꢵꢫ꣄,क॑ञ्जिमाय्,கெஞ்ஜிமாய்,entreat,கெஞ்சிக்கேள்  
ꢓꢾꢭ꣄ꢭꢭ꣄ꢒꢿꢬ꣄,ख॑ल्लल्केर्,கெ2ல்லல்கேர்,jest,கேலி செய்   
ꢂꢮ꣄ꢪꢵꢥ꣄ ꢦꣂꢜ꣄,अव्मान्पोट्,அவ்மான்போட்,be mocked,கேவலப்படு  
ꢎꢒꢶꢥ ꢶꢦꣂꢜ꣄,ऐकिनि पोट्,ஐகினி போட்,have heard of,கேள்விப்படு  
ꢲꢵꢡꢸꢪ꣄ ꢓꢳ꣄ꢳꢾ,हातुम्खळ्ळे,ஹாதும் க2ள்ளே,take in hand,கைக்கொள்  
ꢲꢵꢡ꣄ ꢲꢭ꣄ꢮꢶ,हात हल्वि,ஹாத் ஹல்வி,shake hand,கைக்குலுக்கு  
ꢣꢷꢲꢵꢡ꣄ ꢗꢾꢬ꣄ꢗꢶꢭꢶ ꢂꢛ꣄ꢙꢭꢶ ꢒꢿꢬ꣄,दीहात च॑र्चिलि अञ्जलि केर,தீ3ஹாத்செர்சிலி அஞ்ஜலி கேர்,greet (fold hand),கைகுவி  
ꢱꢶꢣ꣄ꢤꢶ ꢲꣂ,सिद्धि हो,ஸித்3தி4 ஹோ,to be fulfilled,கைகூடு  
ꢲꢵꢡ꣄ ꢡꢾꢜ꣄ꢜꢶ,हात्त॑ट्टि,ஹாத்தெட்டி,clap,கைகொட்டு  
"ꢒꣀꢣꢸꢒꢾꢬ꣄, ꢨꢥ꣄ꢣꢶ ꢒꢿꢬ꣄","कैदुकेर, बन्दिकेर",கைது3கேர்/ ப3ந்தி3 கேர்,arrest,கைது செய்   
"ꢦꢵꢠꢶꢔ꣄ꢬꢲꢥꣁ ꢒꢾꢬ꣄ꢭꢿ, ꢲꣁꢬꢵꢜ꣄ ꢒꢾꢬ꣄ꢭꢿ","पाणिगरहना॑ क॑र्ले, हा॑राट क॑र्ले",பாணிக்3ரஹனொ கெர்லே/ ஹொராட் கெர்லே, marry,கைப்பற்று  
ꢲꢵꢡ꣄ ꢢꣂꢮ꣄,हात्थोव्,ஹாத்தோ2வ்,misappropriate,கையாடு  
ꢗꢭ꣄ꢡꣁ ꢒꢿꢬ꣄,चल्त्ता॑ केर,சல்தொ கேர்,handle,கையாள்  
ꢱꣁꢞ꣄ꢞꢶ ꢙꢵ,सा॑ड्डिजा,ஸொட்3டி3ஜா,leave,கைவிடு  
ꢤꣁꢪ꣄ꢨꢸꢭꢵꢫ꣄ ꢡꢿ,धा॑म्बुलाय्द॑,தொ4ம்பு3ளாய்தே3,yawn,கொட்டாவிவிடு  
"ꢣꢸꢬꢵꢗꢬꢠꣁ ꢒꢿꢬ꣄, ꢲꢶꢪ꣄ꢱꣁ ꢒꢿꢬ꣄","दुराचरणा॑ केर, हिम्सा॑ केर",து3ராசரணொ கேர்/ ஹிம்ஸொ கேர்,ill treat,கொடுமைப்படுத்து  
ꢬꢾꢔꢡ꣄ ꢓꢾꢞ꣄,र॑गत खेड,ரெக3த்கே2ட்3,boil,கொதிப்புறு  
ꢙꢷꢮ꣄ ꢣꢹꢱ꣄,जिव्दूस्,ஜீவ் தூ3ஸ்,murder,கொலை செய்  
"ꢭꢹꢜ꣄ꢪꢵꢬ꣄ ꢒꢿꢬ꣄, ꢱꢹꢜ꣄ ꢲꢵꢥ꣄","लूट्मार केर, सूट हान",லூட்மார் கேர்/ ஸூட் ஹான்,Rob/ plunder,கொள்ளையடி  
ꢕꢾꢥꢪ꣄ ꢦꣁꢥ꣄ꢣꢶ,घ॑नम पा॑न्दि,கெ4னம் பொந்தி3,have prestige,கௌரவம்கொள்  
ꢱꢜ꣄ꢜꢪ꣄ ꢡꢵ,सट्टाम्ताय्,ஸட்டம்தாய்,enframe,சட்டம்போடு  
ꢚꢾꢞꣁ ꢪꢭ꣄ꢭꢿ,झ॑डा॑ मल्ले,ஜெ2டொ3 மல்லே,quarrel,சண்டையிடு  
"ꢔꢹꢟꣁ ꢒꢿꢬ꣄, ꢱꢡꢶ ꢒꢿꢬ꣄","गूढा॑ केर्,सति केर",கூ3டொ4 கேர்/ ஸதி கேர்,Plot against,சதி செய்   
ꢱꣁꢥ꣄ꢡꣂꢰ꣄ ꢦꣂꢜ꣄,सोन्तोष पा॑ट ,ஸொந்தோஷ் போட்,enjoy,சந்தோஷப்படு  
ꢱꢪꣁ ꢒꢿꢬ꣄,समा॑ केर,ஸமொகேர்,equalize,சமமாக்கு  
ꢱꢪꢤꢵꢥ꣄ ꢒꢿꢬ꣄,समधान केर,ஸமதா4ன் கேர்,compromise,சமாதானப்படுத்து  
ꢲꢥ꣄ꢣꢶ,हन्दि,ஹந்தி3,cook,சமையல் செய்   
ꢱꢬꢠꢵꢔꢣꢶꢦꣁꢥ꣄ꢣꢶ,सरणागतिपा॑न्दि,ஸரணாக3திபொந்தி3,surrender,சரணடை  
ꢭꢾꢒ꣄ꢒ ꢱꣁꢬ꣄ꢒ꣄ꢒꣁ ꢒꢿꢬ꣄,ल्ह॑क्कस॑र्क्का॑ केर्,லெ:க்கஸெர்கொ கேர்,tally,சரிக்கட்டு  
ꢱꢾꢬ꣄ꢒ꣄ꢒ ꢒꢿꢬ꣄,स॑र्क्क केर्,ஸெர்ககேர்,make correction,சரிப்படுத்து  
ꢗꢾꢭ꣄ꢮꣁ ꢒꢿꢬ꣄,च॑ल्वा॑ केर्,செல்வொகேர்,wash,சலவை செய்  
ꢪꣁꢬ꣄ꢔ꣄ꢫꢵꢡ꣄ ꢒꢳꢵꢜ꣄,मोर्ग्यात कळाट,மொர்க்3யாத் களாட்,Greet/ salute,சலாமிடு  
ꢱꢾꢭ꣄ꢒꢾ ꢣꢾꢒ꣄ꢒꢵꢜ꣄,  स॑ल्क॑ देक्काट्,ஸெல்கெ தெ3க்காட்,give concession,சலுகைகாட்டு  
ꢦꢾꢫꢶꢬ꣄ ꢙꢸꢥ꣄ꢥꢶ,प॑यिर जुन्नि,பெயிர் ஜுன்னி,to cultivate,சாகுபடி செய்   
"ꢦ꣄ꢬꢪꢵꢠ ꣄ꢣꢾ, ꢦ꣄ꢬꢪꢵꢠ꣄ ꢒꢿꢬ꣄","प्रमाण्दे, प्रमाण केर",ப்ரமாண்தே3 / ப்ரமாண் கேர்,certify,சான்றளி  
ꢨꢸꢱ꣄ꢒꣁ ꢒꢿꢬ꣄,बुस्का॑ केर्,பு3ஸ்கொகேர்,entangle,சிக்கலாக்கு  
ꢱꢪ꣄ꢜꢵꢜ꣄,सम्टाट्,ஸம்டாட்,embrangle,சிக்கவை  
ꢱꢾꢜ꣄ꢜꢸꢒꢥ꣄ ꢬꢴꢵ,स॑ट्टुकन र्हा:,ஸொட்டுகன் ரா:,economize,சிக்கனைமாயிரு  
ꢮꢿꢥ꣄ ꢱꢶꢳ꣄ꢳ ꢦꣂꢜ꣄,वेन्सिळ्ळ पोट्,வேன்ஸிள்ளபோட்,be chill,சில்லிடு  
ꢓ꣄ꢫꢵꢡꢶ ꢦꣁꢥ꣄ꢣꢶ,ख्याति पा॑न्दि,க்2யாதிபொந்தி3,get fame,சிறப்புறு  
ꢪꢸꢡ꣄ꢡꢶ,मुत्ति,முத்தி,pass urine,சிறுநீர்கழி  
ꢂꢭꢖ꣄ꢔꣂꢭꢪ꣄ ꢒꢿꢬ꣄,अलङ्गोलम केर,அலங்கோ3லம் கேர்,disorder,சீர்குலை  
ꢔꢸꢠ꣄ꢠꢸ ꢥꢴꢷꢡ꣄ꢡꣁ ꢬꢵ,गुण्णु न्हीत्तो रा,கு3ண்ணு நீ:த்தொ ரா:,degenerate,சீர்கெடு  
ꢱꢹꢤꢵꢬ꣄ ꢒꢾꢬ꣄,सुधार्केर्,ஸுதா4ர்கேர்,reform,சீர்திருத்து  
ꢥꢶꢫꢪꣁ ꢥꢵꢯ꣄,नियमा॑ नाश, நியமொ நாஶ்,Make disorder / degenerate,சீரழி  
ꢪꢶꢜ꣄ꢜꢶ ꢱꣂꢜ꣄,मिट्टिसोट्,மிட்டிஸோட்,flip,சுண்டிவிடு  
ꢗꢸꢜ꣄ꢜꢸ ꢡꢒꢶ ꢤꢿꢬ꣄,चुट्टु तकि धेर्,சுட்டு தகி3 தே4ர்,Besiege,சுற்றிவளை  
ꢲꢸꢥ꣄ꢥ ꢒꢿꢬ꣄ ,हुन्न केर्,ஹுன்னொகேர்,Heatup,சூடாக்கு  
ꢲꢸꢥ꣄ꢥ ꢲꣁ,हुन्नहो,ஹுன்னொ ஹோ,become hot,சூடேறு  
"ꢲꢸꢦꢵꢮ꣄ꢒꢿꢬ꣄, ꢱꢞ꣄ꢫꢥ꣄ꢡ꣄ꢬꢸ ꢒꢿꢬ꣄","हुपाव्केर, सड्यन्त्रु केर",ஹுபாவ்கேர்/ ஸட்3யந்த்ரு கேர்,intrigue,சூழ்ச்சி செய்   
ꢱꢹꢬꢾ ꢡꢵꢫ꣄,सुरेताय्,ஸூரெதாய்,forage,சூறையாடு  
"ꢪꢬꢵꢪꢡ꣄ꢡꢸ ꢒꢿꢬ꣄, ꢥꢮꢷꢒꢬꢠꣁ ꢒꢿꢬ꣄","मरामत्तु केर, नवीकरणा॑ केर",மராமத்துகேர்/ நவீகரணொ கேர்,repair,செப்பமிடு  
ꢱꢾꢬ꣄ꢒ ꢒꢿꢬ꣄,स॑र्क केर,ஸெர்க கேர்,mend,செப்பனிடு  
"ꢒꢵꢪꢸꢪ꣄ ꢲꢸꢡ꣄ꢡꢶꢬ꣄, ꢒꢵꢪꢸꢪ꣄ ꢭꢵꢔ꣄","कामुम हुत्तिर, कामुम लाग",காமும் ஹுத்திர்/ காமும் லாக்3,act,செயல்படு  
ꢮꢵꢣꢪꢸꢪ꣄ ꢦꣁꢞꢜ꣄,वादमुम पा॑डट,வாத3மும் பொடா3ட்,paralyse,செயலறச்செய்  
ꢗꢭ꣄ꢡ ꢒꢿꢬ꣄,चल्त केर्,சல்தகேர்,implement,செயற்படுத்து  
"ꢦ꣄ꢬꢩꢵꢮ꣄ ꢥꢴꢷꢡ꣄ꢡ ꢲꣁ, ꢦ꣄ꢬꢩꢵꢮ꣄ ꢙꢮꢞ꣄ꢳꢾ","प्रभाव न्हीत्त हो, प्रभाव जवळे",ப்ரபா4வ் நீ:த்த ஹோ/ ப்ரபா4வ் ஜவட்3ளே,lose influence,செல்வாக்கு இழ   
ꢱꣀꢒꢥꣁ ꢒꢿꢬ꣄,सैकना॑ केर,ஸைகனொ கேர்,give signal,சைசகைக் காட்டு   
ꢩꢵꢰꢠꣁ ꢒꢿꢬ꣄,भाषणा॑ केर,பா4ஷணொகேர்,give talk/lecture,சொற்பொழிவாற்று  
ꢱꣂꢤꢥꣁ ꢒꢿꢬ꣄,सोधना॑ केर,ஸோத4னொகேர்,test,சோதனை செய்   
ꢭꣂꢭ꣄ ꢦꣁꢞꢶ ꢲꢶꢠ꣄ꢞꢶ,लोल्पा॑डि हिण्डि,லோல் பொடி3 ஹிண்டி3,loiter,சோம்பித்திரி  
ꢯꢷꢥ꣄ ꢦꣁꢥ꣄ꢣꢶ,शीन पा॑न्दि,ஶீன் பொந்தி3,get tired,சோர்வடை  
ꢒꢬ꣄ꢡꢮ꣄ ꢱꣂꢜ꣄,कर्तव सोट,கர்தவ் ஸோட்,shirk,தட்டிக்கழி  
ꢱꢪꢣꢭꢪ꣄ ꢒꢿꢬ꣄,समदलम केर,ஸமத3ளம் கேர்,flatten,தட்டையாக்கு  
ꢡꢾꢜ꣄ꢜꢸ ꢒꢶꢜ꣄ꢜꢶ ꢙꢵ,तेट्टु किट्टि जा,தெட்டுகிட்டி ஜா,falter,தடுமாறு  
ꢥꢶꢬꣂꢤ꣄ ꢒꢿꢬ꣄,निरोध केर, நிரோத்4 கேர்,impede,தடை செய்   
ꢣꢠ꣄ꢜꢥꣁ ꢒꢿꢬ꣄,दण्टना॑ केर,த3ண்டனொ கேர்,punish,தண்டனைவிதி  
ꢭꢴꢾꢒ꣄ꢒꣁ ꢱꢾꢬ꣄ꢒꣁ ꢱꢵ,ल्ह॑क्का॑ स॑र्का॑ सा,லெ:க்கொ ஸெர்கொ ஸா,audit,தணிக்கை செய்   
ꢡꣁꢪ꣄ꢗꢶ ꢙꢵꢱ꣄ꢡꢶꢱꣁ ꢒꢿꢬ꣄,ता॑म्चि जास्तिसा॑ केर,தொம்சி ஜாஸ்திஸொ கேர்,Let escape,தப்பவிடு  
ꢡꣁꢪ꣄ꢗꢶ ꢙꢵ,ता॑म्चि जा,தொம்சி ஜா,escape,தப்பிச்செல்  
ꢦꢱ꣄ꢡꣁꢒ꣄ꢒꢶ ꢲꢶꢨ꣄ꢨꢶ,पस्ता॑क्कि हिब्बि,பஸ்தொக்கி ஹிப்3பி3,linger,தயங்கிநில்  
ꢱ꣄ꢡꢬꣁ ꢥꢶꢬ꣄ꢠꢫꣁ ꢒꢿꢬ꣄,स्तरा॑ निर्णया॑ केर,ஸ்தரொ  நிர்ணயொ கேர்,standardise,தரப்படுத்து  
ꢭꢸꢒ꣄ꢒꢶ ꢬꢴꢵ,लुक्कि र्हा,லுக்கி ரா:,abscond,தலைமறைவாகு  
ꢂꢔ꣄ꢬꢵꢱꢥꣁ ꢓꢳ꣄ꢳꢿ,अग्रासना॑ खळ्ळे,அக்3ராஸனொ க2ள்ளே,preside,தலைமைதாங்கு  
ꢂꢔ꣄ꢬꢦꢥ꣄ ꢮꢮꢶꢭꢿ,अग्रपन वविले,அக்3ரபன் வவிலே,preside,தலைமைவகி  
ꢣꣁꢱ꣄ꢒꣁ ꢲꢭ꣄ꢮꢶ,दा॑स्का॑ हल्वि,தொ3ஸ்கொ ஹல்வி,nod,தலையசை  
ꢣꣁꢱ꣄ꢒꣁ ꢣꢿ,दा॑स्का॑ दे, தொ3ஸ்கொ தே3,interfere,தலையீடு  
ꢣꣁꢱ꣄ꢒꣁ ꢥꢪ꣄ꢭꢿ,दा॑स्का॑ नम्ले,தொ3ஸ்கொநம்லே,bow head,தலைவணங்கு  
