ꢮꢿꢳ꣄꣄,वेळ,வேள்,vel',veL,vel̤,ʋeːɭ,time,நேரம்  
ꢒꢵꢭ꣄,काल्,கால்,kaal,kAl,kāl,kɑːl,yesterday,நேற்று  
ꢣꢷꢱ꣄,दीस्,தீ3ஸ்,dees,dIs,dīs,d̪iːs̪,daytime,பகல்  
ꢤꢸꢧꢵꢬꢶ,धुफारि,து4பா2ரி,dhuphaari,dhuphAri,dhuphāri,d̪ʰupʰɑːɾɪ,"Afternoon, noon","பிற்பகல், மத்தியானம்    "
ꢂꢜ꣄ꢜꢵꢱ꣄,अट्टाय्,அட்டாஸ்,at't'aas,aTTAs,aṭṭās,əʈʈɑːs̪,"Afternoon, noon","பிற்பகல், மத்தியானம்    "
ꢂꢜ꣄ꢜꢵꢱ꣄,अट्टाय्,,at't'aas,aTTAs,aṭṭās,əʈʈɑːs̪,"Afternoon, noon","பிற்பகல், மத்தியானம்    "
ꢕꢾꢞꢶ,घ॑डि,கெ4டி3,ghe'd'i,ghEDi,ghĕḍi,gʰeɖɪ,hour,மணி  
ꢮꢾꢳ꣄꣄,वेळ,வேள்,ve'l',vEL,vĕl̤,ʋeɭ,hour,மணி  
ꢥꢶꢪꢸꢱ꣄ ,निमुस,நிமுஸ்,nimus,nimus,nimus,n̪ɪmus̪,minute,மணித்துளி  
ꢱꣁꢥ꣄ꢣꣁ,सा॑न्दा॑,ஸொந்தொ3,so'ndo',sOndO,sŏndŏ,s̪on̪d̪o,next day,மறுநாள்  
ꢣꢸꢱꢸꢬꢥ꣄ꢣꢶ,दुसुरन्दि,து3ஸுரந்தி3,dusurandi,dusurandi,dusurandi,d̪us̪uɾən̪d̪ɪ,next day,மறுநாள்  
ꢣꢸꢱ꣄ꢬꢥ꣄ꢣꢶ,दुस्रन्दि,து3ஸ்ரந்தி3,dusrandi,dusrandi,dusrandi,d̪us̪ɾən̪d̪ɪ,next day,மறுநாள்  
ꢪꢴꢜꣁ,म्हटा॑,ம:டொ,mhat'o',mhaTO,mhaṭŏ,mɦəʈo,month,மாதம்  
ꢮꢷꢳ꣄ꢜꣁ,वळ्टा॑,வீள்டொ,veel't'o',vILTO,vīl̤ṭŏ,ʋiːɭʈo,evening,மாலை  
ꢦꣁꢬꢪ꣄,पा॑रम्,பொரம்,po'ram,pOram,pŏram,poɾəm,day before yesterday,முந்தாநாள்  
ꢧꣀꢭꢣꢷꢱ꣄,फैलदीस्,பை2லதீ3ஸ்,phailadees,phailadIs,phailadīs,pʰəɪləd̪iːs̪,forenoon,முற்பகல்  
ꢏꢬ꣄ꢱꢸ,आ॑र्सु,ஒர்ஸு,o'rsu,Orsu,ŏrsu,oɾs̪u,year,வருடம்  
ꢮꢵꢬ꣄,वार्,வார்,vaar,vAr,vār,ʋɑːɾ,week,வாரம் 
ꢧꢭ꣄ꢡꢶꢧꢵꢬ꣄,फलतिफार,ப2ல்திபா2ர்,phaltiphaar,phaltiphAr,phaltiphār,pʰəlt̪ɪpʰɑːɾ,dawn,விடிகாலை  
ꢧꣀꢭꢧꢵꢬ꣄,फैलपार,பை2லபா2ர்,phailaphaar,phailaphAr,phailaphār,pʰəɪləpʰɑːɾ,dawn,விடிகாலை  
ꢱꣁꢞꢒ ꣄ꢕꢾꢞꢶ,सा॑डक्घ॑डि,ஸொட3க் கெ4டி3,so'd'aka ghe'd'i,sODaka ghEDi,sŏḍaka ghĕḍi,s̪oɖəkə gʰeɖɪ,second,வினாடி  
ꢫꢸꢒꢪ꣄,युकम्,யுக3ம்,yukam,yukam,yukam,jukəm,"era, age",யுகம்  
ꢂꢫ꣄ꢡ꣄ꢮꢵꢬ꣄,अय्त्वार्,அய்த்வார்,aytvaar,aytvAr,aytvār,əjt̪ʋɑːɾ,sunday,ஞாயிற்றுக் கிழமை   
ꢱꣁꢪ꣄ꢮꢵꢬ꣄,सा॑म्वार्,ஸொம்வார்,so'mvaar,sOmvAr,sŏmvār,s̪omʋɑːɾ,monday,திங்கள் கிழமை   
ꢪꢖ꣄ꢔꢳ꣄ꢮꢵꢬ꣄,मङगळवार्,மங்கள்வார்,mangal'vaar,maGgaLvAr,maṅgal̤vār,məŋgəɭʋɑːɾ,tuesday,செவ்வாய்க் கிழமை   
ꢨꢸꢤꢮꢵꢬ꣄ ,बुधवार्,பு3த4வார்,budhavaar,budhavAr,budhavār,bud̪ʰəʋɑːɾ,wednesday,புதன் கிழமை   
ꢨ꣄ꢬꢸꢲꢱ꣄ꢡꢮꢵꢬ꣄,ब्रुहस्तवार्,ப்3ருஹஸ்தவார்,bruhastavaar,bruhastavAr,bruhastavār,bɾuɦəs̪t̪əʋɑːɾ,thursday,வியாழக் கிழமை   
ꢱꢸꢒ꣄ꢬꢮꢵꢬ꣄,सुक्रवार्,ஸூக்ரவார்,sukravaar,sukravAr,sukravār,s̪ukɾəʋɑːɾ,friday,வெள்ளிக் கிழமை   
ꢱꢾꢥꢶꢮꢵꢬ꣄,स॑निवार्,ஸெனிவார்,se'nivaar,sEnivAr,sĕnivār,s̪en̪ɪʋɑːɾ,saturday,சனிக் கிழமை   
