ꢂꢱ꣄ꢡꢪꢥꣁ,अस्तमना॑,அஸ்தமனொ,Sun setting,அஸ்தமனம்  
ꢬꢸꢡꢸꢦꣁꢮ꣄ꢱ꣄,रुतुपा॑व्स,ருதுபொவ்ஸ்,monsoon,பருவ மழை   
ꢪꣁꢖ꣄ꢗꢸ,मा॑ञ्चु,மொஞ்சு,mist,பனி  
ꢲꢶꢪꢵ ꢔꢾꢞ꣄ꢞꣁ,हिमा ग॑ड्डा॑,ஹிமா கெ3ட்3டொ3,snow,பனிக்கட்டி  
ꢲꢶꢪꢵ ꢨꢶꢥ꣄ꢣꢸ,हिमा बिन्दु,ஹிமாபி3ந்து3,dew drops,பனித்துளி  
ꢐꢱꢸ ꢨꢶꢥ꣄ꢣꢸ,ओसु बिन्दु,ஓஸு பி3ந்து3,dew drops,பனித்துளி  
ꢨꢸꢤꣁ,बुधा॑,பு3தொ4,Mercury,புதன்  
ꢨꢸꢤꣁ ꢔ꣄ꢬꢲꣁ,बुद्ग ग्रहा॑,பு3த4க்3ரஹொ,Mercury,புதன்  
ꢱꢸꢳꢶ ꢮꢬꣁ,सुळि वरा॑,ஸுளி வரொ,storm,புயல்  
ꢩꢹ ꢃꢒꢬ꣄ꢰꢠ ꢯꢒ꣄ꢡꢶ,भू आकर्षण शक्ति,பூ4 ஆகர்ஷண ஶக்தி,gravitational force,புவி ஈர்ப்புச்சக்தி    
ꢪꢡ꣄ꢡꢶ ꢮꢬꣁ,मत्ति वरा॑,மத்திவரொ,sand storm,மணல்காற்று  
ꢦꣁꢮ꣄ꢱ꣄,पा॑व्स्,பொவ்ஸ்,rain,மழை  
ꢂꢱ꣄ꢡꢪꢵꢥ꣄,अस्तमान्,அஸ்தமான்,setting,மறைவு  
ꢮꢶꢣ꣄ꢫꢸꢡ꣄,विद्युत,வித்3யுத்,lightning,மின்னல்  
ꢪꢿꢕ꣄꣄ ,मेघ,மேக்4,cloud,முகில்  
ꢪꣁꢨ꣄ꢨꢸ,मा॑ब्बु,மொப்3பு3,fog,மோடம்  
ꢬꢵꢲꢸ ,राहु,ராஹு,Neptune,ராகு  
ꢮꢬꣁ,वरा॑,வரொ,air/wind,வளி  
ꢦꢹꢱꢸ ꢗꢸꢒ꣄ꢒꣁ,पूसु चुक्को,பூஸுசுக்கொ,comet,வால் நட்சத்திரம்   
ꢂꢒꢵꢰ꣄,अकास,அகாஸ்,sky,வானம்  
ꢲꢨꢵꢳ꣄,हबाळ,ஹபா3ள்,sky,வானம்  
ꢂꢒꢵꢱꢸ ꢮꢖ꣄ꢒꢜ꣄,अकासु वङ्कट,அகாஸு வங்கட்,rainbow,வானவில்  
ꢂꢒꢵꢱꢸ ꢤꢥꢸꢱ꣄,अकासु धनुस,அகாஸு த4னுஸ்,rainbow,வானவில்  
ꢄꢥ꣄ꢣ꣄ꢬ ꢤꢥꢸꢱ꣄,इन्दर थनुस,இந்த்3ர த4னுஸ்,rainbow,வானவில்  
ꢮꢶꢫꣁꢪꢥ꣄,वियोमन,வியோமன்,space,வானவெளி  
ꢱꢸꢥ꣄ꢫ ꢂꢒꢵꢱ꣄,सुन्य अकास,ஸூன்ய அகாஸ்,space,வானவெளி  
ꢱꢸꢒ꣄ꢒꢸꢬ꣄,सुक्कुर,ஸுக்குர்,morning star,விடி வெள்ளி   
ꢗꢸꢒ꣄ꢒꣁ,चुक्का॑,சுக்கொ,star,விண்மீன்  
ꢔꢸꢬꢸ,गुरु,கு3ரு,Jupiter,வியாழன்  
ꢲꢹꢥ꣄,हून,ஹூன்,sunlight,வெயில்  
ꢱꢸꢒ꣄ꢒꢸꢬ꣄,सुक्कुर,ஸுக்குர்,star,வெள்ளி  
ꢦ꣄ꢬꢒꢵꢰ꣄,प्रकाष,ப்ரகாஷ்,light,வெளிச்சம்  
ꢲꢸꢙꢵꢭ꣄,हूजाल,ஹூஜாள்,light,வெளிச்சம்  
