Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢂꢳꢶꢶ,अळि,அளி,al'ii,aLii,al̤ii,əɭɪɪ, girl,பெண் 
ꢨꢾꢜ꣄ꢒꣁ,ब॑ट्का॑,பெ3ட்கொ,be't'ko',bETkO,bĕṭkŏ,beʈko,boy ,பையன் 
ꢥꢴꢸꢒ꣄ꢬꢸ,न्हुक्रु,நு:க்ரு,nhukru,nhukru,nhukru,n̪ɦukɾu,child,மகவு/ மதலை 
ꢥꢴꢸꢬꢸ,न्हुरु,நு:ரு,nhuru,nhuru,nhuru,n̪ɦuɾu,child,மகவு/ மதலை 
ꢪꢾꢥꢶꢒ꣄ \ ꢣꢭ꣄ꢭꢒ꣄ꢒꣁ,म॑निक \ दल्लक्का॑,மெனிக்,me'nik \ dallakko',mEnik \ dallakkO,mĕnik \ dallakkŏ,men̪ɪk \ d̪əlləkko,man,மனிதன் 
ꢪꢾꢥꢶꢒ꣄ \ ꢣꢭ꣄ꢭꢒ꣄ꢒꣁ,म॑निक \ दल्लक्का॑,த3ல்லக்கொ,me'nik \ dallakko',mEnik \ dallakkO,mĕnik \ dallakkŏ,men̪ɪk \ d̪əlləkko,man,மனிதன் 
ꢂꢪ꣄ꢪꢒ꣄ꢒꣁ,अम्मक्का॑,அம்மக்கொ,ammakko',ammakkO,ammakkŏ,əmməkko,woman,மனுஷி 
ꢪꢵꢥꢸꢰꢪ꣄,मानुषम,மானுஷம்,maanusham,mAnuSam,mānuṣam,mɑːn̪uʂəm,human,மானுடம்
ꢏꢭ꣄ꢞꢶꢥ꣄,आ॑ल्डिन,ஒள்டி3ன்,o'ld'in,OlDin,ŏlḍin,olɖɪn̪,old woman,முதியவள் 
ꢏꢭ꣄ꢞꣁ,आ॑ल्डो,ஒள்டொ3,o'ld'o',OlDO,ŏlḍŏ,olɖo,old man,முதியவன் 
ꢣꢸꢒ꣄ꢬꣁ,दुक्रा॑,து3க்ரொ,dukro',dukrO,dukrŏ,d̪ukɾo,old age,"முதுமை,மூப்பு"
ꢣꣁꢮ꣄ꢬꢦꢥ꣄,दा॑व्रपन,தொ3வ்ரபன்,do'vrapan,dOvrapan,dŏvrapan,d̪oʋɾəpən̪,old age,"முதுமை,மூப்பு"
ꢫꢸꢮꢡꢶ,युवति,யுவதி,yuvati,yuvati,yuvati,juʋət̪ɪ,young unmarried girl,யுவதி 
ꢫꢸꢮꣁ,युवा॑,யுவொ,yuvo',yuvO,yuvŏ,juʋo,young man (bachelor),யுவன் 
ꢫꢸꢮꢥ꣄,युवन,யுவன்,yuvan,yuvan,yuvan,juʋən̪,young man (bachelor),யுவன் 
ꢙꢮ꣄ꢥꢠꢦꢥ꣄,जव्णपन,ஜவ்ணபன்,javnanapan,javnaNapan,javnaṇapan,d͡ʒəʋn̪əɳəpən̪,youth,யெளவனம் 
ꢫꣃꢮꢥꢪ꣄,यौवनम,யௌவனம்,yauvanam,yauvanam,yauvanam,jəuʋən̪əm,youth,யெளவனம் 
ꢏꢬ꣄ꢱꢸ,आ॑र्सु,ஒர்ஸு,o'rsu,Orsu,ŏrsu,oɾs̪u,age,வயது 
ꢏꢬ꣄ꢱꢸ,आ॑र्सु,ஒஸ்ஸு,o'rsu,Orsu,ŏrsu,oɾs̪u,age,வயது 
ꢙꢮ꣄ꢠꢦ꣄ꢦꢥ꣄,ज्व्णपन,ஜவ்ணபன்,javnappan,javNappan,javṇappan,d͡ʒəʋɳəppən̪,youth stage,வாலிபப் பருவம் 
ꢙꢮ꣄ꢠꢡ꣄ꢮꢪ꣄,जव्णत्वम,ஜவ்ணத்வம்,javnatvam,javNatvam,javṇatvam,d͡ʒəʋɳət̪ʋəm,youth,வாலிபம் 
ꢙꢮ꣄ꢠꣁ,जव्णा॑,ஜவ்ணொ,javno',javNO,javṇŏ,d͡ʒəʋɳo,young man (bachelor),வாலிபன் 
