ꢆꢪ꣄ꢨ꣄ꢳꢵ ꢚꢵꢜ꣄,उम्ब्ळा झाट्,உம்ப்3ளாஜா2ட்,umbl'aa jhaat',umbLA jhAT,umbl̤ā jhāṭ,umbɭɑː d͡ʒʰɑːʈ,fig tree,அத்தி மரம்   
ꢦꣁꢥ꣄ꢥꢶꢱꢸ ꢚꢵꢜ꣄,पा॑न्निसु झाट्,பொன்னிஸுஜா2ட்,po'nnisu jhaat',pOnnisu jhAT,pŏnnisu jhāṭ,pon̪n̪ɪs̪u d͡ʒʰɑːʈ,jackfruit tree,பலா மரம்
ꢡꢵꢞꢶ ꢚꢵꢜ꣄,ताडि झाट्,தாடி3ஜா2ட்,taad'i jhaat',tADi jhAT,tāḍi jhāṭ,t̪ɑːɖɪ d͡ʒʰɑːʈ,palmyra tree,பனை  மரம்
ꢲꢦ꣄ꢦꢳꢸ ꢚꢵꢜ꣄,हप्पळू झाट्,ஹப்பளுஜா2ட்,happal'u jhaat',happaLu jhAT,happal̤u jhāṭ,ɦəppəɭu d͡ʒʰɑːʈ,arecanut,பாக்கு  
ꢒꢵꢥꢸ ꢚꢵꢜ꣄,कानु झाट्,கானுஜா2ட்,kaanu jhaat',kAnu jhAT,kānu jhāṭ,kɑːn̪u d͡ʒʰɑːʈ,beech,புங்கை மரம்
ꢡꢪꢵꢭ ꢚꢵꢜ꣄,तमाल झाट,தமாலஜா2ட்,tamaala jhaat',tamAla jhAT,tamāla jhāṭ,t̪əmɑːlə d͡ʒʰɑːʈ,beech,புங்கை மரம்
ꢗꢷꢱꢸ꣄ ꢚꢵꢜ꣄,चीसु झाट्,சீஸுஜா2ட்,cheesu jhaat',cIsu jhAT,cīs_ŭ jhāṭ,t͡ʃiːs̪u d͡ʒʰɑːʈ,Tamarindtree,புளிய மரம்
ꢨꢵꢛ꣄ꢙꢶ,बाञ्जि,பா3ஞ்ஜி,baanji,bAJji,bāñji,bɑːɲd͡ʒɪ,fungus,பூஞ்சானம்  
ꢓꢱ꣄ꢭꣁ,खस्ला॑,க2ஸ்லொ,khaslo',khaslO,khaslŏ,kʰəs̪lo,date palm,பேரீச்சை  
ꢚꢵꢜꢸ ꢬꢾꢥ꣄ꢡꢸ,झाटुर॑न्तु,ஜா2டு ரெந்து,jhaat'u re'ntu,jhATu rEntu,jhāṭu rĕntu,d͡ʒʰɑːʈu ɾen̪t̪u,hollow in a tree,மரப்பொந்து  
ꢕꢸꢮ꣄ꢮꣁ,घुव्वा॑,கு4வ்வொ,ghuvvo',ghuvvO,ghuvvŏ,gʰuʋʋo,hollow in a tree,மரப்பொந்து  
ꢚꢵꢜ꣄,झाट्,ஜா2ட்,jhaat',jhAT,jhāṭ,d͡ʒʰɑːʈ,tree,மரம்  
ꢒꢗ꣄ꢗꢪ꣄ꢨꢵ ꢚꢵꢜ꣄,कच्चम्बा झाट्,கச்சம்பா3 ஜா2ட்,kachchambaa jhaat',kaccambA jhAT,kaccambā jhāṭ,kət͡ʃt͡ʃəmbɑː d͡ʒʰɑːʈ,mango tree,மாமரம்  
ꢪꢸꢥ꣄ꢣꢶꢬꢶ ꢚꢵꢜ꣄,मुन्दिरि झाट्,முந்தி3ரிஜா2ட்,mundiri jhaat',mundiri jhAT,mundiri jhāṭ,mun̪d̪ɪɾɪ d͡ʒʰɑːʈ,cashewnut tree,முந்திரி  
ꢱꢾꢮ꣄ꢒꢵ ꢚꢵꢜ꣄,स॑व्का झाट्,ஸெவ்காஜா2ட்,se'vkaa jhaat',sEvkA jhAT,sĕvkā jhāṭ,s̪eʋkɑː d͡ʒʰɑːʈ,drumstick tree,முருங்கை  
ꢨꣁꢖ꣄ꢔꢸ ꢚꢵꢜ꣄,बा॑ङ्गु झाट्,பொ3ங்கு3ஜா2ட்,bo'ngu jhaat',bOGgu jhAT,bŏṅgu jhāṭ,boŋgu d͡ʒʰɑːʈ,bamboo tree,மூங்கில்  
ꢭꢷꢪꢸ ꢚꢵꢜ꣄,लीमु झाट्,லீமுஜா2ட்,leemu jhaat',lImu jhAT,līmu jhāṭ,liːmu d͡ʒʰɑːʈ,neem tree,வேம்பு  
