ꢂꢣꢶꢪꢤꢸꢬꢪ꣄,अदिमधुरम,அதி3மது4ரம்,licorice,அதிமதுரம்  
ꢦꢜ꣄ꢜꢵꢠꢶ,पट्टाणि,பட்டாணி,peas,பட்டாணி  
ꢨꢾꢳꣁ ,ब॑ळा॑,பெ3ளொ,daal,பருப்பு  
ꢱꢶꢱ꣄ꢭꣁ,सिस्ला॑,ஸிஸ்லொ,provisions,பலசரக்கு  
ꢂꢦ꣄ꢦꢳ꣄,अप्पळ,ஹப்பள்,arecanut,பாக்கு  
ꢥꢶꢭꢪꢸ꣄ ꢨꢾꢳꣁ,निलमु ब॑ळा॑,நிளமுபெ3ளொ,green gram,பாசிப்பயிறு  
ꢨꢵꢣꢵꢪ꣄,बादाम्,பா3தா3ம்,almond,பாதாம் பருப்பு   
ꢨꢵꢬ꣄ꢭꢶ,बार्लि,பா3ர்லி,barley,பார்லி  
ꢤꢸꢪ꣄ꢦꢵꢥ꣄,धुम्पान्,து4ம்பான்,tobacco,புகையிலை  
ꢲꢸꢞ ꢡꢥ꣄ꢣꢸ,हुड तन्दु,ஹுட3 தந்து3,boiled rice,புழுங்கல் அரிசி   
ꢗꢷꢱ꣄,चीस्,சீஸ்,tamarind,புளி  
ꢭꣁꢱꢥ꣄,ला॑सन,லொஸன்,garlic,பூண்டு  
ꢪꢴꣁꢞ ꢙꢶꢬꣁ,म्हा॑ड जिरा॑,மொ:ட3ஜிரொ,aniseed,பெருஞ்சீரகம்  
ꢚꣁꢳ꣄ꢳꣁ,झा॑ळ्ळा॑,ஜொ2ள்ளொ,maize,மக்காச்சோளம்  
ꢲꢳꢡ꣄,हळत्,ஹளத்,turmeric,மஞ்சள்  
ꢣꢶꢔꢬꢪ꣄,दिगरम्,தி3க3ரம்,kerosine,மண்ணெண்ணெய்  
ꢪꢹꢭ꣄ꢡꢸꢭ꣄ꢭꣁ ꢃꢭ꣄ꢮꢭ꣄ꢭꢶ  ꢒꢶꢳꢖ꣄ꢔꢸ,मूल्पुल्ला॑ आल्वल्लि किळङ्गु,மூல்துல்லொ ஆல்வல்லி கிழங்கு3,,
ꢃꢭ꣄ ꢮꢭ꣄ꢭꢶ ꢒꢶꢳꢖ꣄ꢔꢸ ,आल्वल्लि किळङ्गु,ஆல்வல்லி கிழங்கு3,,
ꢦꢷꢜ꣄,पीट्,பீட்,flour,மாவு  
ꢪꢶꢬꢶ,मिरि,மிரி,pepper,மிளகு  
ꢒꢵꢙꢸ,काजु,காஜு,cashew nut,முந்திரிப் பருப்பு   
ꢒꢾꢥ꣄ꢥꢸ,क॑न्नु,கென்னு,bean gram,மொச்சைப் பயிறு   
